"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Exploiting Software Product Lines and Formal Concept Analysis for the Design of Data Lake Architectures","M. Huchard; A. Laurent; T. Libourel; C. Madera; A. Miralles",NA; NA; NA; NA; NA,Data Lakes,"","2020","","","41","56","This chapter aims to investigate an approach to assisting the user in the design of a data lake architecture. Software product line engineering is an approach that allows for the formalization of a series of similar software products or systems, which only differ in some of their optional components. The chapter introduces a formalization approach based on the model of product lines. Before doing so, it provides an overview of basic notions and terminology related to Software Product Line and Formal Concept Analysis. The chapter shows an approach to assisting and accelerating the construction of a data lake. This approach consists of high‐level modeling, independent from physical tools, relying on existing software product line concepts. The chapter considers existing semi‐automated processes to generate the feature model that provides us with a preliminary formal model regarding the functionalities of the components of a data lake.","","9781119720423","10.1002/9781119720430.ch3","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9822735.pdf&bkn=9820901&pdfType=chapter","","Big Data applications;Task analysis;Software product lines;Computer architecture;Frequency modulation;Software;Real-time systems","","","","","","12 Jul 2022","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"AI-Powered Commerce: Building the products and services of the future with Commerce.AI","A. Pandharikar; F. Bussler",NA; NA,AI-Powered Commerce: Building the products and services of the future with Commerce.AI,"","2022","","","","","Learn how to use artificial intelligence for product and service innovation, including the diverse use cases of Commerce.AIKey FeaturesLearn how to integrate data and AI in your innovation workflowsUnlock insights into how various industries are using AI for innovationApply your knowledge to real innovation use cases like product strategy and market intelligenceBook DescriptionCommerce.AI is a suite of artificial intelligence (AI) tools, trained on over a trillion data points, to help businesses build next-gen products and services. If you want to be the best business on the block, using AI is a must. Developers and analysts working with AI will be able to put their knowledge to work with this practical guide. You'll begin by learning the core themes of new product and service innovation, including how to identify market opportunities, come up with ideas, and predict trends. With plenty of use cases as reference, you'll learn how to apply AI for innovation, both programmatically and with Commerce.AI. You'll also find out how to analyze product and service data with tools such as GPT-J, Python pandas, Prophet, and TextBlob. As you progress, you'll explore the evolution of commerce in AI, including how top businesses today are using AI. You'll learn how Commerce.AI merges machine learning, product expertise, and big data to help businesses make more accurate decisions. Finally, you'll use the Commerce.AI suite for product ideation and analyzing market trends. By the end of this artificial intelligence book, you'll be able to strategize new product opportunities by using AI, and also have an understanding of how to use Commerce.AI for product ideation, trend analysis, and predictions.What you will learnFind out how machine learning can help you identify new market opportunitiesUnderstand how to use consumer data to create new products and servicesUse state-of-the-art AI frameworks and tools for data analysisLaunch, track, and improve products and services with AIRise above the competition with unparalleled insights from AITurn customer touchpoints into business winsGenerate high-conversion product and service copyWho this book is forThis AI book is for AI developers, data scientists, data product managers, analysts, and consumer insights professionals. The book will guide you through the process of product and service innovation, no matter your pre-existing skillset.","","9781803234076","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162694.pdf&bkn=10162693&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Power to the Public: The Promise of Public Interest Technology","A. -M. Slaughter; T. D. McGuinness; D. Walker; H. Schank",NA; NA; NA; NA,Power to the Public: The Promise of Public Interest Technology,"","2021","","","","","“Worth a read for anyone who cares about making change happen.”—Barack ObamaA powerful new blueprint for how governments and nonprofits can harness the power of digital technology to help solve the most serious problems of the twenty-first centuryAs the speed and complexity of the world increases, governments and nonprofit organizations need new ways to effectively tackle the critical challenges of our time—from pandemics and global warming to social media warfare. In Power to the Public, Tara Dawson McGuinness and Hana Schank describe a revolutionary new approach—public interest technology—that has the potential to transform the way governments and nonprofits around the world solve problems. Through inspiring stories about successful projects ranging from a texting service for teenagers in crisis to a streamlined foster care system, the authors show how public interest technology can make the delivery of services to the public more effective and efficient.At its heart, public interest technology means putting users at the center of the policymaking process, using data and metrics in a smart way, and running small experiments and pilot programs before scaling up. And while this approach may well involve the innovative use of digital technology, technology alone is no panacea—and some of the best solutions may even be decidedly low-tech.Clear-eyed yet profoundly optimistic, Power to the Public presents a powerful blueprint for how government and nonprofits can help solve society’s most serious problems.","","9780691216638","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9519680.pdf&bkn=9519679&pdfType=book","Technology;Public interest;Public sector;Civil service;The Public Interest;Private sector;Nonprofit organization;Employment;Welfare;Organization;Code for America;Requirement;Public policy;Customer;Problem solving;Startup company;User experience;Call centre;Crisis Text Line;Project;Career;Princeton University Press;Homelessness;Processing (programming language);Government agency;Todd Park;Caseworker (social work);Designer;Government Digital Service;Design thinking;Policy;Copyright;Funding;Implementation;HealthCare.gov;Writing;Real-time data;Payment;Unemployment;Americans;Institution;Tax;Government Technology;Product manager;Accountability;Legislation;Business process;Consultant;Mikey Dickerson;Workforce;Unemployment benefits;Payroll;Voucher;Vendor;Recruitment;Economic security;Collaboration;Supervisor;Salary;Finding;Works Progress Administration;E-government;Website;Root cause;Incentive;Chief information officer;Design director;Think tank;Deloitte;Program management;Analytics;Politician;Lobbying;Publishing;Federal agency (Germany);Economist;Chief technology officer;Customer experience;Beneficiary;Recipe;Philanthropy;Data science;Technology company;Economy;Buy-In;Financial crisis;Georgetown University;Government Office;Determination;Public administration;Iteration;Minimum viable product;DJ Patil;Small business;American Recovery and Reinvestment Act of 2009;Guideline;Civil society;Economics;Usability;W. Edwards Deming","","","","","","","20 Aug 2021","","","Princeton University Press","Princeton University Press eBooks"
"3 A DATA SCIENCE ECOSYSTEM","J. D. Kelleher; B. Tierney",Technological University Dublin; Dublin Institute of Technology,Data Science,"","2018","","","69","96","The set of technologies used to do data science varies across organizations. The larger the organization or the greater the amount of data being processed or both, the greater the complexity of the technology ecosystem supporting the data science activities. In most cases, this ecosystem contains tools and components from a number of different software suppliers, processing data in many different formats. There is a spectrum of approaches from which an organization can select when developing its own data science ecosystem. At one end of the spectrum, the organization may decide to invest in a commercial integrated tool set. At the other end, it might build up a bespoke ecosystem by integrating a set of open-source tools and languages. In between these two extremes, some software suppliers provide solutions that consist of a mixture of commercial products and open-source products. However, although the particular mix of tools will vary from one organization to the next, there is a commonality in terms of the components that are present in most data science architectures.","","9780262347020","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=8544171.pdf&bkn=8544144&pdfType=chapter","","Data science;Organizations;Ecosystems;Computer architecture;Databases;Data warehouses;Tools","","","","","","13 Dec 2018","","","MIT Press","MIT Press eBook Chapters"
"Business Intelligence with Databricks SQL: Concepts, tools, and techniques for scaling business intelligence on the data lakehouse","V. Gupta",NA,"Business Intelligence with Databricks SQL: Concepts, tools, and techniques for scaling business intelligence on the data lakehouse","","2022","","","","","Master critical skills needed to deploy and use Databricks SQL and elevate your BI from the warehouse to the lakehouse with confidenceKey FeaturesLearn about business intelligence on the lakehouse with features and functions of Databricks SQLMake the most of Databricks SQL by getting to grips with the enablers of its data warehousing capabilitiesA unique approach to teaching concepts and techniques with follow-along scenarios on real datasetsBook DescriptionIn this new era of data platform system design, data lakes and data warehouses are giving way to the lakehouse – a new type of data platform system that aims to unify all data analytics into a single platform. Databricks, with its Databricks SQL product suite, is the hottest lakehouse platform out there, harnessing the power of Apache Spark™, Delta Lake, and other innovations to enable data warehousing capabilities on the lakehouse with data lake economics. This book is a comprehensive hands-on guide that helps you explore all the advanced features, use cases, and technology components of Databricks SQL. You’ll start with the lakehouse architecture fundamentals and understand how Databricks SQL fits into it. The book then shows you how to use the platform, from exploring data, executing queries, building reports, and using dashboards through to learning the administrative aspects of the lakehouse – data security, governance, and management of the computational power of the lakehouse. You’ll also delve into the core technology enablers of Databricks SQL – Delta Lake and Photon. Finally, you’ll get hands-on with advanced SQL commands for ingesting data and maintaining the lakehouse. By the end of this book, you’ll have mastered Databricks SQL and be able to deploy and deliver fast, scalable business intelligence on the lakehouse.What you will learnUnderstand how Databricks SQL fits into the Databricks Lakehouse PlatformPerform everyday analytics with Databricks SQL Workbench and business intelligence toolsOrganize and catalog your data assetsProgram the data security model to protect and govern your dataTune SQL warehouses (computing clusters) for optimal query experienceTune the Delta Lake storage format for maximum query performanceDeliver extreme performance with the Photon query execution engineImplement advanced data ingestion patterns with Databricks SQLWho this book is forThis book is for business intelligence practitioners, data warehouse administrators, and data engineers who are new to Databrick SQL and want to learn how to deliver high-quality insights unhindered by the scale of data or infrastructure. This book is also for anyone looking to study the advanced technologies that power Databricks SQL. Basic knowledge of data warehouses, SQL-based analytics, and ETL processes is recommended to effectively learn the concepts introduced in this book and appreciate the innovation behind the platform.","","9781803237596","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10163378.pdf&bkn=10163377&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"The Essential Elements of Smart Mobility","B. McQueen; A. Safi; S. Alkheyaili","Bob McQueen and Associates, USA/France; Ministry of Energy and Infrastructure, Abu-Dhabi; CEO, Osool Engineering Consultancy, Abu-Dhabi",Smart Mobility: Using Technology to Improve Transportation in Smart Cities,"","2024","","","201","230","Summary <p>This chapter explains the essential elements of smart mobility. It identifies the significant elements that affect the success of a smart mobility implementation. Smart mobility needs smart data management that ingests all available data, shares information, allows app developers to create new products and uses analytics to continuously improve the systems that form the basis of smart mobility. Smart data management solutions have become a vital building block and an important starting point as cities recognize the effects of an ever‐increasing tidal wave of data and an exponential push for more users. The chapter also explains some examples of smart mobility business model and describes the relationship between technologies, solutions, and services. It discusses the importance of data and analytics in smart mobility solutions in terms of the raw material required to drive the service and effective management of the large volumes of data that can be generated by smart mobility solutions.</p>","","9781119847144","10.1002/9781119847168.ch7","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10619940.pdf&bkn=10619711&pdfType=chapter","","Business;Transportation;Planning;Roads;Timing;Reviews;Raw materials","","","","","","1 Aug 2024","","","IEEE","Wiley-IEEE Press eBook Chapters"
"Secure Network Architecture and Components","M. Chapple; J. M. Stewart; D. Gibson","University of Notre Dame; Lan Wrights, Inc., Austin, Texas; NA",(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide,"","2021","","","495","579","This chapter discusses the open systems interconnection model as a guiding principle in networking, cabling, wireless connectivity, transmission control protocol/internet protocol (TCP/IP) and related protocols, networking devices, and firewalls. Communications between computers over networks are made possible by protocols. The Network layer is responsible for logical addressing and performing routing. Simple Network Management Protocol is a standard network‐management protocol supported by most network devices and TCP/IP‐compliant hosts. Endpoint detection and response is a security mechanism that is an evolution of traditional antimalware products, and firewall solutions. Wireless communications occur in many forms, including cell phone, Bluetooth, radio frequency identification, near‐field communication, and networking. Wireless communication is more vulnerable to interference, eavesdropping, denial of service, and on‐path attacks. Routers, hubs, switches, repeaters, gateways, proxies, network access control, and firewalls are an important part of a network security.","","9781119786337","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9946672.pdf&bkn=9946648&pdfType=chapter","","Open systems;Protocols;Computational modeling;TCPIP;Network architecture;Data models;Task analysis","","","","","","11 Nov 2022","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"5G Network Slicing Management Architectures and Implementations for Multimedia","A. Barakabitze; A. Hines","University College Dublin (UCD), Dublin, Ireland; University College Dublin (UCD), Dublin, Ireland",Multimedia Streaming in SDN/NFV and 5G Networks: Machine Learning for Managing Big Data Streaming,"","2023","","","147","165","This chapter presents the concept of 5G network slicing in the contexts of multimedia applications. It provides a comprehensive description of multimedia‐oriented sharing/slicing and service customization mechanisms in 5G networks. The chapter explains 5G network slicing proof of concepts and research projects in terms of their architectures and different implementation details. The chapter describes comprehensive details of orchestrators which are becoming complementary to allow fast innovation in 5G using Software‐Defined Network (SDN) and Network Function Virtualization (NFV) to realize the 5G slicing network concept. Multi‐domain implementation in 5G networks is designed to allow numerous administrative domains at different levels to interface with different service and infrastructure providers. The advancement of developing NFV products and 5G services from projects such as OPNFV that focuses on multi‐vendor NFV components ensure that performance targets and compatibility are met.","","9781119800804","10.1002/9781119800828.ch9","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9979118.pdf&bkn=9978997&pdfType=chapter","","5G mobile communication;Cloud computing;Network slicing;Computer architecture;Adaptive systems;Resource management;Computational modeling","","","","","","9 Dec 2022","","","IEEE","Wiley-IEEE Press eBook Chapters"
"Electronic Memory Devices Based on Solution‐Processable Nanostructured Materials","J. Pfleger","Department of Polymers for Electronics and Photonics, Institute of Macromolecular Chemistry AS CR, 162 06 Prague, Czech Republic",Solution-Processable Components for Organic Electronic Devices,"","2019","","","591","626","Summary <p>The chapter is aimed to introduce the area of memory devices based on printable organic materials. After providing an overview of current achievements, showing also some already commercialized products, various principles of data storage mechanisms are summarized together with major parameters used to characterize the memory device performance. The requirements of typical low‐level target applications, such as RFID tags for smart packaging, manufacturing, and warehouse automation or security systems, are compared to the limited performance of various types of memory devices made of organic materials. OFETs with memory mechanisms based on polarization hysteresis, charging of gate dielectric or charge trapping in the active channel are discussed, including an advanced vertical OFET architecture. Particular attention is focused on nonvolatile resistive random‐access memory (ReRAM) made from switchable resistive materials because of their simple two‐terminal structure suitable for printing technology. The mechanisms of resistivity switching in these devices are explained, such as charge transfer, charge trapping, phase or conformation changes, or conducting filaments formation. The applicability of organic materials in new electronic elements – memristors – for unconventional memory devices used in neuromorphic computing is mentioned, too. The chapter is concluded with comments on limits of applicability of organic and polymer materials in data storage and future prospects.</p>","","9783527814947","10.1002/9783527813872.ch11","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10523581.pdf&bkn=10523126&pdfType=chapter","","Random access memory;Memory management;Transistors;Programming;Silicon;Printing;Nonvolatile memory","","","","","","30 May 2024","","","Wiley","Wiley Semiconductors eBook Chapters"
"Salesforce B2C Solution Architect's Handbook: Leverage Salesforce to create scalable and cohesive business-to-consumer experiences","M. King; M. Murphy",NA; NA,Salesforce B2C Solution Architect's Handbook: Leverage Salesforce to create scalable and cohesive business-to-consumer experiences,"","2024","","","","","Design solutions across the Salesforce Customer 360 ecosystem with this definitive guide for Salesforce B2C solution architects, covering B2C Commerce, Service Cloud, Data Cloud, and Marketing CloudKey FeaturesCreate a frictionless customer experience and a unified view of all touchpointsAvoid expensive rework by getting your architecture right the first timeUse real-world scenarios and best practices to prepare for the B2C Solution Architect certification examPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionAs businesses strive to harness the power of data, the demand for Salesforce professionals who can create a single view of the customer across the Salesforce Customer 360 platform is surging, and this book equips you to meet that demand. Written by a certified Salesforce instructor and an expert with extensive experience in complex Salesforce implementations and cross-cloud architecture, this updated edition of Salesforce B2C Solution Architect's Handbook helps you gain a deeper understanding of the integration options and products that deliver value for organizations. You’ll develop a solid understanding of each component in the Customer 360 ecosystem, its data models, and governance. A new chapter on Data Cloud provides fresh insights into the latest Salesforce technology for evolving and maintaining your ecosystem. As you progress, you'll explore planning critical requirements and implementation sequences to avoid costly reworks and delays. You’ll also learn best practices for data modeling across Salesforce products and beyond. Building upon the core knowledge, you'll get to grips with the tools, techniques, and certification scenarios to prepare for the latest version of the B2C Solution Architect exam. By the end of this book, you’ll have the skills to design scalable, secure, and future-proof solutions supporting critical business demands.What you will learnExplore key Customer 360 products and their integration optionsChoose the best integration architecture to unify data and experiencesPlan for requirements, design choices, and implementation sequencesArchitect a single view of the customer to support service, marketing, and commerceIntegrate Customer 360 solutions into a single-source-of-truth solutionOrchestrate data and user flows to support functionality from multiple componentsUnderstand the capabilities and design considerations for Data CloudPrepare for the B2C Solution Architect examWho this book is forThis book is for professionals in high-level job roles that heavily rely on Salesforce proficiency. It's primarily written for Salesforce technical architects, application/functional architects, integration architects, enterprise architects, and CTO teams looking to benefit from a deeper understanding of this platform. Before you get started, you should understand the fundamentals of data integration, APIs, and connected systems in general, along with knowledge of the basics of business-to-consumer (B2C) customer experiences.","","9781801078757","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10559496.pdf&bkn=10559495&pdfType=book","","","","","","","","17 Jun 2024","","","Packt Publishing","Packt Publishing eBooks"
