"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Developing an Architecture Description Language for Data Processing Product Line","L. Zheng; Z. Wu; C. Zhang; F. Yang","Department of Computer Science and Technology, Tsinghua University, China; Department of Computer Science and Technology, Tsinghua University, China; Department of Computer Science and Technology, Tsinghua University, China; Department of Foreign Language, Tsinghua University, China",2010 Seventh International Conference on Information Technology: New Generations,"1 Jul 2010","2010","","","944","949","Architecture description language (ADL) provides a linguistic approach to represent software architecture. Usually, it has to develop a new ADL for a particular domain. Some domains are difficult to develop the ADLs, e.g. data processing domain (DPD). Since the products of these domains can apply to many different areas as a sub module, which complicates the architecture abstraction. This paper shows the development of our ADL for data processing domain. It has domain independence meta model concept, and it supports variability description and the code generation rules have been indicated too. Our data processing product line can be described by this ADL and generate product code, which will improve the productivity.","","978-1-4244-6271-1","10.1109/ITNG.2010.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5501510","ADL;software product line;MDA;DSM;software architecture","Architecture description languages;Data processing;Software architecture;Computer architecture;Productivity;DSL;Guidelines;Data mining;Space technology;Information technology","","1","","9","IEEE","1 Jul 2010","","","IEEE","IEEE Conferences"
"Initial Evidence for Understanding the Relationship between Product Line Architecture and Software Architecture Recovery","C. Rodrigues Lima Neto; M. Passos Soares Cardoso; C. Von Flach Garcia Chavez; E. S. De Almeida","Federal Institute for Education, Science and Technology of Bahia (IFBA); Computer Science Department, Federal University of Bahia (DCC/UFBA); Computer Science Department, Federal University of Bahia (DCC/UFBA); Computer Science Department, Federal University of Bahia (DCC/UFBA)","2015 IX Brazilian Symposium on Components, Architectures and Reuse Software","26 Oct 2015","2015","","","40","49","Context: Over the years, the interest on software architecture recovery has increased. Due to software product line inherent complexity, the recovery of product line architecture is crucial to alleviate difficulties and enable benefits during the SPL development. Objective: In order to gather data and evidence about the relationship between product line architecture and software architecture recovery, (Method:) we performed a literature survey using some steps of systematic literature review method and an exploratory study. Results: We identified the appearance of more elaborated studies over the years and the majority of solution proposals are used to recover the architecture from legacy systems source code to provide the SPL reference architecture. Conclusion: Most of the studies presented solution proposal combined with case studies. But, only a few of them address empirical evaluation. With the software architecture recovery evolution, more research combining recovery of product line architecture and empirical evaluation still necessary.","","978-1-4673-9630-1","10.1109/SBCARS.2015.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7306126","Software Product Lines;Software Reuse;Software Architecture;Survey","Computer architecture;Software architecture;Programmable logic arrays;Proposals;Market research;Data mining;Software product lines","","3","","45","IEEE","26 Oct 2015","","","IEEE","IEEE Conferences"
"ArchSPL-MDD: An ADL-Based Model-Driven Strategy for Automatic Variability Management","A. L. Medeiros; E. Cavalcante; T. Batista; E. Silva","Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil","2015 IX Brazilian Symposium on Components, Architectures and Reuse Software","26 Oct 2015","2015","","","120","129","Model-driven strategies have been used in the development of software product lines (SPLs) to facilitate product customization and to generate the source code of the derived products through variability management. In this context, the architecture description of the SPL is essential to make it clear how the architecture realizes the feature model and to represent both domain and application engineering architectural artifacts. Moreover, it is important to establish the association between the architectural specification and the artifacts involved in the SPL development process towards code generation. In this paper, we present Arch SPL-MDD, a model-driven strategy to support explicit modeling and automatic management of variabilities in SPLs. Arch SPL-MDD is associated to a generic process with systematic activities aimed to generate customized source code from the product configuration. Furthermore, the proposed strategy uses the Light PL-ACME architecture description language to support the architectural specification of the SPL, which is input of model transformations towards automatically generating SPL products. To evaluate the efficiency and applicability of Arch SPL-MDD, we conducted a controlled experiment by using Ginga For All, an SPL for the Ginga digital TV middleware.","","978-1-4673-9630-1","10.1109/SBCARS.2015.23","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7306134","software product lines;variability management;model-driven development;model transformation;architecture description language;code generation","Computer architecture;Tuners;Unified modeling language;Digital TV;Middleware;Hardware","","3","","26","IEEE","26 Oct 2015","","","IEEE","IEEE Conferences"
"xLineMapper: A Product Line Feature-Architecture-Implementation Mapping Toolset","C. Cu; X. Ye; Y. Zheng","CyberSource Corporation, 8310 N Capital Of Texas Hwy, Austin, TX, USA; Computer Science and Information Systems, California State University San Marcos, USA; Computer Science and Information Systems, California State University San Marcos, USA",2019 IEEE/ACM 41st International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),"19 Aug 2019","2019","","","87","90","This paper presents an Eclipse-based toolset named xLineMapper to automatically manage the relationships (e.g., traceability, conformance) among product line features, architecture, and source code. The xLineMapper toolset can (1) trace a product line feature to its related architectural elements and code fragments, (2) automatically update both product line architecture and code when a feature is changed, and (3) automatically customize product line architecture and code for a particular product based on its feature configuration. This is an improvement from existing product line approaches which only support either feature-architecture or feature-code mapping. We conducted a case study of xLineMapper with a large open-source software system, Apache Solr. A video demo of xLineMapper is available at https://youtu.be/pdO-vnE8U6w.","2574-1934","978-1-7281-1764-5","10.1109/ICSE-Companion.2019.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8802644","architecture-centric product line development;feature traceability;variability conformance","Annotations;Programmable logic arrays;Tools;Computer architecture;Product codes;Open source software","","2","","12","IEEE","19 Aug 2019","","","IEEE","IEEE Conferences"
"The Application of the Component-based Product Line in the Data Processing Domain","X. Zhang; R. Wang","Computer and Information Management Center, Tsinghua University, Beijing, China; Chinese People's Liberation Army Missile forces General hospital, Beijing, China",2012 Ninth International Conference on Information Technology - New Generations,"31 May 2012","2012","","","275","280","During the procedure of component-based product line development, this paper selects the Cobra approach and designs product line architecture, core asset library framework and trustworthiness assurance framework. The development method realizes the software reuse and reduces development costs, shorten development time, and helps data processing system's user to resolve requirements for product customization. Finally, this paper makes a detailed introduction to the development process in the data processing domain with a practical application.","","978-1-4673-0798-7","10.1109/ITNG.2012.47","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209186","Domain engineering;KobrA;software product line;data processing","Data processing;Software;Computer architecture;Libraries;Data models;Programming;Hospitals","","","","20","IEEE","31 May 2012","","","IEEE","IEEE Conferences"
"Towards a Software Product Line Framework to Support Cross-domain Component Composition","B. Y. Alkazemi","College of Computing and Information Systems, Umm Al-Qura University, Makkah, Saudi Arabia",2012 12th International Conference on Computational Science and Its Applications,"6 Aug 2012","2012","","","130","133","Software product lines (SPL) are of great significance to the software development process as they rely on identifying commonalities within an application domain in order to facilitate component integration to build new software products. The main focus of SPL is the development of software systems in a single domain where some basic functionality is reused over the developed systems. However, when it comes to cross-domain component reuse, SPL development processes always encounter difficulties in integrating heterogeneous components due to different architectural assumptions. This paper establishes a significant distinction of component interfaces and utilises it to derive the building block of a SPL that can support developing cross-domain software reuse.","","978-1-4673-1691-0","10.1109/ICCSA.2012.32","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6257623","Software Product Line;Source Code;Components;Refactoring;Architectural Interface","Java;Software systems;Programming;Computer architecture;Educational institutions;Control systems","","","","9","IEEE","6 Aug 2012","","","IEEE","IEEE Conferences"
"Optimized Software Product Line Architecture and Feature Modeling in Improvement of SPL","A. Zahoor Chohan; A. Bibi; Y. Hafeez Motla","University Institute of Information Technology (UIIT), PMAS UAAR, Rawalpindi, Pakistan; University Institute of Information Technology (UIIT), PMAS UAAR, Rawalpindi, Pakistan; University Institute of Information Technology (UIIT), PMAS UAAR, Rawalpindi, Pakistan",2017 International Conference on Frontiers of Information Technology (FIT),"18 Jan 2018","2017","","","167","172","Software product line is an emerging platform that helps an organization to develop their artifact from reusable components. However developing SPL architecture and selecting suitable PLA design method is most challenging process. Another issue arises in software architecture evolution is lack of optimization and re usability in product line architecture. This research paper proposes a framework for selection of suitable PLA design method that avoids their overlapping and improving reliability. It describes the best approach i.e. multi-objective optimization approach to optimize or automate the PLA design and defining reusability of software architecture evaluation data using simulation-based method. It also focuses to minimize risk and failure rate of software product line by making use of feature modeling.","","978-1-5386-3567-4","10.1109/FIT.2017.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8261031","SPL;Software product line;PLA;Product line architecture;Optimized multilevel approaches;NIMSAD framework;Normative Information Model-based System Analysis and Design Framework","Programmable logic arrays;Computer architecture;Unified modeling language;Software product lines;Design methodology;Software architecture;Software","","4","","24","IEEE","18 Jan 2018","","","IEEE","IEEE Conferences"
"Research on Realization Mechanism of ISEE Based on Product Line","J. Dong; N. Shi","School of Computer Engineering, HuaiHai Institute of Technology, Lianyungang, China; Department of Information Engineering, Lanzhou Resources and Environment Voc-Tech College, Lanzhou, China",2010 Second International Workshop on Education Technology and Computer Science,"6 May 2010","2010","2","","350","353","A new model and framework of integrated software engineering environment based on product line was put forward in reference. This paper will continue to study and discuss the realization machinasim and method of the ISEE based on the new model and framework. Compared with traditional ISEE, This new kind of ISEE based product line will use multi-layer architecture and standard components bus. And then, the ISEE are completely similar to modern automatic assembly line (or product line) and management system of current manufacturing industry. The ISEE's framework, realization machinasim and method discussed in the paper will bring a large action for promoting the development of the software engineering methodology based on product line and future software industry.","","978-1-4244-6389-3","10.1109/ETCS.2010.528","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5459884","software product line;ISEE-integrated software engineering environment;software architecture;software components","Software engineering;Manufacturing industries;Software architecture;Computer industry;Programming;Mass production;Educational technology;Computer architecture;Machinery production industries;Assembly","","","","10","IEEE","6 May 2010","","","IEEE","IEEE Conferences"
"Mapping Features to Source Code through Product Line Architecture: Traceability and Conformance","Y. Zheng; C. Cu; H. U. Asuncion","Department of Computer Science and Electrical Engineering, University of Missouri - Kansas City, Kansas City, Missouri, USA; Department of Computer Science and Electrical Engineering, University of Missouri - Kansas City, Kansas City, Missouri, USA; School of Science, Technology, Engineering, and Mathematics, University of Washington Bothell, Bothell, Washington, USA",2017 IEEE International Conference on Software Architecture (ICSA),"18 May 2017","2017","","","225","234","Existing software product line approaches often develop and evolve product line features, architecture, and source code independently, which makes it difficult to manage the relationship and conformance between these artifacts. This paper presents a novel approach using the architecture as a pivot to address this problem. It consists of a modeling mechanism that integrates features specification into an architectural model, and an architecture-implementation mapping mechanism that combines code generation with annotation processing. The approach can trace a product line feature to the architecture and source code, and automatically update the architecture and source code to maintain their conformance when feature changes occur. We implemented an Eclipse-based toolset to support the approach, and conducted a case study with the Apache Solr open-source system. The result shows that our approach is both applicable and capable to support the development and evolution of real-world variations of a software system.","","978-1-5090-5729-0","10.1109/ICSA.2017.13","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7930221","architecture-implementation conformance;feature traceability;architecture-centric development","Programmable logic arrays;Computer architecture;Tools;Servers;Software product lines;Software systems","","6","","34","IEEE","18 May 2017","","","IEEE","IEEE Conferences"
"Design and research of smart and accurate information push system for atomized products through algorithm optimization and big data technology","R. Guangjin; G. Yibo; Y. Jiangqi; C. Jiahuan; Z. Chenchao","School of Resources and Environmental Engineering, Wuhan University of Technology, Wuhan, China; School of Resources and Environmental Engineering, Wuhan University of Technology, Wuhan, China; School of International Education, Wuhan University of Technology, Wuhan, China; School of Resources and Environmental Engineering, Wuhan University of Technology, Wuhan, China; School of Resources and Environmental Engineering, Wuhan University of Technology, Wuhan, China",2021 IEEE International Conference on Data Science and Computer Application (ICDSCA),"23 Dec 2021","2021","","","753","756","This paper researches and designs a precise pushing system for fog cultivation products based on the current situation of fog cultivation products industry, based on big data related technology. It not only solves the problem of product overload but also realizes accurate marketing for users. It improves the user stickiness of users in the fog cultivation horticulture industry and makes it faster and more convenient for users to obtain various consumables in the process of fog cultivation, which makes the industry develop steadily and lays a certain technical foundation for building a fog cultivation product sales and technical service platform integrating resource distribution, technical support, after-sales service and online feedback.","","978-1-6654-4054-7","10.1109/ICDSCA53499.2021.9650298","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9650298","Big Data Technology;Pesonalized Push;Precise marketing;User Stickiness;Evaluation system","Industries;Conferences;Buildings;Memory;Computer applications;Big Data;Data science","","","","5","IEEE","23 Dec 2021","","","IEEE","IEEE Conferences"
