"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Data Evolution Governance for Ontology-Based Digital Twin Product Lifecycle Management","Z. Ren; J. Shi; M. Imran","School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, China; School of Mechanical and Electrical Engineering, Shanxi Datong University, Datong, China; Institute of Innovation, Science and Sustainability, Federation University, Brisbane, QLD, Australia",IEEE Transactions on Industrial Informatics,"15 Dec 2022","2023","19","2","1791","1802","Product lifecycle management (PLM) is an effective method for enhancing the market competitiveness of modern manufacturing industries. The digital twin is characterized by a profound integration of physics and information systems, which provides a technical means for integrating multisource information and breaking the time and space barrier of communication at each link of the lifecycle. Currently, however, the application of this technology focuses primarily on the product itself and “service-oriented” application results. There is a lack of focus on twin data and its internal evolutionary mechanisms separately. In the management of global data resources, the benefits of digital twin technology cannot be fully realized. This article applies ontology technology in an innovative manner to the field of the digital twin to increase the reusability of twin data. Initially, a four-layered ontology-based twin data management architecture is presented. Then, a three-dimensional and three-granularity unified evolution model of full lifecycle twin data is proposed, as well as its ontology model. Then, the service mode of data components at each stage of the lifecycle is defined, a knowledge-sharing plane is established in the digital twin, and a data governance method based on ontology reasoning using data components on the shared plane is proposed. The ICandyBox simulation platform is then used to demonstrate the concept of the proposed method, and future research directions are proposed.","1941-0050","","10.1109/TII.2022.3187715","Key Areas Research and Development Program of Guangdong Province, China(grant numbers:2019B010150002); Open Fund of the Aerospace Servo Drive and Transmission Technology Laboratory(grant numbers:LASAT-2021-01); Natural Science Foundation of Guangdong Province(grant numbers:2021A1515011946); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9813407","Digital twin;metamodel;ontology reasoning;product lifecycle management (PLM);unified data modeling","Data models;Digital twins;Ontologies;Informatics;Solid modeling;Predictive models;Metadata","","17","","28","IEEE","1 Jul 2022","","","IEEE","IEEE Journals"
"An Intelligent Product-Driven Manufacturing System Using Data Distribution Service","C. -T. Lin; H. -J. Lu","Department of Mechanical Engineering, National Central University, Taoyuan, Taiwan; Department of Mechanical Engineering, National Central University, Taoyuan, Taiwan",IEEE Access,"5 Feb 2024","2024","12","","16447","16461","As key components of smart factories, intelligent production machines are gradually becoming a major capital asset of companies in the market, offering connectivity, interoperability, and services. However, due to commercial and technological constraints, production machines rarely provide enough information for customers to develop data-driven applications. Therefore, this research proposes that intelligence be built into them to assist in production control and allow relevant data to be collected and made available for future use. In order to realize this proposal, an operational paradigm for such systems is first outlined in this paper. Then, the states of workpieces in a production environment are classified, and the methods of generation, operation, and transfer of instances are described. The next step is to build an intelligent product-driven manufacturing system using Data Distribution Service (DDS). Intelligent workpieces and machines collaborate to complete production tasks in such a system. During this collaborative process, an intelligent workpiece continuously collects relevant data and packages it together for the customer on its transformation into a final product. The feasibility of this intelligent product-driven manufacturing system is examined by upgrading a classic manufacturing factory. In addition, the study explores the system architecture, the implementation of a classic system upgrade, the production data collection, and the intellectualization of data assets. In conclusion, the results of this study will help machine builders expand their business models, providing customers with production machines that carry data for advanced data-driven applications.","2169-3536","","10.1109/ACCESS.2024.3359228","Ministry of Science and Technology Council(grant numbers:NSTC 112-2218-E-008-010); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10415431","Data distribution service;intelligent product;manufacturing system;product life cycle;industry 4.0;industrial automation","Manufacturing systems;Production facilities;Fourth Industrial Revolution;Distributed databases;Data processing;Information exchange;Product lifecycle management","","","","60","CCBY","29 Jan 2024","","","IEEE","IEEE Journals"
"A System-Level Modeling Methodology for Performance-Driven Component Selection in Multicore Architectures","A. Agarwal; G. L. Hamza-Lup; T. M. Khoshgoftaar","Department of Computer and Electrical Engineering and Computer Science, Florida Atlantic University, Boca Raton, FL, USA; Department of Computer and Electrical Engineering and Computer Science, Florida Atlantic University, Boca Raton, FL, USA; Department of Computer and Electrical Engineering and Computer Science, Florida Atlantic University, Boca Raton, FL, USA",IEEE Systems Journal,"22 May 2012","2012","6","2","317","328","System complexity, driven by both increasing transistor count and customer need for more and more savvy applications, has increased so dramatically that system design and integration can no longer be an after-thought. With this increasing complexity of the system design, it has become very critical to enhance system design productivity to meet the time-to-market demands and reduce product development cost. Realtime embedded system designers are facing extreme challenges in the underlying architectural design selection. This involves the selection of a programmable, concurrent, heterogeneous multiprocessor architecture platform. Such a multiprocessor-system-on-chip platform has set innovative trends for the realtime systems and system-on-chip designers. The consequences of this trend imply a shift in concern from computation and sequential algorithms to modeling concurrency, synchronization, and communication in every aspect of hardware and software codesign and development. Therefore, there is a need for a high level methodology that can provide a complete system modeling and architecture/component selection platform. The proposed six-step system modeling methodology provides a process for performance driven component selection, to avoid costly iterative system design re-spins, thereby enhancing system design productivity. We demonstrate our methodology by applying it onto a network-on-chip architecture for selecting its components given certain system specification and system-level performance requirements.","1937-9234","","10.1109/JSYST.2011.2173614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6197694","Component based design;component selection;concurrency modeling;embedded systems;performance evaluation;system level design;system modeling","Concurrent computing;Computational modeling;System performance;Libraries;Computer architecture","","5","2","50","IEEE","9 May 2012","","","IEEE","IEEE Journals"
"Overcoming Conflicts of Objectives Between Sensory and Mechanical Domain in the Development of Sensor-Integrating Machine Elements Using the Example of Bolts","J. Peters; N. Mirbach; F. Herbst; D. Riehl; M. Kupnik; K. Hofmann; S. Matthiesen","Institute of Product Engineering, Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany; Institute of Product Engineering, Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany; Institute of Product Engineering, Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany; Integrated Electronic Systems Laboratory, Technische Universität Darmstadt, Darmstadt, Germany; Measurement and Sensor Technology Group, Technische Universität Darmstadt, Darmstadt, Germany; Integrated Electronic Systems Laboratory, Technische Universität Darmstadt, Darmstadt, Germany; Institute of Product Engineering, Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany",IEEE Access,"11 Jul 2024","2024","12","","93975","93992","Comprehensive data on machines is essential for digitization in the industry. Since standardized machine elements are used in most machines, integrating them with sensors provides the opportunity to acquire data comprehensively from in-situ. The sensor integration must not change the element’s core function and the standardized mechanical interfaces. Hence, sensors must be fully integrated and self-sufficient. Regarding bolts as widely used machine element, a solution that combines all the aforementioned requirements does not yet exist. A main problem in developing sensor-integrating machine elements and especially bolts is to overcome the conflicting objectives in defining design space for mechanical and sensory functions. There is a lack of an approach to model the effects of the design space parameters on the mechanical and sensory functions. This paper proposes an optimization function to aid mechanical and electrical engineers in resolving conflicting objectives by balancing function fulfillment when determining design space parameters. Therefore, the effects of the parameters on the mechanical and sensory functions are modelled using FE-analysis and composing an optimization function with weights. This function provides optimal design space parameters. With respect to mountability boundary conditions the optimum for equal weights is at diameters 13.2mm both, increasing v. Mises stress by 29% and strain at sensor position by 80%. The location of the optimum is very dependent on proper weighting, which resembles a prioritization of the mechanical versus the sensory function fulfillment. This enables engineers to find optimal parameters by balancing the mechanical and the sensory function fulfillment.","2169-3536","","10.1109/ACCESS.2024.3423674","Deutsche Forschungsgemeinschaft (DFG, German Research Foundation)(grant numbers:466650813); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10584525","Bolt;conflicting objectives;design space;finite element analysis;mechanical domain;optimization;sensing;sensor;sensory domain;sensor integration;strain gauges","Sensors;Mechanical sensors;Strain measurement;Finite element analysis;Mathematical models;Finite element analysis;Stress control;Digital systems;Machinery","","1","","47","CCBYNCND","4 Jul 2024","","","IEEE","IEEE Journals"
"Building Families of Software Products for e-Learning Platforms: A Case Study","P. S. Barreiro; D. García-Saiz; M. E. Z. Pantaleón","Department of Mathematics, Statistics and Computation, University of Cantabria, Cantabria, Spain; Department of Mathematics, Statistics and Computation, University of Cantabria, Cantabria, Spain; Department of Mathematics, Statistics and Computation, University of Cantabria, Cantabria, Spain",IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,"20 May 2017","2014","9","2","64","71","Applications for e-learning platforms must deal with certain variability inherent to their domain. For example, these applications must be adapted to the variations of each teaching-learning process. Thus, they must be changed manually, according to the particular environment in which they will be deployed. This manual adaptation process is costly and error-prone. Our hypothesis is that software product line (SPL) engineering, whose goal is the effective production of similar software systems, can help to alleviate this problem. This paper illustrates this idea by refactoring an e-learning application named E-Learning Web Miner in a SPL. The benefits obtained are highlighted and analyzed.","1932-8540","","10.1109/RITA.2014.2317531","University of Cantabria; TIN2008-01942/TIN Project through the Spanish Science and Technology Ministry; TIC-5131 Regional Project through the Junta de Andalucía; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6799220","Software product line;refactoring;e-learning;data mining","Electronic learning;Data mining;Computer architecture;Software systems;Software development;HTML;Education courses","","5","","32","IEEE","16 Apr 2014","","","IEEE","IEEE Journals"
"Optimization of Scatter Network Architectures and Bank Allocations for Sparse CNN Accelerators","S. Kim; S. Park; C. S. Park","Department of Electrical and Electronics Engineering, Konkuk University, Seoul, South Korea; Department of Electronics Engineering, Pusan National University, Pusan, South Korea; Department of Electrical and Electronics Engineering, Konkuk University, Seoul, South Korea",IEEE Access,"19 Aug 2022","2022","10","","85864","85879","Sparse convolutional neural network (SCNN) accelerators eliminate unnecessary computations and memory access by exploiting zero-valued activation pixels and filter weights. However, data movement between the multiplier array and accumulator buffer tends to be a performance bottleneck. Specifically, the scatter network, which is the core block of SCNN accelerators, delivers Cartesian products to the accumulator buffer, and certain products are not immediately delivered owing to bus contention. A previous SCNN-based architecture eliminates bus contention and improves the performance significantly by making use of different dataflows. However, it relies only on weight sparsity, and its performance is highly dependent on the workload. In this paper, we propose a novel scatter network architecture for SCNN accelerators. First, we propose network topologies (such as window and split queuing), which define the connection between the FIFOs and crossbar buses in the scatter network. Second, we investigate arbitration algorithms (such as fixed priority, round-robin, and longest-queue-first), which define the priorities of the products delivered to the accumulator buffer. However, the optimization of the scatter network architecture alone may not be able to provide sufficient performance gain since it does not help to reduce bus contention itself. In this paper, we propose a cubic-constrained bank allocation for the accumulator buffer, which reduces bus contention without any increase in the hardware area. Based on the results of cycle-accurate simulation, register-transfer-level (RTL) design, and logic synthesis, this study investigates the trade-off between the performance and complexity of SCNN accelerators. In detail, it is verified that, when the optimized SCNN accelerators are applied to AlexNet, the proposed scatter network architecture can remove most of the performance degradation due to bus contention, thereby improving the accelerator performance by 72%, with an area increase of 18%. It is also shown that the proposed bank allocation provides an additional performance gain of up to 31% when it is applied to SqueezeNet. The proposed scatter network architectures and bank allocation can eliminate bus contention in most Cartesian product-based accelerators, regardless of the workload, without changing accelerator components other than the scatter network.","2169-3536","","10.1109/ACCESS.2022.3199010","Samsung Research Funding and Incubation Center of Samsung Electronics(grant numbers:SRFC-IT1802-10); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9857922","Accelerator;convolutional neural networks (CNNs);cycle-accurate simulator;data compression;dataflow;network on a chip (NoC)","Resource management;Network architecture;Accelerators;Convolutional neural networks;Data compression;Computer architecture;System-on-chip","","1","","37","CCBYNCND","16 Aug 2022","","","IEEE","IEEE Journals"
"Classification-based Mining of Reusable Components on Software Product Lines","M. Arias; A. DeRenzis; A. Buccella; A. Flores; A. Cechich","Universidad Nacional del Comahue, Neuquen, NeuquÃ©n, AR; Universidad Nacional del Comahue, Neuquen, NeuquÃ©n, AR; Universidad Nacional del Comahue, Neuquen, NeuquÃ©n, AR; Universidad Nacional del Comahue, Neuquen, NeuquÃ©n, AR; Universidad Nacional del Comahue, Neuquen, NeuquÃ©n, AR",IEEE Latin America Transactions,"21 Mar 2016","2016","14","2","870","876","Software Product Lines and Component-based systems can be combined to maximize reuse in a predictable and opportunistic manner. When a product line is built for a certain subdomain within a more generic domain, future needs from a closely subdomain may be fulfilled by mining the line's internal components to build a new product line. In this work, we present an approach to classify internal and external (third party) reusable components into a repository, by applying a K-Nearest Neighbors strategy, as a support for building new product lines. Natural language techniques and the WordNet lexical database is also used to process information from software components. We validate the approach with an experiment based in a dataset of external third-party components and reusable components from a product line that we built in the geographic subdomain of marine ecology.","1548-0992","","10.1109/TLA.2016.7437234","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7437234","K-Nearest Neighbors;Software Components;Software Product Lines;Software Reuse","Software;Software product lines;Data mining;Java;ISO Standards;Geographic information systems;Component architectures","","1","","","IEEE","21 Mar 2016","","","IEEE","IEEE Journals"
"IoT-Based Configurable Information Service Platform for Product Lifecycle Management","H. Cai; L. D. Xu; B. Xu; C. Xie; S. Qin; L. Jiang","School of Software, Shanghai Jiao Tong University, Shanghai, China; Chinese Academy of Sciences, Institute of Computing Technology, Beijing, China; Shanghai Jiao Tong University, Shanghai, China; Shanghai Jiao Tong University, Shanghai, China; School of Software, Shanghai Jiao Tong University, Shanghai, China; School of Software, Shanghai Jiao Tong University, Shanghai, China",IEEE Transactions on Industrial Informatics,"2 May 2014","2014","10","2","1558","1567","Internet of Things (IoT) software is required not only to dispose of huge volumes of real-time and heterogeneous data, but also to support different complex applications for business purposes. Using an ontology approach, a Configurable Information Service Platform is proposed for the development of IoT-based application. Based on an abstract information model, information encapsulating, composing, discomposing, transferring, tracing, and interacting in Product Lifecycle Management could be carried out. Combining ontology and representational state transfer (REST)-ful service, the platform provides an information support base both for data integration and intelligent interaction. A case study is given to verify the platform. It is shown that the platform provides a promising way to realize IoT application in semantic level.","1941-0050","","10.1109/TII.2014.2306391","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6742607","Internet of things (IoT);ontology;product lifecycle management;resource-oriented architecture","Business;Ontologies;Solid modeling;Data models;Software;Semantics;Educational institutions","","129","","47","IEEE","17 Feb 2014","","","IEEE","IEEE Journals"
"An architecture for customer experience management based on the Internet of Things","J. Jamison; C. Snow",NA; NA,IBM Journal of Research and Development,"21 Nov 2014","2014","58","5/6","15:1","15:11","In this paper, we propose a commerce-related architecture, the Smarter Commerce Customer Engagement Architecture (SCCEA). This architecture involves a new definition of the commerce lifecycle and an alternative metric for calculating customer experience and benefit, called customer lifetime benefit (CLB). Traditionally, commerce-related architectures have enabled the direct involvement and interaction between customers and companies from a purchasing, customer support center, or marketing perspective. These systems typically help measure financial success through the customer lifetime value (CLV) metric. SCCEA represents a shift in approaches from these architectures to one focused on the interactions with the products customers own and on how those products are operating. SCCEA analyzes the data gathered directly from the operations of products to make a determination of what actions can be taken to positively influence customer experience. SCCEA is realized through combining three foundational domains: Smarter Commerce™, Internet of Things, and Customer Engagement. The paper begins with a definition of the commerce lifecycle, followed by an overview of the three foundational domains. With this foundation established, the authors describe the SCCEA architecture, subsystems, and functional components. Finally, to help clarify the feasibility of the SCCEA approach, a representative scenario from the healthcare industry is presented.","0018-8646","","10.1147/JRD.2014.2346593","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6964873","","Internet of things;Network architecture;Electronic commerce;Market research;Consumer behavior;Consumer products;Customer services;Investments","","1","","43","IBM","21 Nov 2014","","","IBM","IBM Journals"
"Software Architecture Social Debt: Managing the Incommunicability Factor","D. A. Tamburri","Jheronimus Academy of Data Science, Technische Universiteit Eindhoven, Eindhoven, The Netherlands",IEEE Transactions on Computational Social Systems,"13 Feb 2019","2019","6","1","20","37","Architectural technical debt is the additional project cost connected to technical issues nested in software architectures. Similarly, many practitioners have already experienced that there exists within software architectures a form of social debt, that is, the additional project cost connected to sociotechnical and organizational issues evident in or related to software architectures. This paper illustrates four recurrent antipatterns or community smells connected to such architectural social debt and outlines a means to measure the additional project cost connected to their underlying cause: decision incommunicability. Evaluating the results in multiple focus groups, this paper concludes that studying social debt and community smells at the architecture level may prove vital to rid software development communities of critical organizational flaws incurring considerable additional cost.","2329-924X","","10.1109/TCSS.2018.2886433","European Commission(grant numbers:0421); European Commission (H2020), ANITA(grant numbers:787061); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8613009","Social debt;social debt cost estimation;social debt in software architecting;technical debt","Software architecture;Software;Computer architecture;Green products;Interviews;Europe;Documentation","","20","","61","IEEE","15 Jan 2019","","","IEEE","IEEE Journals"
