key,title,authors,year,journal,abstract,doi
10.1007/s00165-021-00566-z,Drawing with SAT: four methods and A tool for producing railway infrastructure schematics,"Luteberget, Bj\o{}rnar; Johansen, Christian",2021,Form. Asp. Comput.,"Schematic drawings showing railway tracks and equipment are commonly used to visualize railway operations and to communicate system specifications and construction blueprints. Recent advances in on-line collaboration and modeling tools have raised the expectations for quickly making changes to models, resulting in frequent changes to layouts, text, and/or symbols in schematic drawings. Automating the creation of high-quality schematic views from geographical and topological models can help engineers produce and update drawings efficiently. This paper introduces four methods for automatically producing schematic railway drawings with increasing level of quality and control over the result. The final method, implemented in the open-source tool that we have developed, can use any combination of the following optimization criteria, which can have different priorities in different use cases: width and height of the drawing, the diagonal line lengths, and the number of bends. We show how to encode schematic railway drawings as an optimization problem over Boolean and numerical domains, using combinations of unary number encoding, lazy difference constraints, and numerical optimization into an incremental SAT formulation. We compare drawings resulting from each of the four methods, applied to models of real-world engineering projects and existing railway infrastructure. We also show how to add symbols and labels to the track plan, which is important for the usefulness of the final outputs. Since the proposed tool is customizable and efficiently produces high-quality drawings from railML 2.x models, it can be used (as it is or extended) both as an integrated module in an industrial design tool like RailCOMPLETE, or by researchers for visualization purposes.",10.1007/s00165-021-00566-z
10.1109/TASLP.2018.2842146,Linear System Identification Based on a Kronecker Product Decomposition,"Paleologu, Constantin; Benesty, Jacob; Ciochina, Silviu",2018,"IEEE/ACM Trans. Audio, Speech and Lang. Proc.","Linear system identification is a key problem in many important applications, among which echo cancelation is a very challenging one. Due to the long length impulse responses i.e., echo paths to be identified, there is always room and needs to improve the performance of the echo cancelers, especially in terms of complexity, convergence rate, robustness, and accuracy. In this paper, we propose a new way to address the system identification problem from the echo cancelation perspective, by exploiting an optimal approximation of the impulse response based on the nearest Kronecker product decomposition. Also, we make a first step toward this direction, by developing an iterative Wiener filter based on this approach. As compared to the conventional Wiener filter, the proposed solution is much more attractive since its gain is twofold. First, the matrices to be inverted or, preferably, linear systems to be solved are smaller as compared to the conventional approach. Second, as a consequence, the iterative Wiener filter leads to a good estimate of the impulse response, even when a small amount of data is available for the estimation of the statistics. Simulation results support the theoretical findings and indicate the good results of the proposed approach, for the identification of different network and acoustic impulse responses.",10.1109/TASLP.2018.2842146
10.1109/TASLP.2019.2895241,Differential Kronecker Product Beamforming,"Cohen, Israel; Benesty, Jacob; Chen, Jingdong",2019,"IEEE/ACM Trans. Audio, Speech and Lang. Proc.","Differential beamformers have attracted much interest over the past few decades. In this paper, we introduce differential Kronecker product beamformers that exploit the structure of the steering vector to perform beamforming differently from the well-known and studied conventional approach. We consider a class of microphone arrays that enable to decompose the steering vector as a Kronecker product of two steering vectors of smaller virtual arrays. In the proposed approach, instead of directly designing the differential beamformer, we break it down following the decomposition of the steering vector, and show how to derive differential beamformers using the Kronecker product formulation. As demonstrated, the Kronecker product decomposition facilitates further flexibility in the design of differential beamformers and in the tradeoff control between the directivity factor and the white noise gain.",10.1109/TASLP.2019.2895241
10.1109/TASLP.2020.3015659,Neural Network Language Model Compression With Product Quantization and Soft Binarization,"Yu, Kai; Ma, Rao; Shi, Kaiyu; Liu, Qi",2020,"IEEE/ACM Trans. Audio, Speech and Lang. Proc.","Large memory consumption of the neural network language models (NN LMs) prohibits their use in many resource-constrained scenarios. Hence, effective NN LM compression approaches that are independent of NN structures are of great interest. However, previous approaches usually achieve a high compression ratio at the cost of obvious performance loss. In this paper, two recently proposed quantization approaches, product quantization (PQ) and soft binarization are effectively combined to address the issue. PQ decomposes word embedding matrices into a Cartesian product of low dimensional subspaces and quantizes each subspace separately. Soft binarization uses a small number of float scalars and the knowledge distillation technique to recover the performance loss during the binarization. Experiments show that the proposed approaches can achieve a high compression ratio, from 70 to over 100, while still maintaining comparable performance to the uncompressed NN LM on both PPL and word error rate criteria.",10.1109/TASLP.2020.3015659
10.1109/TASLP.2021.3092825,Multichannel Iterative Noise Reduction Filters in the Short-Time-Fourier-Transform Domain Based on Kronecker Product Decomposition,"Wang, Xianghui; Chen, Jie; Chen, Xiaoyi; Guo, Jing; Xiang, Qian",2021,"IEEE/ACM Trans. Audio, Speech and Lang. Proc.","In this paper, the design of multichannel noise reduction filters in the short-time-Fourier-transform (STFT) domain is addressed. By investigating the structure of the linear filter, a set of multichannel iterative noise reduction filters are developed based on the Kronecker product decomposition. Instead of computing a long noise reduction filter, we compute three much shorter sub-filters which are separately applied in the spatial, temporal and frequency dimensions. Consequently, compared with the traditional multichannel STFT-domain noise reduction filters, the proposed approaches have two advantages: 1) significantly lower computational complexity; 2) less past observations are needed to construct the iterative filters, which leads to better tracking ability for the temporal/spatial signal nonstationarity. Experimental results demonstrate the advantages of the developed iterative filters over the traditional ones.",10.1109/TASLP.2021.3092825
10.1109/TASLP.2021.3120603,Minimum-Volume Multichannel Nonnegative Matrix Factorization for Blind Audio Source Separation,"Wang, Jianyu; Guan, Shanzheng; Liu, Shupei; Zhang, Xiao-Lei",2021,"IEEE/ACM Trans. Audio, Speech and Lang. Proc.","Multichannel blind audio source separation aims to recover the latent sources from their multichannel mixtures without supervised information. One state-of-the-art blind audio source separation method, named independent low-rank matrix analysis (ILRMA), unifies independent vector analysis (IVA) and nonnegative matrix factorization (NMF). However, the spectra matrix produced from NMF may not find a compact spectral basis. It may not guarantee the identifiability of each source as well. To address this problem, here we propose to enhance the identifiability of the source model by a minimum-volume prior distribution. We further regularize a multichannel NMF (MNMF) and ILRMA respectively with the minimum-volume regularizer. The proposed methods maximize the posterior distribution of the separated sources, which ensures the stability of the convergence. Experimental results demonstrate the effectiveness of the proposed methods compared with auxiliary independent vector analysis, MNMF, ILRMA and its extensions. The source code is available at &lt;uri&gt;https://github.com/alexwang9654/m-ILRMA&lt;/uri&gt;.",10.1109/TASLP.2021.3120603
10.1109/TASLP.2024.3446242,Speech Separation With Pretrained Frontend to Minimize Domain Mismatch,"Wang, Wupeng; Pan, Zexu; Li, Xinke; Wang, Shuai; Li, Haizhou",2024,"IEEE/ACM Trans. Audio, Speech and Lang. Proc.","Speech separation seeks to separate individual speech signals from a speech mixture. Typically, most separation models are trained on synthetic data due to the unavailability of target reference in real-world cocktail party scenarios. As a result, there exists a domain gap between real and synthetic data when deploying speech separation models in real-world applications. In this paper, we propose a self-supervised domain-invariant pretrained (DIP) frontend that is exposed to mixture data without the need for target reference speech. The DIP frontend utilizes a Siamese network with two innovative pretext tasks, mixture predictive coding (MPC) and mixture invariant coding (MIC), to capture shared contextual cues between real and synthetic unlabeled mixtures. Subsequently, we freeze the DIP frontend as a feature extractor when training the downstream speech separation models on synthetic data. By pretraining the DIP frontend with the contextual cues, we expect that the speech separation skills learned from synthetic data can be effectively transferred to real data. To benefit from the DIP frontend, we introduce a novel separation pipeline to align the feature resolution of the separation models. We evaluate the speech separation quality on standard benchmarks and real-world datasets. The results confirm the superiority of our DIP frontend over existing speech separation models. This study underscores the potential of large-scale pretraining to enhance the quality and intelligibility of speech separation in real-world applications.",10.1109/TASLP.2024.3446242
10.1109/TCBB.2018.2875692,Identification of Minimum Set of Master Regulatory Genes in Gene Regulatory Networks,"Bakhteh, Somayeh; Ghaffari-Hadigheh, Alireza; Chaparzadeh, Nader",2020,IEEE/ACM Trans. Comput. Biol. Bioinformatics,"Identification of master regulatory genes is one of the primary challenges in systems biology. The minimum dominating set problem is a powerful paradigm in analyzing such complex networks. In these models, genes stand as nodes and their interactions are assumed as edges. Here, members of a minimal dominating set could be regarded as master genes. As finitely many minimum dominating sets may exist in a network, it is difficult to identify which one represents the most appropriate set of master genes. In this paper, we develop a weighted gene regulatory network problem with two objectives as a version of the dominating set problem. Collective influence of each gene is considered as its weight. The first objective aims to find a master regulatory genes set with minimum cardinality, and the second objective identifies the one with maximum weight. The model is converted to a single objective using a parameter varying between zero and one. The model is implemented on three human networks, and the results are reported and compared with the existing model of weighted network. Parametric programming in linear optimization and logistic regression are also implemented on the arisen relaxed problem to provide a deeper understanding of the results. Learned from computational results in parametric analysis, for some ranges of priorities in objectives, the identified master regulatory genes are invariant, while some of them are identified for all priorities. This would be an indication that such genes have higher degree of being master regulatory ones, specially on the noisy networks.",10.1109/TCBB.2018.2875692
10.1109/TCBB.2024.3366240,GenCoder: A Novel Convolutional Neural Network Based Autoencoder for Genomic Sequence Data Compression,"K. S., Sheena; Nair, Madhu S.",2024,IEEE/ACM Trans. Comput. Biol. Bioinformatics,"Revolutionary advances in DNA sequencing technologies fundamentally change the nature of genomics. Today's sequencing technologies have opened into an outburst in genomic data volume. These data can be used in various applications where long-term storage and analysis of genomic sequence data are required. Data-specific compression algorithms can effectively manage a large volume of data. In recent times, deep learning has achieved great success in many compression tools and is gradually being used in genomic sequence compression. Significantly, autoencoder has been applied in dimensionality reduction, compact representations of data, and generative model learning. It can use convolutional layers to learn essential features from input data, which is better for image and series data. Autoencoder reconstructs the input data with some loss of information. Since accuracy is critical in genomic data, compressed genomic data must be decompressed without any information loss. We introduce a new scheme to address the loss incurred in the decompressed data of the autoencoder. This paper proposes a novel algorithm called GenCoder for reference-free compression of genomic sequences using a convolutional autoencoder and regenerating the genomic sequences from a latent code produced by the autoencoder, and retrieving original data losslessly. Performance evaluation is conducted on various genomes and benchmarked datasets. The experimental results on the tested data demonstrate that the deep learning model used in the proposed compression algorithm generalizes well for genomic sequence data and achieves a compression gain of 27% over the best state-of-the-art method.",10.1109/TCBB.2024.3366240
10.1109/TNET.2020.2971770,A Physarum-Inspired Algorithm for Minimum-Cost Relay Node Placement in Wireless Sensor Networks,"Sun, Yahui; Rehfeldt, Daniel; Brazil, Marcus; Thomas, Doreen; Halgamuge, Saman",2020,IEEE/ACM Trans. Netw.,"Relay node placement, which aims to connect pre-deployed sensor nodes to base stations, is essential in minimizing the costs of wireless sensor networks. In this paper, we formulate the new Node-Weighted Partial Terminal Steiner Tree Problem (NWPTSTP) for minimum-cost relay node placement in two-tiered wireless sensor networks. The objective is to minimize the sum of heterogeneous production and placement costs of relay nodes and the sum of outage probabilities of transmission routes in a routing tree simultaneously. This extends the previous work that considers the costs of relay nodes to be homogeneous. After formulating NWPTSTP for this purpose, we prove that it can be transformed to the existing node-weighted Steiner tree problem. Subsequently, we conduct some theoretical analyses on the emerging Physarum-inspired algorithms to reveal their potential of computing Steiner trees. Based on these analyses, we propose a new Physarum-inspired algorithm for solving NWPTSTP. We conduct computational trials to show that: 1) in comparison to a state-of-the-art approximation algorithm for solving the node-weighted Steiner tree problem, our Physarum-inspired algorithm can produce better solutions in a smaller amount of time; and 2) in comparison to two state-of-the-art relay node placement algorithms, our Physarum-inspired algorithm can design wireless sensor networks with 25% lower relay cost and similar quality of service (specifically, 5% shorter network lifetime, 2% longer delay, and 0% loss of goodput). This indicates the usefulness of our Physarum-inspired algorithm for minimum-cost relay node placement in budget-limited scenarios.",10.1109/TNET.2020.2971770
