key,title,authors,year,journal,abstract,doi
10.1007/s00165-019-00491-2,Estimating costs of multi-component enterprise applications,"Brogi, Antonio; Corradini, Andrea; Soldani, Jacopo",2019,Form. Asp. Comput.,"Estimating the cost of a multi-component application (e.g., its resource or energy consumption) is fundamental in nowadays enterprise IT, especially if we consider that current pricing models are mainly pay per-use. While this is still manageable on small applications, it is really hard to manually estimate the cost of large-scale enterprise applications involving hundreds of interdependent application components. In this article, we formalise the problem of estimating costs of multi-component applications, by representing the structure of an application as a typed directed graph, and by allowing to associate different types of costs with different application components. We show that costs can be fully customised, and that associating different costs with the same application leads to different cost estimation problems defined on that application.We then present an approach for solving cost estimation problems on multi-component applications, which is based on terminating and confluent graph transformations. We also present a prototype implemenation of our approach, which we use to run a case study based on a third-party application.",10.1007/s00165-019-00491-2
10.1109/TCBB.2019.2916810,End-to-End Security for Local and Remote Human Genetic Data Applications at the EGA,"Senf, Alexander",2019,IEEE/ACM Trans. Comput. Biol. Bioinformatics,"Sensitive genomic data should remain secure - whether on disk for storage, or analysis, or in transport. However, secure storage, delivery, and usage of genomic data is complicated by the size of files and diversity of workflows. This paper presents solutions developed by GA4GH and EGA to use custom-ized encryption, encrypted file formats, toolchain integration, and intelligent APIs to help solve this problem.",10.1109/TCBB.2019.2916810
10.1109/TNET.2020.2973800,Vehicular-OBUs-As-On-Demand-Fogs: Resource and Context Aware Deployment of Containerized Micro-Services,"Sami, Hani; Mourad, Azzam; El-Hajj, Wassim",2020,IEEE/ACM Trans. Netw.,"Observing the headway in vehicular industry, new applications are developed demanding more resources. For instance, real-time vehicular applications require fast processing of the vast amount of generated data by vehicles in order to maintain service availability and reachability while driving. Fog devices are capable of bringing cloud intelligence near the edge, making them a suitable candidate to process vehicular requests. However, their location, processing power, and technology used to host and update services affect their availability and performance while considering the mobility patterns of vehicles. In this paper, we overcome the aforementioned limitations by taking advantage of the evolvement of On-Board Units, Kubeadm Clustering, Docker Containerization, and micro-services technologies. In this context, we propose an efficient resource and context aware approach for deploying containerized micro-services on on-demand fogs called Vehicular-OBUs-As-On-Demand-Fogs. Our proposed scheme embeds (1) a Kubeadm based approach for clustering OBUs and enabling on-demand micro-services deployment with the least costs and time using Docker containerization technology, (2) a hybrid multi-layered networking architecture to maintain reachability between the requesting user and available vehicular fog cluster, and (3) a vehicular multi-objective container placement model for producing efficient vehicles selection and services distribution. An Evolutionary Memetic Algorithm is elaborated to solve our vehicular container placement problem. Experiments and simulations demonstrate the relevance and efficiency of our approach compared to other recent techniques in the literature.",10.1109/TNET.2020.2973800
10.1109/TNET.2020.2979361,Edge Federation: Towards an Integrated Service Provisioning Model,"Cao, Xiaofeng; Tang, Guoming; Guo, Deke; Li, Yan; Zhang, Weiming",2020,IEEE/ACM Trans. Netw.,"Edge computing is a promising computing paradigm by pushing the cloud service to the network edge. To this end, edge infrastructure providers (EIPs) need to bring computation and storage resources to the network edge and allow edge service providers (ESPs) to provision latency-critical services for end users. Currently, EIPs prefer to establish a series of private edge-computing environments to serve specific requirements of users. This kind of resource provisioning mechanism severely limits the development and spread of edge computing in serving diverse user requirements. In this paper, we propose an integrated resource provisioning model, named edge federation, to seamlessly realize the resource cooperation and service provisioning across standalone edge computing providers and clouds. To efficiently schedule and utilize the resources across multiple EIPs, we systematically characterize the provisioning process as a large-scale linear programming (LP) problem and transform it into an easily solved form. Accordingly, we design a dynamic algorithm to tackle the varying service demands from users. We conduct extensive experiments over the base station networks in Toronto. Compared with the fixed contract model and multihoming model, edge federation can reduce the overall costs of EIPs by 23.3\% to 24.5\%, and 15.5\% to 16.3\%, respectively.",10.1109/TNET.2020.2979361
10.1109/TNET.2020.3019098,A Coverage-Aware Resource Provisioning Method for Network Slicing,"Luu, Quang-Trung; Kerboeuf, Sylvaine; Mouradian, Alexandre; Kieffer, Michel",2020,IEEE/ACM Trans. Netw.,"With network slicing in 5G networks, Mobile Network Operators can create various slices for Service Providers (SPs) to accommodate customized services. Usually, the various Service Function Chains (SFCs) belonging to a slice are deployed on a best-effort basis. Nothing ensures that the Infrastructure Provider (InP) will be able to allocate enough resources to cope with the increasing demands of some SP. Moreover, in many situations, slices have to be deployed over some geographical area: coverage as well as minimum per-user rate constraints have then to be taken into account. This paper takes the InP perspective and proposes a slice resource &lt;italic&gt;provisioning&lt;/italic&gt; approach to cope with multiple slice demands in terms of computing, storage, coverage, and rate constraints. The resource requirements of the various SFCs within a slice are aggregated within a graph of Slice Resource Demands (SRD). Infrastructure nodes and links have then to be provisioned so as to satisfy all SRDs. This problem leads to a Mixed Integer Linear Programming formulation. A two-step approach is considered, with several variants, depending on whether the constraints of each slice to be provisioned are taken into account sequentially or jointly. Once provisioning has been performed, any slice deployment strategy may be considered on the reduced-size infrastructure graph on which resources have been provisioned. Simulation results demonstrate the effectiveness of the proposed approach compared to a more classical direct slice embedding approach.",10.1109/TNET.2020.3019098
10.1109/TNET.2021.3114448,Fast Configuration Change Impact Analysis for Network Overlay Data Center Networks,"You, Lizhao; Zhang, Jiahua; Jin, Yili; Tang, Hao; Li, Xiao",2021,IEEE/ACM Trans. Netw.,"This paper presents the first network configuration verifier that provides fast all-pair reachability analysis of incremental configuration changes for network overlay data center networks (DCNs). Network overlay DCNs leverage distributed routing protocol on edge leaf switches to disseminate overlay routes and establish overlay tunnels. In addition, network overlay DCNs use access control lists, microsegmentation policy, policy-based routing and firewall policy to control east-west and north-south traffic. Although some incremental verification approaches have been proposed, they either do not support certain forwarding features of the network, or are not efficient. Our configuration verifier addresses these issues through the following components: 1) a port predicate based forwarding model that is general to support all features; 2) fine-grained association technique to index possibly affected reachable pairs by changed interfaces in the original network; and 3) required waypoint path computation that finds all reachable pairs related to changed interfaces in the new network. Based on these components, our verifier presents two incremental verification algorithms that are specially designed for different service update cases. Experiment results show that our incremental verification algorithms are accurate and fast. For all-pair reachability, our verifier performs change-impact analysis within 15s for networks with 200 leafs (4000 subnets and 16 million pairs), outperforming existing approaches by up to 10x.",10.1109/TNET.2021.3114448
10.1109/TNET.2022.3190730,Southbound Message Delivery With Virtual Network Topology Awareness in Clouds,"Zhao, Gongming; Luo, Luyao; Xu, Hongli; Chung, Chun-Jen; Xie, Liguang",2022,IEEE/ACM Trans. Netw.,"Southbound message delivery from the control plane to the data plane is one of the essential issues in multi-tenant clouds. A natural method of southbound message delivery is that the control plane directly communicates with compute nodes in the data plane. However, due to the large number of compute nodes, this method may result in massive control overhead. The Message Queue (MQ) model can solve this challenge by aggregating and distributing messages to queues. Existing MQ-based solutions often perform message aggregation based on the physical network topology, which do not align with the fundamental requirements of southbound message delivery, leading to high message redundancy on compute nodes. To address this issue, we design and implement VITA, the first-of-its-kind work on virtual network topology-aware southbound message delivery. However, it is intractable to optimally deliver southbound messages according to the virtual attributes of messages. Thus, we design two algorithms, submodular-based approximation algorithm and simulated annealing-based algorithm, to solve different scenarios of the problem. Both experiment and simulation results show that VITA can reduce the total traffic amount of redundant messages by 45%-75% and reduce the control overhead by 33%-80% compared with state-of-the-art solutions.",10.1109/TNET.2022.3190730
10.1109/TNET.2022.3206781,Secure Inter-Container Communications Using XDP/eBPF,"Nam, Jaehyun; Lee, Seungsoo; Porras, Phillip; Yegneswaran, Vinod; Shin, Seungwon",2022,IEEE/ACM Trans. Netw.,"While the use of containerization technologies for virtual application deployment has grown at an astonishing rate, the question of the robustness of container networking has not been well scrutinized from a security perspective, even though inter-container networking is indispensable for microservices. Thus, this paper first analyzes container networks from a security perspective, discussing the implications based on their architectural limitations. Then, it presents Bastion+, a secure inter-container communication bridge. Bastion+ introduces (&lt;inline-formula&gt; &lt;tex-math notation=""LaTeX""&gt;$i$ &lt;/tex-math&gt;&lt;/inline-formula&gt;) a network security enforcement stack that provides fine-grained control per container application and securely isolates inter- container traffic in a point-to-point manner. Bastion+ also supports (&lt;inline-formula&gt; &lt;tex-math notation=""LaTeX""&gt;$ii$ &lt;/tex-math&gt;&lt;/inline-formula&gt;) selective security function chaining, enabling various security functions to be chained between containers for further security inspections (e.g., deep packet inspection) according to the container’s network context. Bastion+ incorporates (&lt;inline-formula&gt; &lt;tex-math notation=""LaTeX""&gt;$iii$ &lt;/tex-math&gt;&lt;/inline-formula&gt;) a security policy assistant that helps an administrator discover inter-container networking dependencies correctly. Our evaluation demonstrates how Bastion+ can effectively mitigate several adversarial attacks in container networks while improving the overall performance up to 25.4% within single-host containers and 17.7% for cross-host container communications.",10.1109/TNET.2022.3206781
10.1109/TNET.2022.3217280,Efficient Revenue-Based MEC Server Deployment and Management in Mobile Edge-Cloud Computing,"Zhang, Yongmin; Wang, Wei; Ren, Ju; Huang, Jinge; He, Shibo; Zhang, Yaoxue",2022,IEEE/ACM Trans. Netw.,"With the explosive growth of mobile applications, the development of mobile edge computing (MEC) has been greatly promoted since it can ably improve the quality of service for mobile applications by providing low latency and high-quality computation services. Most existing works focus on improving the efficiency of MEC with an assumption that the MEC servers have already been deployed. However, without appropriate deployment of MEC servers, the profitability of the MEC system can be significantly restrained, which hinders the rapid promotion of the MEC. To address this issue, we formulate an MEC server deployment problem for the MEC operator as a revenue maximization problem. Firstly, we model and analyze the various factors that affect the revenue. Secondly, we formulate a revenue maximization problem, which is NP-hard, but it is proved to be convex with respect to the total available computation units. Based on this feature, we propose a three-layer optimization algorithm, named EDM, in which the location, the deployed computation units, and the wholesaled computation resources are determined gradually, to maximize the total revenue. Experimental results demonstrate that the proposed EDM algorithm has significant advantages on revenue improvement compared to competitive benchmarks.",10.1109/TNET.2022.3217280
10.1109/TNET.2022.3220427,Scalable and Secure Virtualization of HSM With ScaleTrust,"Han, Juhyeng; Yun, Insu; Kim, Seongmin; Kim, Taesoo; Son, Sooel; Han, Dongsu",2022,IEEE/ACM Trans. Netw.,"Hardware security modules (HSMs) have been utilized as a trustworthy foundation for cloud services. Unfortunately, existing systems using HSMs fail to meet multi-tenant scalability arising from the emerging trends such as microservices, which utilize frequent cryptographic operations. As an alternative, cloud vendors provide HSMs as a service. However, such cloud-managed HSM usage models raise security concerns due to their untrusted and shared operating environment. We propose ScaleTrust, a scalable and secure system for key management. ScaleTrust allows us to scale the number of virtual HSM partitions, each of which is isolated with respect to each other and is robust against cloud insider attacks, while preserving physical isolation of the root of trust. To enable this, ScaleTrust uses Intel SGX and multiple HSM features, such as restricting key usage by controlling key attributes of in-HSM keys and establishing a secure channel using only HSM commands. Finally, we apply ScaleTrust to four real-world systems: Keyless SSL for TLS private key offloading, JSON Web Token authentication for microservices, key provisioning, and encryption in database systems. Our evaluation shows that ScaleTrust achieves multi-tenancy in a scalable way by providing multiple virtual HSMs with legacy HSM devices that are designed to support a single tenant. ScaleTrust provides security against insider threats while incurring 11.9% and 39.0% of end-to-end throughput and latency overhead for Keyless SSL compared to stand-alone HSMs.",10.1109/TNET.2022.3220427
