Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Data Mesh Architecture: From Theory to Practice,I. Kumara; S. Driessen; T. van Eijk; D. Di Nucci; D. A. Tamburri; W. -J. van den Heuvel,"JADS and Tilburg University, 's-Hertogenbosch, The Netherlands; JADS and Tilburg University, 's-Hertogenbosch, The Netherlands; JADS and Tilburg University, 's-Hertogenbosch, The Netherlands; University of Salerno, Salerno, Italy; JADS and Eindhoven University of Technology, 's-Hertogenbosch, The Netherlands; JADS and Tilburg University, 's-Hertogenbosch, The Netherlands",2024 IEEE 21st International Conference on Software Architecture Companion (ICSA-C),21-Aug-24,2024,,,375,376,"Data mesh is an emerging decentralized approach to managing and generating value from analytical enterprise data at scale. It shifts the ownership of the data to the business domains closest to the data, promotes sharing and managing data as autonomous products, and uses a federated and auto-mated data governance model. This short tutorial introduces data mesh architecture to practitioners and researchers in the software architecture community. First, we present the key components of a data mesh architecture and discuss critical design decisions that should be made when designing and implementing data meshes in organizations. Then, we present the findings from the data mesh case studies we conducted at the three organizations in the Netherlands and Germany.",2768-4288,979-8-3503-6625-9,10.1109/ICSA-C63560.2024.00068,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628210,Data Mesh;Design Decisions;Case Studies,Software architecture;Computer architecture;Organizations;Tutorials;Data models;Data governance,,,,8,IEEE,21-Aug-24,,,IEEE,IEEE Conferences
Architectural Design Decisions for Self-Serve Data Platforms in Data Meshes,T. Van Eijk; I. Kumara; D. Di Nucci; D. A. Tamburri; W. -J. Van den Heuvel,"JADS and Tilburg University, 's-Hertogenbosch, The Netherlands; JADS and Tilburg University, 's-Hertogenbosch, The Netherlands; University of Salerno, Salerno, Italy; JADS and Eindhoven University of Technology, 's-Hertogenbosch, The Netherlands; JADS and Tilburg University, 's-Hertogenbosch, The Netherlands",2024 IEEE 21st International Conference on Software Architecture (ICSA),24-Jul-24,2024,,,135,145,"Data mesh is an emerging decentralized approach to managing and generating value from analytical enterprise data at scale. It shifts the ownership of the data to the business domains closest to the data, promotes sharing and managing data as autonomous products, and uses a federated and automated data governance model. The data mesh relies on a managed data platform that offers services to domain and governance teams to build, share, and manage data products efficiently. However, designing and implementing a self-serve data platform is challenging, and the platform engineers and architects must understand and choose the appropriate design options to ensure the platform will enhance the experience of domain and governance teams. For these reasons, this paper proposes a catalog of architectural design decisions and their corresponding decision options by systematically reviewing 43 industrial gray literature articles on self-serve data platforms in data mesh. Moreover, we used semi-structured interviews with six data engineering experts with data mesh experience to validate, refine, and extend the findings from the literature. Such a catalog of design decisions and options drawn from the state of practice shall aid practitioners in building data meshes while providing a baseline for further research on data mesh architectures.",2835-7043,979-8-3503-5916-9,10.1109/ICSA59870.2024.00021,European Union's Horizon(grant numbers:101097036); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10592671,Data mesh;Design decisions;Self-serve data platform;Gray literature;Interviews,Software architecture;Architecture;Buildings;Computer architecture;Data engineering;Data models;Data governance,,1,,31,IEEE,24-Jul-24,,,IEEE,IEEE Conferences
Using Microservices for Rapid Creation of Remote Sensing Products,B. Xiang; Z. Li; Y. Liu; H. Zhang,"Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, China; Department of Computer Engineering and Computer Science, University of Concepción, Chile; Faculty of Engineering and Computer Science, Concordia University, Canada; State Key Laboratory of Novel Software Technology, Software Institute, Nanjing University, China",2018 IEEE International Conference on Software Architecture Companion (ICSA-C),13-Aug-18,2018,,,111,114,"Driven by the demands of various sensing data products, remote sensing software systems have increasingly been developed and applied to a wide range of fields. Due to the legacy monolithic product line, we used to satisfy the requirements on a project-by-project basis, only with reuse of some fundamental source codes and tools. By employing microservices to refactor our product line, we are now able to follow a divide-and-conquer strategy to maximize the reusability of component business capacities and create satellite remote sensing products at a much faster pace. This paper mainly introduces our microservice-oriented product line, and the data-analytics-visualization (DAV) pattern for logically organizing and managing relevant microservices of different products. In particular, two projects (namely archaeological detection and cultural heritage protection & urban planning and land use) are used to demonstrate how we prevent to develop thematic products from scratch.",,978-1-5386-6585-5,10.1109/ICSA-C.2018.00037,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8432192,Microservices;Software Architecture;Satellite Remote Sensing,Sensors;Cultural differences;Remote sensing;Satellites;Monitoring;Portals;Computer architecture,,,,5,IEEE,13-Aug-18,,,IEEE,IEEE Conferences
"Data Mesh: Guiding Principles and Patterns, and Data Catalog Architectural Concept",S. Karkošková,"University of Economics and Business, Prague, Czech Republic","2024 10th International Conference on Control, Decision and Information Technologies (CoDIT)",18-Oct-24,2024,,,1485,1490,"The paper explores the concept of Data mesh, a change in thinking in data architecture that enables efficient data sharing and creation of data products. The paper emphasizes the significance of data governance, promoting the creation of a data catalog as a central repository for information about data products. The paper introduces the guiding principles of Data mesh are outlined, including a domain-driven approach, product-based thinking, decentralized ownership, and federated governance. The paper further explores the data product lifecycle, detailing the stages from data product initiation to decommissioning or refinement. Additionally, the role of the data catalog in the data mesh is discussed, encompassing components such as data shop, identity management, enterprise knowledge graph, data quality, data dictionary, business glossary, and data lineage.",2576-3555,979-8-3503-7397-4,10.1109/CoDIT62066.2024.10708349,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10708349,,Dictionaries;Data integrity;Knowledge graphs;Organizations;Product development;Data governance;Information technology;Retirement,,,,15,IEEE,18-Oct-24,,,IEEE,IEEE Conferences
Enhancing microservices architectures using data-driven service discovery and QoS guarantees,Z. Houmani; D. Balouek-Thomert; E. Caron; M. Parashar,"Inria Avalon team, LIP Laboratory, UMR CNRS - ENS de Lyon - INRIA - UCB Lyon 5668, University of Lyon, France; Rutgers Discovery Informatics Institute, Rutgers University, NJ, USA; Inria Avalon team, LIP Laboratory, UMR CNRS - ENS de Lyon - INRIA - UCB Lyon 5668, University of Lyon, France; Rutgers Discovery Informatics Institute, Rutgers University, NJ, USA","2020 20th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing (CCGRID)",14-Jul-20,2020,,,290,299,"Microservices promise the benefits of services with an efficient granularity using dynamically allocated resources. In the current evolving architectures, data producers and consumers are created as decoupled components that support different data objects and quality of service. Actual implementations of service meshes lack support for data-driven paradigms, and focus on goal-based approaches designed to fulfill the general system goal. This diversity of available components demands the integration of users requirements and data products into the discovery mechanism. This paper proposes a data-driven service discovery framework based on profile matching using data-centric service descriptions. We have designed and evaluated a microservices architecture for providing service meshes with a standalone set of components that manages data profiles and resources allocations over multiple geographical zones. Moreover, we demonstrated an adaptation scheme to provide quality of service guarantees. Evaluation of the implementation on a real life testbed shows effectiveness of this approach with stable and fluctuating request incoming rates.",,978-1-7281-6095-5,10.1109/CCGrid49817.2020.00-64,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9139713,Microservices;data-driven;quality of service;software architecture;load shedding,Quality of service;Computer architecture;Data models;Protocols;Internet of Things;Edge computing;Adaptation models,,12,,35,IEEE,14-Jul-20,,,IEEE,IEEE Conferences
Earth science data fusion with event building approach,C. Lukashin; A. Bartle; E. Callaway; V. Gyijrjyan; S. Mancilla; R. Oyarzun; A. Vakhnin,"NASA Langley Research Center, Hampton, VA; Mechdyne Corporation, VA; Mechdyne Corporation, VA; Thomas Jefferson National Accelerator Facility, Newport News, VA, US; University Tecnica Federico Santa Maria, Chile; University Tecnica Federico Santa Maria, Chile; Science Systemt and Applications Inc., Hampton, VA",2015 IEEE International Conference on Big Data (Big Data),28-Dec-15,2015,,,1943,1947,"Objectives of the NASA Information And Data System (NAIADS) project are to develop a prototype of a conceptually new middleware framework to modernize and significantly improve efficiency of the Earth Science data fusion, big data processing and analytics. The key components of the NAIADS include: Service Oriented Architecture (SOA) multi-lingual framework, multi-sensor coincident data Predictor, fast into-memory data Staging, multi-sensor data-Event Builder, complete data-Event streaming (a workflow with minimized IO), on-line data processing control and analytics services. The NAIADS project is leveraging CLARA framework, developed in Jefferson Lab, and integrated with the ZeroMQ messaging library. The science services are prototyped and incorporated into the system. Merging the SCIAMACHY Level-1 observations and MODIS/Terra Level-2 (Clouds and Aerosols) data products, and ECMWF re-analysis will be used for NAIADS demonstration and performance tests in compute Cloud and Cluster environments.",,978-1-4799-9926-2,10.1109/BigData.2015.7363972,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7363972,earth science;data fusion;framework;event builder,Clouds;Geoscience;Data integration;NASA;Buildings;Libraries,,1,,9,IEEE,28-Dec-15,,,IEEE,IEEE Conferences
A Smart Agriculture Systems Based on Service Oriented Architecture,B. Pratama; S. Sfenrianto; A. N. Fajar; A. Amyus; R. Nurbadi,"Information Systems Management Department, Bina Nusantara University, Jakarta, Indonesia 11480; Information Systems Management Department, Bina Nusantara University, Jakarta, Indonesia 11480; Information Systems Management Department, Bina Nusantara University, Jakarta, Indonesia 11480; Information Systems Management Department, Bina Nusantara University, Jakarta, Indonesia 11480; Information Systems Management Department, Bina Nusantara University, Jakarta, Indonesia 11480","2018 3rd International Conference on Information Technology, Information System and Electrical Engineering (ICITISEE)",23-May-19,2018,,,281,286,"Recently, technology has been advancing very fast because of the use of information technology and the ability to obtain needs that exist in various places. Furthermore, the development of Service Oriented Architecture technology is now adopted in various fields. The use of Smart Agriculture System can help people who work in an agricultural sector. Components in Smart Agriculture Systems integrated an entity such as hotel, hospital, logistic, restaurant, supermarket and traditional market who can get a message, information, and data throughout Enterprise Service Bus (ESB). Service Oriented Architecture help to share information and data very quickly because using SOA connects various actors in the material sales industry. The usage of SOA in the field of agriculture is expected to help the economy in Indonesia and also can suppress prices so it will not soar. This high price is caused by various factors such as lack of technological knowledge among farmers. There are still many brokers who become third parties from the distribution of agricultural food ingredients in Indonesia. With the implementation of SOA, it is expected to help farmers for a better living.",,978-1-5386-7082-8,10.1109/ICITISEE.2018.8720989,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8720989,Service Oriented Architecture;Enterprise Service Bus;Agriculture;Smart Agriculture Systems,Service-oriented architecture;Agricultural products;Information systems;Information technology;Electrical engineering,,2,,16,IEEE,23-May-19,,,IEEE,IEEE Conferences
Research and Implementation of Zhejiang FY-4A Data Products Application Platform,S. Xiao-yan; G. Ting; Z. You,"Meteorological Information, Network Center of Zhejiang Province, Meteorological Bureau of Zhejiang Province, Hangzhou, China; Meteorological Information, Network Center of Zhejiang Province, Meteorological Bureau of Zhejiang Province, Hangzhou, China; Meteorological Information, Network Center of Zhejiang Province, Meteorological Bureau of Zhejiang Province, Hangzhou, China",2019 International Conference on Meteorology Observations (ICMO),09-Mar-20,2019,,,1,3,"FY-4A is the first star of China's new generation of geostationary meteorological satellites. It has been officially put into operation for more than one year in China's meteorological department. It has obvious advantages in the types of observation instruments, observation band settings, observation time and space resolution, instrument sensitivity, instrument calibration accuracy, and data service capabilities. In order to solve the application interface of FY-4A data and break through the limitations of traditional C/S architecture application software, this paper designs and implements an application platform for service-based FY-4A data automation production and display. Meteorological Information Network Center of Zhejiang Province synchronizes the data of the FY4A satellite provincial receiving station to the provincial data center, and the data transmission aging from the provincial receiving station to the data center is within 2 minutes. The provincial data center uses distributed technology to store FY4A data products and provides sharing access throughout the province, including L1 level data of full disc or China region, and more than 10 kinds of L2 level data such as convective birth and cloud motion wind. The original resolution data is used to develop two versions of the FY-4A application platform for internal and external networks that meet the needs of business services. The functions of L1 level product single channel display, multi-channel composite image display, animation display and L2 level product rendering display are realized. In the process of data receiving, processing and display, Zhejiang FY-4A application platform controls the L1 level product (including true color map, enhanced map, etc.) within 20 minutes; the L2 level product is controlled within 5 minutes. At present, the provincial FY-4A application platform adopts distributed data management mode and component based structural design, and can provide real-time data service capability of around 260GB per day, which promotes the practical level of FY-4A data service.",,978-1-7281-6254-6,10.1109/ICMO49322.2019.9026078,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9026078,FY-4A;service-based;distributed;rendering,Satellite broadcasting;Distributed databases;Satellites;Ocean temperature;Clouds;Meteorology;Remote sensing,,,,2,IEEE,09-Mar-20,,,IEEE,IEEE Conferences
Intelligent Distribution Grid Reliability Simplification Algorithm and Online Computing Implementation,H. Wen; B. Chen; Z. Li; J. Chen; Z. Nie; Q. Wu,"Power Grid Development Department, State Grid Zhejiang Electric Power Co., Ltd. Lishui Company, Lishui, China; Power Grid Development Department, State Grid Zhejiang Electric Power Co., Ltd. Lishui Company, Lishui, China; Power Grid Development Department, State Grid Zhejiang Electric Power Co., Ltd. Lishui Company, Lishui, China; Power Grid Development Department, State Grid Zhejiang Electric Power Co., Ltd. Lishui Company, Lishui, China; Power Grid Development Department, State Grid Zhejiang Electric Power Co., Ltd. Lishui Company, Lishui, China; R&D Center T&D Power Research (Beijing) Technology Co., Ltd, Beijing, China",2023 3rd International Conference on New Energy and Power Engineering (ICNEPE),16-Feb-24,2023,,,1120,1125,"At present, reliability calculation is mostly focused on the calculation of current years, and the calculation of planned years is often carried out using fuzzy estimation. The calculation methods are complex and diverse, which is not conducive to the modular implementation of software. This article deeply analyzes the essence of reliability calculation based on the topology simplification model of power flow, and summarizes the parts related to the grid structure in its classic calculation formula as the grid coefficient. The parts related to the equipment are collected as the equipment coefficient, and the calculation is simplified based on practical applications. Then, based on the power grid resource business center and data center, a centralized (microservices/micro applications) + collaborative computing framework construction model is adopted, integrating basic data such as reliability facility ledger, topology, and graph model, and obtaining important parameters such as fault rate and average recovery time of distribution grid equipment components. Based on simplified calculation formulas, a power supply reliability online calculation micro application module is developed, The calculation results can provide convenient data support for reliability management and decision-making of distribution grids. This article also provides the specific implementation of software architecture design and interface display effects.",,979-8-3503-9322-4,10.1109/ICNEPE60694.2023.10429546,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10429546,power supply reliability;power flow calculation topology;grid coefficient;equipment coefficient;business architecture;data architecture;technical architecture,Power supplies;Computer architecture;Software;Data models;Software reliability;Topology;Reliability,,,,10,IEEE,16-Feb-24,,,IEEE,IEEE Conferences
TACSA: A web-service based system for coastal surveillance and situational awareness,Y. M. Dai; K. S. Liu,"Division of New Products Development, Alltek Marine Electronics Corp, Taipei, Taiwan, ROC; Division of New Products Development, Alltek Marine Electronics Corp, Taipei, Taiwan, ROC",2015 International Carnahan Conference on Security Technology (ICCST),25-Jan-16,2015,,,409,413,"In this paper we present the design aspects of TACSA, a web-service based system for maritime situational awareness regarding coastal surveillance, marine traffic supervision, illegal activities detection, and so forth. TACSA is implemented on the basis of service oriented architecture (SOA). Its software codes are process centric with most of them coming from the reuse of existing programs in conjunction with wrapping of interfaces in compliance with the open standards of web service. A prototype TACSA containing four service tiers is experimentally built. Each service tier, in turn consists of several service components towards different applications in maritime domain. An in-house test with real time observation data taken from surveillance sensors is carried out and the test results demonstrate the effectiveness of this system.",2153-0742,978-1-4799-8691-0,10.1109/CCST.2015.7389719,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7389719,SOA framework;web service;maritime surveillance;homeland security,Radar tracking;Surveillance;Service-oriented architecture;Sensor fusion,,6,,15,IEEE,25-Jan-16,,,IEEE,IEEE Conferences
