Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
RapidMS: A Tool for Supporting Rapid Microservices Generation and Refinement from Requirements Model,Y. Zhang; Y. Li; Y. Yang; S. Chen; J. Gao; W. Wang; Y. Yin,"School of Software, Beihang University, Beijing, China; School of Software, Beihang University, Beijing, China; School of Software, Beihang University, Beijing, China; China Northeast Petroleum University, Heilongjiang, China; China Northeast Petroleum University, Heilongjiang, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China; School of Software, Beihang University, Beijing, China",2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),22 Dec 2023,2023,,,45,49,"Microservices is a crucial architecture design pat-tern for developing cloud-native applications, which focuses on decomposing a large and complex software system into autonomous components that can be independently developed and deployed. However, microservices design is not a trivial task, which highly depends on the profound knowledge and experience of system design and target domain. This is a challenge for novice software architects. In this paper, we propose a microservices design tool named RapidMS, which only requires architects to specify potential context boundaries on the requirements model. The microservices architecture design model with component structure and interaction views can be automatically generated without extra human effort. Moreover, the proposed tool can automatically calculate the characteristic metrics of the microservices, which indicate the quality of the different aspects of models to support rapid architecture refinements. We demonstrate the tool's effectiveness through five case studies. The experimental result shows that architects can get better decomposition of requirement model within four iterations and over 90% of microservice architecture diagrams can be correctly generated within 10 seconds. RapidMS can be further extended and applied in the software industry to reduce the cost and difficulty of microservices decomposition and design. The tool can be downloaded at https://rm2pt.com/advs/ rapidms, and a demo video casting its features is at https://youtu.be/AoIM41FTnFO",,979-8-3503-2498-3,10.1109/MODELS-C59198.2023.00017,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350465,microservices;microservices architecture;mi-croservices design;requirements;model-driven,Measurement;Industries;Costs;Microservice architectures;Computer architecture;Software systems;Model driven engineering,,1.0,,16.0,IEEE,22 Dec 2023,,,IEEE,IEEE Conferences
Performance Evaluation of Monolithic and Microservice Architecture for an E-commerce Startup,N. N. Nayim; A. Karmakar; M. R. Ahmed; M. Saifuddin; M. H. Kabir,"Department of Computer and Communication Engineering, International Islamic University Chittagong, Chattogram, Bangladesh; Department of Computer and Communication Engineering, International Islamic University Chittagong, Chattogram, Bangladesh; Department of Computer and Communication Engineering, International Islamic University Chittagong, Chattogram, Bangladesh; Department of Computer and Communication Engineering, International Islamic University Chittagong, Chattogram, Bangladesh; Department of Computer and Communication Engineering, International Islamic University Chittagong, Chattogram, Bangladesh",2023 26th International Conference on Computer and Information Technology (ICCIT),27 Feb 2024,2023,,,1,5,"Today's businesses must be flexible enough to develop scalable applications that can influence emerging models of production and management. The prevailing imperative for organizations to adopt new technologies and business strategies stems from the need to enhance the efficiency and optimization of both human and technology resources. The concept of ""software architecture"" has been employed to define the overall blueprint of a software system. Software architecture has been proposed as a strategy to decrease complexity and enhance reusability by facilitating system decomposition into its high-level components and their interrelationships. Within the technology sector, the phrase ""e-commerce"" is frequently employed to denote the activities encompassing acquiring, vending, and promoting goods and services. The necessity for an e-commerce enterprise lies in reusable code that pays minimal costs and possesses a streamlined infrastructure. Implementing a suitable architectural framework to meet the existing demands of e-commerce is the most optimal strategy presently. This study undertakes a comparative analysis of monolithic and microservice architectures in the context of an e-commerce startup. Two separate software applications are developed, each following one of the mentioned architectures while utilizing the same technology platform. The findings of the tests suggest that monolithic architectures have the potential to decrease infrastructure expenses and enhance performance when compared to traditional microservice architectures. In conclusion, we clarify the challenges encountered during the deployment and implementation phases of microservices and monolithic web applications.",,979-8-3503-5901-5,10.1109/ICCIT60459.2023.10441241,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441241,e-commerce;monolithic;microservice;reactJs;nodeJS;web services mongoDB;stress testing;k6,Performance evaluation;Costs;Software architecture;Microservice architectures;Computer architecture;Software systems;Electronic commerce,,,,10.0,IEEE,27 Feb 2024,,,IEEE,IEEE Conferences
Intelligent Monitoring of Non-Invasive Network Blocking Faults Based on Cloud-Native Microservices Architecture,J. Zhang; C. Yao; W. Shen,"Information Center, Guangdong Power Grid, Guangzhou, Guangdong, China; Information Center, Guangdong Power Grid, Guangzhou, Guangdong, China; Information Center, Guangdong Power Grid, Guangzhou, Guangdong, China","2023 5th International Conference on Machine Learning, Big Data and Business Intelligence (MLBDBI)",2 Apr 2024,2023,,,324,328,"Conventional non-intrusive network blocking fault intelligent monitoring methods mainly focus on network attack monitoring, and the monitoring content is relatively single, which affects the final monitoring results. Therefore, a non-intrusive network blocking fault intelligent monitoring method based on cloud-native microservice architecture is designed. We generate non-intrusive network blocking fault intelligent monitoring components, and design the tasks of monitoring nodes into components to monitor the blocking condition of non-intrusive network to meet the monitoring accuracy requirements. Based on the cloud-native microservice architecture, we construct a network blocking fault intelligent monitoring model, which consists of three levels: network manager, subnet group leader and agent, and monitors different network blocking fault areas, so as to realize the demand of fault intelligent monitoring. Dynamically configure the intelligent monitoring parameters of network blocking faults, configure the files and database of network blocking faults in the environment of microservice architecture, and form a practical configuration center to further optimize the accuracy of fault monitoring. Comparison experiments are used to verify that the monitoring results of this method are more accurate and can be applied in real life.",2994-2977,979-8-3503-5993-0,10.1109/MLBDBI60823.2023.10482340,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10482340,Cloud-native microservices architecture;Nonintrusive net-work;Blocking faults;Intelligent monitoring methods,Databases;Microservice architectures;Machine learning;Big Data;Business intelligence;Task analysis;Monitoring,,,,15.0,IEEE,2 Apr 2024,,,IEEE,IEEE Conferences
A Component-Based Evolution Model for Service-Based Software Architectures,E. Berrio-Charry; J. Vergara-Vargas; H. Umaña-Acosta,"Departamento de Ingeniería de Sistemas e Industrial, Universidad Nacional de Colombia, Bogotá, D.C., Colombia; Departamento de Ingeniería de Sistemas e Industrial, Universidad Nacional de Colombia, Bogotá, D.C., Colombia; Departamento de Ingeniería de Sistemas e Industrial, Universidad Nacional de Colombia, Bogotá, D.C., Colombia",2020 IEEE 11th International Conference on Software Engineering and Service Science (ICSESS),4 Nov 2020,2020,,,111,115,"Microservices architecture has emerged as an architectural style which focuses on the design and development of software systems as a set of small independent services. Although MSA is inspired by the Service-Oriented Architecture style (both are service-based architectures), it presents important differences. Likewise, software architecture must evolve as new architectural styles and software frameworks arise, and the evolution of the software architecture is considered as a central feature of any software system. In this way, this paper proposes an approach to evolve SOA to MSA architectures through the use of Sarch language. To accomplish this, the language was extended to allow the modeling of the two architectural styles from the component-and-connector view, the inclusion of a decomposition view for functional properties, and the use of a model-to-model transformation algorithm.",2327-0594,978-1-7281-6579-0,10.1109/ICSESS49938.2020.9237747,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9237747,Software Architecture;Architectures Evolution;SOA;Microservices;Architectural Style;Architectural View;Architecture Description Language,Software architecture;Conferences;Software algorithms;Computer architecture;Software systems;Service-oriented architecture,,5.0,,23.0,IEEE,4 Nov 2020,,,IEEE,IEEE Conferences
Evaluating the Inter-Service Communication on Microservice Architecture,L. D. S. B. Weerasinghe; I. Perera,"Department of Computer Science & Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science & Engineering, University of Moratuwa, Sri Lanka",2022 7th International Conference on Information Technology Research (ICITR),26 Dec 2022,2022,,,1,6,"Distributed computing concepts have proliferated with cloud computing concepts in the past decade. With the evolution in cloud computing, Microservice architecture has significantly become popular as a new architectural pattern and a software development architecture. Most enterprise software development has moved their monolithic software architecture to microservice-based architecture, as it can divide large applications into light-weighted, distributed components. However, this approach may be subject to certain downsides as well. With the modern convention, engineers have succeeded in achieving scalability and maintainability quality attributes and lack the performance attribute in terms of response time. This is because the microservice architecture has introduced inter-service communication over the network. The key challenge when developing a microservice-based application is choosing the correct inter-service communication mechanism to reduce the time taken when calling each service. This research has taken an experimental methodology to compare and contrast the most trending inter-service communication mechanisms. Industry-standard benchmark load test is run to collect quantitative data to evaluate the overall system performance in terms of response time. The testing observed that gRPC protocol performs well in terms of response time and throughput compared to the HTTP and Web Socket protocols.",2831-3399,979-8-3503-3203-2,10.1109/ICITR57877.2022.9992918,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9992918,Microservices;Inter-service communication;Performance;Latency,Cloud computing;Protocols;Software architecture;Scalability;System performance;Microservice architectures;Computer architecture,,5.0,,23.0,IEEE,26 Dec 2022,,,IEEE,IEEE Conferences
"Comparative Analysis of Monolith, Microservice API Gateway and Microservice Federated Gateway on Web-based application using GraphQL API",K. Adrio; C. N. Tanzil; M. C. Lianto; Z. E. Rasjid,"Computer Science, Bina Nusantara University, Jakarta, Indonesia; Computer Science, Bina Nusantara University, Jakarta, Indonesia; Computer Science, Bina Nusantara University, Jakarta, Indonesia; Computer Science, Bina Nusantara University, Jakarta, Indonesia","2023 10th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)",31 Oct 2023,2023,,,654,660,"The purpose of this research is to provide a detailed explanation regarding the characteristics as well as the pros and cons offered by various software development architecture, such as monolithic and Microservice architecture implemented with graph-based API called GraphQL. Monolithic architecture offers a centralized software development pattern with relatively simpler integration and development process. Conversely, Microservices architecture such as Gateway Aggregation and Federated Gateway will divide independent components of the application into smaller modules. Gateway Aggregation utilizes a single Gateway which acts as the main entry point for data exchange between the client and the application. In this research aims an application is developed using the three different architectures to measure the quality, both qualitative and quantitative performances of each architecture. There are several different parameters that are going to be used to measure the architecture’s performance such as response time and data throughput which become an essential criterion in conducting load and stress testing. The result is that the Monolithic architecture offers some advantages in its quantitative performance measurement due to better efficiency in collecting and processing requested data in a single application which utilizes fewer resources and shorter time. In contrast, the Gateway Aggregation architecture and Federated Gateway architecture also have some significant performance differences because it costs resources to combine several subgraphs together into a valid graph.",,979-8-3503-0686-6,10.1109/EECSI59885.2023.10295809,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10295809,software architecture;GraphQL API;monolithic;Microservices;software testing analysis,Microservice architectures;Computer architecture;Logic gates;Throughput;Software;Time measurement;Time factors,,1.0,,18.0,IEEE,31 Oct 2023,,,IEEE,IEEE Conferences
An Approach of a Migration Process from a Legacy Web Management System with a Monolithic Architecture to a Modern Microservices-Based Architecture of a Tourism Services Company,B. A. Pinos-Figueroa; G. A. León-Paredes,"Maestría en Software, Universidad Politécnica Salesiana, Cuenca, Ecuador; Grupo de Investigación en Cloud Computing, Smart Cities & High Performance Computing, Universidad Politécnica Salesiana, Cuenca, Ecuador",2023 11th International Conference in Software Engineering Research and Innovation (CONISOFT),27 Jun 2024,2023,,,9,17,"The migration from a monolithic to a microservice architecture is a complex process that involves separating an application into independent services that work together to provide the complete functionality that the legacy system provides. During this process, despite extensive planning; limitations and difficulties can arise, primarily related to code rewriting and updating outdated technologies. To mitigate all difficulties, it is necessary to first document the architectures properly; analyze their advantages and disadvantages, use cases, tech-nologies, and the existence of similar migration processes, among others. Gathering comprehensive documentation from the legacy system is also essential to establish a solid foundation of requirements and functionalities on which to conduct the migration. Finally, the choice of tools, such as in our case, those offered by Spring Cloud, Spring Boot, and Docker can greatly facilitate this process. The migration to microservices offers benefits such as easier implementation of new functionalities, quicker problem detection and resolution, improved availability, and enhanced user experience. Therefore, in this research paper we will (a) analyze the current architecture of the system of a company dedicated to providing tourism services in the city of Cuenca, Ecuador; (b) design an architecture based on microservices; and (c) develop a prototype to help us validate the feasibility of the proposed architecture. Thus, contributing to better performance, applying fault tolerance, and the possibility of both horizontal and vertical scaling in the microservices architecture system.",,979-8-3503-2883-7,10.1109/CONISOFT58849.2023.00012,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10568257,containers;continuous integration;cloud computing;devOps;microservices;migration;monitoring;monolithic architecture;refactoring;software architecture;web development,Fault tolerance;Scalability;Fault tolerant systems;Urban areas;Microservice architectures;Computer architecture;Companies,,,,24.0,IEEE,27 Jun 2024,,,IEEE,IEEE Conferences
Fortifying Information Security: Security Implications of Microservice and Monolithic Architectures,S. Nemmini; S. Abhishek; A. T; S. Raj,"Department of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Amritapuri, India; Vrije Universiteit Brussel, MACS, Pleinlaan 2, Brussels, Belgium",2023 16th International Conference on Security of Information and Networks (SIN),27 Mar 2024,2023,,,1,6,"Monolithic architecture is a traditional and primary method for creating software programs. On the other hand, monolithic architecture's shortcomings were addressed by developing the unique evolutionary technique known as microservice architecture, which led to businesses' widespread acceptance of this design. However, the microservice design raises several security concerns, particularly web application security, a significant business problem. The purpose of this study is to analyse and contrast the security and safety features of monolithic and microservice architectures, emphasizing the security issues that each presents and the solutions that have been proposed to address them. Examining both architectures security risks and investigating viable mitigation strategies are covered in the paper. Microservices improve security and flexibility but also need a more complex and dynamic security strategy.",,979-8-3503-4321-2,10.1109/SIN60469.2023.10474925,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10474925,Monolithic;Architecture;Security;Microservices;Attacks;Web Application;Remote,Scalability;Microservice architectures;Information security;Computer architecture;Software;Vectors;Application security,,1.0,,19.0,IEEE,27 Mar 2024,,,IEEE,IEEE Conferences
Microservices-based architecture for fault diagnosis in tele-rehabilitation equipment operated via Internet,J. M. Alvarez Q.; J. A. Sanabria O.; J. I. Garcia M.,"Universidad del Valle, Cali, CO; Universidad del Valle, Cali, CO; Universidad del Valle, Cali, CO",2019 IEEE Latin American Test Symposium (LATS),2 May 2019,2019,,,1,6,"This paper presents the design of a microservices based architecture allows early fault detection and diagnosis on a remote controlled physical rehabilitation machine using the Internet as a communication channel. Aforementioned architecture is composed of three layers: the low layer which collects variables from the rehabilitation machine components, using Internet of Things protocols. The middle layer which analyses the provided variables and diagnoses the component status, using fuzzy logic. And finally, the upper layer which makes decisions depending on the diagnosis data. The proposed architecture is suitable for heterogeneous systems.This paper also shows how this architecture fulfills the specific and rigorous safety measures for critical mission devices like technical aids for health-care.",2373-0862,978-1-7281-1756-0,10.1109/LATW.2019.8704556,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8704556,Fault diagnosis;Telemedicine;Internet of Things;Software architecture,Computer architecture;Fault detection;Telemedicine;Medical treatment;Reliability;Protocols,,5.0,,35.0,IEEE,2 May 2019,,,IEEE,IEEE Conferences
Research on SFC Deployment with Variable Granularity based on Microservice Architecture,J. Zhang; X. Wu; Y. Zhang; C. Li,"School of Information &#x0026; Electronic Engineering, Zhejiang Gongshang University, HangZhou, China; School of Information &#x0026; Electronic Engineering, Zhejiang Gongshang University, HangZhou, China; School of Information &#x0026; Electronic Engineering, Zhejiang Gongshang University, HangZhou, China; School of Information &#x0026; Electronic Engineering, Zhejiang Gongshang University, HangZhou, China",2021 IEEE 3rd International Conference on Frontiers Technology of Information and Computer (ICFTIC),24 Dec 2021,2021,,,478,482,"Network function virtualization (NFV) solves the problem of inflexibility in traditional network, but there are still some problems with service function chain (SFC) in some usage scenarios. Aiming at the optimization problem of end-to-end delay and resource overhead of SFC in NFV. Firstly, according to the user's service function connection request, the VNF is functionally divided into the most fine-grained atomNF according to the operation logic which is based on microservice architecture, and the redundant logical units are eliminated. Then, the path is planned according to the resource status of nodes and deployment units. Finally, the atomNF in the same node is aggregated in a single container. Simulation results show that the proposed method can optimize the end-to-end delay and node resource utilization.",,978-1-6654-0605-5,10.1109/ICFTIC54370.2021.9647178,Natural Science Foundation of China(grant numbers:61871468); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9647178,component;Network Function Virtualizatio;Service Function Chain;Microservice;Resource utilization,Service function chaining;NP-hard problem;Heuristic algorithms;Simulation;Microservice architectures;Computer architecture;Approximation algorithms,,1.0,,10.0,IEEE,24 Dec 2021,,,IEEE,IEEE Conferences
