Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Microservice-Based Architecture for an Energy Management System,Z. Lyu; H. Wei; X. Bai; C. Lian,"Guangxi Key Laboratory of Power System Optimization and Energy Technology, Guangxi University, Nanning, China; Guangxi Key Laboratory of Power System Optimization and Energy Technology, Guangxi University, Nanning, China; Guangxi Key Laboratory of Power System Optimization and Energy Technology, Guangxi University, Nanning, China; Guangxi Key Laboratory of Power System Optimization and Energy Technology, Guangxi University, Nanning, China",IEEE Systems Journal,24 Nov 2020,2020,14,4,5061,5072,"This article proposes a microservice-based architecture for an energy management system (MS-EMS) to address the fragility, poor flexibility, and hardware dependence of EMSs. Compared with the service-oriented architecture (SOA), the proposed architecture can significantly improve the load performance and scalability of an EMS through fine-grained decomposition of the system and decentralized data management. Container and cluster technologies are used to manage the microservices. A k-fault (k ≥ 2)-tolerant model is proposed to improve the reliability of the MS-EMS. The model employs containerized microservices as essential components to achieve a parallel connection of the essential components using the horizontal-scale technology of the containers. On the other hand, a MILP model-based algorithm for managing computing resources is also suggested. By minimizing the number of worker nodes of the cluster, where the MS-EMS is deployed, we can improve the utilization of the computing resources and avoid unnecessary costs. The result of the performance analysis showed that the reliability of the MS-EMS is 99.99965625%, which is two orders and one order of magnitude higher than those of the existing EMSs and the SOA-based EMS (S-EMS), respectively. Moreover, the cost of the MS-EMS is also lower than those of the existing EMSs and S-EMSs. The proposed architecture is implemented in a realpower system and has shown favorable operation performances, indicating a promising prospect for future applications.",1937-9234,,10.1109/JSYST.2020.2981095,"National Natural Science Foundation of China(grant numbers:51967002,51967001); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9057450,Container;energy management system (EMS);microservice;reliability;resource management,Energy management;Containers;Computer architecture;Reliability;Power system reliability;Cloud computing;Servers,,19.0,,37,IEEE,6 Apr 2020,,,IEEE,IEEE Journals
Involving Stakeholders in the Implementation of Microservice-Based Systems: A Case Study in an Ambient-Assisted Living System,G. Márquez; C. Taramasco; H. Astudillo; V. Zalc; D. Istrate,"Departamento de Informática, Universidad Técnica Federico Santa María, Valparaíso, Chile; Escuela de Ingeniería Civil Informática, Universidad de Valparaíso, Valparaíso, Chile; Departamento de Informática, Universidad Técnica Federico Santa María, Valparaíso, Chile; Laboratoire BMBI UMR 7338, Université de Technologie de Compiègne, Compègne, France; Laboratoire BMBI UMR 7338, Université de Technologie de Compiègne, Compègne, France",IEEE Access,15 Jan 2021,2021,9,,9411,9428,"Microservice-based systems promote agility and rapid business development. Some features, such as fast time-to-market, scalability and optimal response times, have encouraged stakeholders to get more involved in the development and implementation of microservices architectures in order to translate their business vision into the implementation of the architecture. Although some techniques allow the inclusion of the stakeholders' perspective in the design of microservice architectures, few proposals consider such perspectives in the selection and evaluation of technologies that implement microservice architectures. Indeed, the qualities that characterize microservice-based systems strongly depend on the suitable selection of technologies, such as application frameworks and platforms. This article proposes a collaborative technique that includes stakeholders and software architects in the selection and evaluation of application frameworks and platforms to implement microservice-based systems. We evaluated the technique in an industrial case of design and implementation of an Ambient-Assisted Living (AAL) system, which combines microservice architecture and Internet-of-Medical-Things (IoMT) sensors. The case results indicate that the proposed technique supported stakeholders in the pragmatic evaluation of alternative technological solutions. Additionally, it allowed the implementation of an AAL system that satisfies the quality specifications of stakeholders and end-users. This initial study suggests that actively including stakeholders in the implementation of microservice-based systems allows architects to make design decisions that better consider stakeholders viewpoints as well as managing their expectations.",2169-3536,,10.1109/ACCESS.2021.3049444,ECOS Sud grant BV2 (Well Being and Well Ageing); FONDECYT Regular (Multimodal Machine Learning approach for detecting pathological activity patterns in elderlies)(grant numbers:1201787); ANID PIA/APOYO (CCTVal)(grant numbers:AFB180002); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9314139,Software architecture;microservice architecture;ambient-assisted living system;frameworks,Stakeholders;Software;Computer architecture;Decision making;Tools;Proposals;Collaboration,,9.0,,54,CCBY,5 Jan 2021,,,IEEE,IEEE Journals
Semantic Integration of Plug-and-Play Software Components for Industrial Edges Based on Microservices,W. Dai; P. Wang; W. Sun; X. Wu; H. Zhang; V. Vyatkin; G. Yang,"Department of Automation, Shanghai Jiao Tong University, Shanghai, China; Chinese Academy of Sciences, Shenyang Institute of Automation, Shenyang, China; Department of Automation, Shanghai Jiao Tong University, Shanghai, China; Department of Automation, Shanghai Jiao Tong University, Shanghai, China; Chinese Academy of Sciences, Shenyang Institute of Automation, Shenyang, China; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Automation, Shanghai Jiao Tong University, Shanghai, China",IEEE Access,13 Sep 2019,2019,7,,125882,125892,"The industrial cyber-physical system enables collaboration between distributed nodes across industrial clouds and edge devices. Flexibility and interoperability could be enhanced significantly by introducing the service-oriented architecture to industrial edge devices. From the industrial edge computing perspective, software components shall be dynamically composed across heterogeneous edge devices to perform various functionalities. In this paper, a knowledge-driven Microservice-based architecture to enable plug-and-play software components is proposed for industrial edges. These software components can be dynamically configured based on the orchestration of microservices with the support of the knowledge base and the reasoning process. These semantically enhanced plug-and-play microservices could provide rapid online reconfiguration without any programming efforts. The use of the plug-and-play software components is demonstrated by an assembly line example.",2169-3536,,10.1109/ACCESS.2019.2938565,National Research and Development Key Program of China(grant numbers:2017YFA0700603); National Natural Science Foundation of China(grant numbers:61973216); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8821289,Service-oriented architecture;industrial automation;IEC 61499 function blocks;plug and play;microservices;interoperability;REST API;SQWRL;OWL,Service-oriented architecture;Automation;Semantics;Sensors;Knowledge based systems,,17.0,,39,CCBY,30 Aug 2019,,,IEEE,IEEE Journals
An End-to-End Implementation of a Service-Oriented Architecture for Data-Driven Smart Buildings,L. Chamari; E. Petrova; P. Pauwels,"Department of the Built Environment, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of the Built Environment, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of the Built Environment, Eindhoven University of Technology, Eindhoven, The Netherlands",IEEE Access,30 Oct 2023,2023,11,,117261,117281,"Buildings connect with multiple information systems like Building Management Systems (BMS), Energy Management Systems (EMS), IoT devices, Building Information Models (BIM), the electricity grid, weather services, etc. Data-driven smart building software demands seamless integration of the above systems and their data. The lack of a system architecture with well-defined Application Programming Interfaces (APIs) poses a significant challenge for developing reusable, modular and scalable applications. This article presents a service-oriented system architecture designed with data-driven smart buildings in mind. The architecture relies on the Zachman framework and consists of seven service categories: 1) existing business applications, 2) new microservice-based applications, 3) databases, 4) integration software, 5) infrastructure services, 6) shared services, and 7) user interfaces. It closely resembles the MACH architectural principles: Microservices, API-first, Cloud-based components, and Headless principles. This architecture is implemented as a proof-of-concept, including three smart building applications. These include a Digital Twin application integrating sensor data with a BIM model, a web application merging real-time sensor data with semantic building graphs, and a data exploration tool using sensor data, the Brick ontology, and Grafana dashboards. Future implementations include real-time control applications such as Model Predictive Control (MPC). The proposed architecture and its implementations provide a blueprint for a reusable, modular, and scalable architecture in the smart building domain.",2169-3536,,10.1109/ACCESS.2023.3325767,Dutch Ministry of Economic Affairs and Climate Policy and the Ministry of the Interior and Kingdom Relations; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10287934,Building Information Modeling;data-driven buildings;data integration;IoT;linked building data;microservices;reference architecture;REST API;real-time data acquisition;solution architecture,Computer architecture;Architecture;Buildings;Smart buildings;Business;Data models;Systems architecture;Data integration;Internet of Things;Real-time systems,,8.0,,102,CCBY,19 Oct 2023,,,IEEE,IEEE Journals
A Survey on Microservices Trust Models for Open Systems,Z. Lu; D. T. Delaney; D. Lillis,"School of Computer Science, University College Dublin, Dublin 4, Ireland; School of Electrical and Electronic Engineering, University College Dublin, Dublin 4, Ireland; School of Computer Science, University College Dublin, Dublin 4, Ireland",IEEE Access,27 Mar 2023,2023,11,,28840,28855,"The microservices architecture (MSA) is a form of distributed systems architecture that has been widely adopted in large-scale software systems in recent years. As with other distributed system architectures, one of the challenges that MSA faces is establishing trust between the microservices, particularly in the context of open systems. The boundaries of open systems are unlimited and unknown, which means that they can be applied to any use case. Microservices can leave or join an open system arbitrarily, without restriction as to ownership or origin, and MSA systems can scale extensively. The organisation of microservices (in terms of the roles they play and the communication links they utilise) can also change in response to changes in the environment in which the system is situated. The management of trust within MSAs is of great importance as the concept of trust is critical to microservices communication, and the operation of an open MSA system is highly reliant on communication between these fine-grained microservices. Thus, a trust model should also be able to manage trust in an open environment. Current trust management solutions, however, are often domain-specific and many are not specifically tailored towards the open system model. This motivates research on trust management in the context of open MSA systems. In this paper, we examine existing microservices trust models, identify the limitations of these models in the context of the principles of open microservices systems, propose a set of qualities for open microservices trust models that emerge from these limitations, and assess selected microservices trust models using the proposed qualities.",2169-3536,,10.1109/ACCESS.2023.3260147,Science Foundation Ireland (SFI) Strategic Partnerships Programme(grant numbers:16/SPP/3296); Origin Enterprises plc; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10077578,Microservices;trust management;service oriented architecture;open systems,Microservice architectures;Open systems;Web services;Trust management;Context modeling;Object oriented modeling;Computer architecture,,5.0,,72,CCBYNCND,21 Mar 2023,,,IEEE,IEEE Journals
Long Live the Image: On Enabling Resilient Production Database Containers for Microservice Applications,Z. Li; N. Saldías-Vallejos; D. Seco; M. A. Rodríguez; R. Ranjan,"School of Electronics, Electrical Engineering and Computer Science, Queen’s University Belfast, Belfast, U.K.; Department of Computer Science, University of Concepción, Concepción, Chile; Department of Computer Science and Information Technologies, Universidade de A Coruña, A Coruña, Spain; Department of Computer Science, University of Concepción, Concepción, Chile; School of Computing, Newcastle University, Newcastle upon Tyne, U.K.",IEEE Transactions on Software Engineering,18 Sep 2024,2024,50,9,2363,2378,"Microservices architecture advocates decentralized data ownership for building software systems. Particularly, in the Database per Service pattern, each microservice is supposed to maintain its own database and to handle the data related to its functionality. When implementing microservices in practice, however, there seems to be a paradox: The de facto technology (i.e., containerization) for microservice implementation is claimed to be unsuitable for the microservice component (i.e., database) in production environments, mainly due to the data persistence issues (e.g., dangling volumes) and security concerns. As a result, the existing discussions generally suggest replacing database containers with cloud database services, while leaving the on-premises microservice implementation out of consideration. After identifying three statelessness-dominant application scenarios, we proposed container-native data persistence as a conditional solution to enable resilient database containers in production. In essence, this data persistence solution distinguishes stateless data access (i.e., reading) from stateful data processing (i.e., creating, updating, and deleting), and thus it aims at the development of stateless microservices for suitable applications. In addition to developing our proposal, this research is particularly focused on its validation, via prototyping the solution and evaluating its performance, and via applying this solution to two real-world microservice applications. From the industrial perspective, the validation results have proved the feasibility, usability, and efficiency of fully containerized microservices for production in applicable situations. From the academic perspective, this research has shed light on the operation-side micro-optimization of individual microservices, which fundamentally expands the scope of “software micro-optimization” and reveals new research opportunities.",1939-3520,,10.1109/TSE.2024.3436623,ANID Millennium Science Initiative Program(grant numbers:Code ICN17_002); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10620003,Container;data persistence;read-only database;stateless microservice;microservices architecture,Databases;Containers;Microservice architectures;Production;Usability;Runtime;Prototypes,,,,67,IEEE,1 Aug 2024,,,IEEE,IEEE Journals
μVerum: Intrusion Recovery for Microservice Applications,D. R. Matos; M. L. Pardal; A. R. Silva; M. Correia,"INESC-ID, Universidade de Lisboa, Lisbon, Portugal; INESC-ID, Universidade de Lisboa, Lisbon, Portugal; INESC-ID, Universidade de Lisboa, Lisbon, Portugal; INESC-ID, Universidade de Lisboa, Lisbon, Portugal",IEEE Access,2 Aug 2023,2023,11,,78457,78470,"Microservice architectures allow complex applications to be developed as a collection of loosely coupled components. The heterogeneous architecture of these applications makes the process of recovering from intrusions especially complex, error-prone, and time-consuming. Although there are several recovery mechanisms for monolithic applications, applying such mechanisms in microservices would not work due to the distribution of the components, the different technologies used by each service, and their scale. Moreover, it can be difficult to trace the services affected by an intrusion and which actions to revert. We propose  $\mu $ Verum, a framework for recovering microservices from intrusions that corrupt the application state. Our approach allows recovery of large-scale microservice applications by logging user requests and the operations that are propagated through several microservices. When a system administrator detects a faulty request,  $\mu $ Verum can execute compensating operations in each of the affected microservices. We implemented, evaluated, and made the code of  $\mu $ Verum available. Our experiments show that  $\mu $ Verum is able to revert the effects in an intrusion in one second while the application is running.",2169-3536,,10.1109/ACCESS.2023.3298113,National Funds through Fundação para a Ciência e a Tecnologia (FCT) Instituto de Engenharia de Sistemas e Computadores - Investigação e Desenvolvimento (INESC-ID)(grant numbers:UIDB/50021/2020); Data Consistency in Microservices Compositions (DACOMICO)(grant numbers:PTDC/CCI-COM/2156/2021); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190596,Microservices;cloud computing;intrusion recovery,Microservice architectures;Servers;Computer architecture;Databases;Routing;Codes;Intrusion detection;Cloud computing,,,,71,CCBY,24 Jul 2023,,,IEEE,IEEE Journals
Telemonitoring System for Infectious Disease Prediction in Elderly People Based on a Novel Microservice Architecture,H. Calderón-Gómez; L. Mendoza-Pittí; M. Vargas-Lombardo; J. M. Gómez-Pulido; J. L. Castillo-Sequera; J. Sanz-Moreno; G. Sención,"Department of Computer Science, University of Alcalá, Alcalá de Henares, Spain; Department of Computer Science, University of Alcalá, Alcalá de Henares, Spain; E-Health and Supercomputing Research Group (GISES), Technological University of Panama, Panama City, Panama; Department of Computer Science, University of Alcalá, Alcalá de Henares, Spain; Department of Computer Science, University of Alcalá, Alcalá de Henares, Spain; Foundation for Biomedical Research, Hospital Universitario Príncipe de Asturias, Alcalá de Henares, Spain; School of Medicine, Autonomous University of Santo Domingo, Santo Domingo, Dominican Republic",IEEE Access,2 Jul 2020,2020,8,,118340,118354,"This article describes the design, development and implementation of a set of microservices based on an architecture that enables detection and assisted clinical diagnosis within the field of infectious diseases of elderly patients, via a telemonitoring system. The proposed system is designed to continuously update a medical database fed with vital signs from biosensor kits applied by nurses to elderly people on a daily basis. The database is hosted in the cloud and is managed by a flexible microservices software architecture. The computational paradigms of the edge and the cloud were used in the implementation of a hybrid cloud architecture in order to support versatile high-performance applications under the microservices pattern for the pre-diagnosis of infectious diseases in elderly patients. The results of an analysis of the usability of the equipment, the performance of the architecture and the service concept show that the proposed e-health system is feasible and innovative. The system components are also selected to give a cost-effective implementation for people living in disadvantaged areas. The proposed e-health system is also suitable for distributed computing, big data and NoSQL structures, thus allowing the immediate application of machine learning and AI algorithms to discover knowledge patterns from the overall population.",2169-3536,,10.1109/ACCESS.2020.3005638,"Ministry of Science, Innovation and Universities of Spain; Foundation for Biomedical Research of the Prince of Asturias University Hospital (FUHUPA); National Secretariat of Science, and the Technology and Innovation of Panama (SENACYT-PANAMA) through the National Research System (SNI-PANAMA) [Design and implementation of a low-cost intelligent system for pre-diagnosis and telecare of infectious diseases in older people (SPIDEP)](grant numbers:AC16/00061); 2nd Joint Call for Research and Innovation (ERANet-LAC) of the Seventh Framework Program for Research and Technological Development (FP7) of the European Union(grant numbers:ELAC2015/T09-0819 SPIDEP); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9127930,Artificial intelligence;e-health;elderly people;infectious diseases;microservice architecture;microservices;telemonitoring,Infectious diseases;Senior citizens;Computer architecture;Hospitals;Technological innovation;Cloud computing,,22.0,,80,CCBY,29 Jun 2020,,,IEEE,IEEE Journals
Microservices: Migration of a Mission Critical System,M. Mazzara; N. Dragoni; A. Bucchiarone; A. Giaretta; S. T. Larsen; S. Dustdar,"Innopolis University, Innopolis, Russia; Technical University of Denmark, Copenhagen, Denmark; Fondazione Bruno Kessler, Trento, Italy; Örebro University, Orebro, Sweden; Danske Bank, Copenhagen, Denmark; TU Wien, Wien, Austria",IEEE Transactions on Services Computing,6 Oct 2021,2021,14,5,1464,1477,"An increasing interest is growing around the idea of microservices and the promise of improving scalability when compared to monolithic systems. Several companies are evaluating pros and cons of a complex migration. In particular, financial institutions are positioned in a difficult situation due to the economic climate and the appearance of agile competitors that can navigate in a more flexible legal framework and started their business since day one with more agile architectures and without being bounded to outdated technological standard. In this paper, we present a real world case study in order to demonstrate how scalability is positively affected by re-implementing a monolithic architecture (MA) into a microservices architecture (MSA). The case study is based on the FX Core system, a mission critical system of Danske Bank, the largest bank in Denmark and one of the leading financial institutions in Northern Europe. The technical problem that has been addressed and solved in this paper is the identification of a repeatable migration process that can be used to convert a real world Monolithic architecture into a Microservices architecture in the specific setting of financial domain, typically characterized by legacy systems and batch-based processing on heterogeneous data sources.",1939-1374,,10.1109/TSC.2018.2889087,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8585089,Service computing;software architecture;scalability;microservices,Scalability;Computer architecture;Service-oriented architecture;Tools;Mission critical systems;Automation,,29.0,,38,IEEE,21 Dec 2018,,,IEEE,IEEE Journals
A Service Oriented Architecture for the Digitalization and Automation of Distribution Grids,M. Pau; M. Mirz; J. Dinkelbach; P. Mckeever; F. Ponci; A. Monti,"Institute for Automation of Complex Power Systems, RWTH Aachen University, Aachen, Germany; Institute for Automation of Complex Power Systems, RWTH Aachen University, Aachen, Germany; Institute for Automation of Complex Power Systems, RWTH Aachen University, Aachen, Germany; Institute for Automation of Complex Power Systems, RWTH Aachen University, Aachen, Germany; Institute for Automation of Complex Power Systems, RWTH Aachen University, Aachen, Germany; Institute for Automation of Complex Power Systems, RWTH Aachen University, Aachen, Germany",IEEE Access,11 Apr 2022,2022,10,,37050,37063,"Modern distribution grids are complex systems that need advanced management for their secure and reliable operation. The Information and Communication Technology domain today offers unprecedented opportunities for the smart design of tools in support of grid operators. This paper presents a new philosophy for the digitalization and automation of distribution grids, based on a modular architecture of microservices implemented via container technology. This architecture enables a service-oriented deployment of the intelligence needed in the Distribution Management Systems, moving beyond the traditional view of monolithic software installations in the control rooms. The proposed architecture unlocks a broad set of possibilities, including cloud-based implementations, extension of legacy systems and fast integration of machine learning-based analytic tools. Moreover, it potentially opens a completely new market of turnkey services for distribution grid management, thus avoiding large upfront investments for grid operators. This paper presents the main concepts and benefits of the proposed philosophy, together with an example of field implementation based on open source components carried out in the context of the European project SOGNO.",2169-3536,,10.1109/ACCESS.2022.3164393,"Service Oriented Grid for the Network of the Future (SOGNO) and Platform for Operation of Distribution Networks (PLATONE), which are European Projects; European Union’s Horizon 2020 Research and Innovation Program(grant numbers:774613,864300); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9748116,Cloud computing;distribution grid automation;distribution management system;IoT platform;microservice architecture;smart grid,Computer architecture;Cloud computing;Automation;Software;Power systems;Smart grids;Microservice architectures,,21.0,,73,CCBY,4 Apr 2022,,,IEEE,IEEE Journals
