text,Document Title,Abstract,source,bool,processed_text
"A Black-box Monitoring Approach to Measure Microservices Runtime Performance Microservices changed cloud computing by moving the applications’ complexity from one monolithic executable to thousands of network interactions between small components. Given the increasing deployment sizes, the architectural exploitation challenges, and the impact on data-centers’ power consumption, we need to efficiently track this complexity. Within this article, we propose a black-box monitoring approach to track microservices at scale, focusing on architectural metrics, power consumption, application performance, and network performance. The proposed approach is transparent w.r.t. the monitored applications, generates less overhead w.r.t. black-box approaches available in the state-of-the-art, and provides fine-grain accurate metrics.",A Black-box Monitoring Approach to Measure Microservices Runtime Performance,"Microservices changed cloud computing by moving the applications’ complexity from one monolithic executable to thousands of network interactions between small components. Given the increasing deployment sizes, the architectural exploitation challenges, and the impact on data-centers’ power consumption, we need to efficiently track this complexity. Within this article, we propose a black-box monitoring approach to track microservices at scale, focusing on architectural metrics, power consumption, application performance, and network performance. The proposed approach is transparent w.r.t. the monitored applications, generates less overhead w.r.t. black-box approaches available in the state-of-the-art, and provides fine-grain accurate metrics.",ACM,no,"['monitoring', 'measure', 'runtime', 'performance', 'changed', 'computing', 'moving', 'complexity', 'one', 'monolithic', 'executable', 'thousand', 'network', 'interaction', 'small', 'given', 'increasing', 'deployment', 'size', 'architectural', 'challenge', 'impact', 'power', 'consumption', 'need', 'efficiently', 'track', 'complexity', 'within', 'article', 'propose', 'monitoring', 'track', 'scale', 'focusing', 'architectural', 'metric', 'power', 'consumption', 'performance', 'network', 'performance', 'proposed', 'monitored', 'generates', 'less', 'overhead', 'available', 'provides', 'accurate', 'metric']"
"IMAGE: An Open-Source, Extensible Framework for Deploying Accessible Audio and Haptic Renderings of Web Graphics For accessibility practitioners, creating and deploying novel multimedia interactions for people with disabilities is a nontrivial task. As a result, many projects aiming to support such accessibility needs come and go or never make it to a public release. To reduce the overhead involved in deploying and maintaining a system that transforms web content into multimodal renderings, we created an open source, modular microservices architecture as part of the IMAGE project. This project aims to design richer means of interacting with web graphics than is afforded by a screen reader and text descriptions alone. To benefit the community of accessibility software developers, we discuss this architecture and explain how it provides support for several multimodal processing pipelines. Beyond illustrating the initial use case that motivated this effort, we further describe two use cases outside the scope of our project to explain how a team could use the architecture to develop and deploy accessible solutions for their own work. We then discuss our team’s experience working with the IMAGE architecture, informed by discussions with six project members, and provide recommendations to other practitioners considering applying the framework to their own accessibility projects.","IMAGE: An Open-Source, Extensible Framework for Deploying Accessible Audio and Haptic Renderings of Web Graphics","For accessibility practitioners, creating and deploying novel multimedia interactions for people with disabilities is a nontrivial task. As a result, many projects aiming to support such accessibility needs come and go or never make it to a public release. To reduce the overhead involved in deploying and maintaining a system that transforms web content into multimodal renderings, we created an open source, modular microservices architecture as part of the IMAGE project. This project aims to design richer means of interacting with web graphics than is afforded by a screen reader and text descriptions alone. To benefit the community of accessibility software developers, we discuss this architecture and explain how it provides support for several multimodal processing pipelines. Beyond illustrating the initial use case that motivated this effort, we further describe two use cases outside the scope of our project to explain how a team could use the architecture to develop and deploy accessible solutions for their own work. We then discuss our team’s experience working with the IMAGE architecture, informed by discussions with six project members, and provide recommendations to other practitioners considering applying the framework to their own accessibility projects.",ACM,no,"['image', 'extensible', 'framework', 'deploying', 'accessible', 'rendering', 'web', 'graphic', 'accessibility', 'practitioner', 'creating', 'deploying', 'novel', 'interaction', 'people', 'task', 'result', 'many', 'project', 'aiming', 'support', 'accessibility', 'need', 'come', 'go', 'make', 'public', 'release', 'reduce', 'overhead', 'involved', 'deploying', 'maintaining', 'web', 'content', 'multimodal', 'rendering', 'created', 'open', 'source', 'modular', 'part', 'image', 'project', 'project', 'aim', 'design', 'mean', 'interacting', 'web', 'graphic', 'text', 'description', 'benefit', 'community', 'accessibility', 'developer', 'discus', 'explain', 'provides', 'support', 'several', 'multimodal', 'processing', 'pipeline', 'beyond', 'initial', 'use', 'case', 'motivated', 'effort', 'describe', 'two', 'use', 'case', 'outside', 'scope', 'project', 'explain', 'team', 'could', 'use', 'develop', 'deploy', 'accessible', 'solution', 'work', 'discus', 'team', 'experience', 'working', 'image', 'discussion', 'six', 'project', 'provide', 'recommendation', 'practitioner', 'considering', 'applying', 'framework', 'accessibility', 'project']"
"Data Mesh: A Systematic Gray Literature Review Data mesh is an emerging domain-driven decentralized data architecture that aims to minimize or avoid operational bottlenecks associated with centralized, monolithic data architectures in enterprises. The topic has piqued the practitioners’ interest, and considerable gray literature exists. At the same time, we observe a lack of academic attempts at defining and building upon the concept. Hence, in this article, we aim to start from the foundations and characterize the data mesh architecture regarding its design principles, architectural components, capabilities, and organizational roles. We systematically collected, analyzed, and synthesized 114 industrial gray literature articles. The resulting review provides insights into practitioners’ perspectives on the four key principles of data mesh: data as a product, domain ownership of data, self-serve data platform, and federated computational governance. Moreover, due to the comparability of data mesh and SOA (service-oriented architecture), we mapped the findings from the gray literature into the reference architectures from the SOA academic literature to create the reference architectures for describing three key dimensions of data mesh: organization of capabilities and roles, development, and runtime. Finally, we discuss open research issues in data mesh, partially based on the findings from the gray literature.",Data Mesh: A Systematic Gray Literature Review,"Data mesh is an emerging domain-driven decentralized data architecture that aims to minimize or avoid operational bottlenecks associated with centralized, monolithic data architectures in enterprises. The topic has piqued the practitioners’ interest, and considerable gray literature exists. At the same time, we observe a lack of academic attempts at defining and building upon the concept. Hence, in this article, we aim to start from the foundations and characterize the data mesh architecture regarding its design principles, architectural components, capabilities, and organizational roles. We systematically collected, analyzed, and synthesized 114 industrial gray literature articles. The resulting review provides insights into practitioners’ perspectives on the four key principles of data mesh: data as a product, domain ownership of data, self-serve data platform, and federated computational governance. Moreover, due to the comparability of data mesh and SOA (service-oriented architecture), we mapped the findings from the gray literature into the reference architectures from the SOA academic literature to create the reference architectures for describing three key dimensions of data mesh: organization of capabilities and roles, development, and runtime. Finally, we discuss open research issues in data mesh, partially based on the findings from the gray literature.",ACM,no,"['mesh', 'systematic', 'gray', 'literature', 'review', 'mesh', 'emerging', 'decentralized', 'aim', 'minimize', 'avoid', 'operational', 'bottleneck', 'associated', 'centralized', 'monolithic', 'enterprise', 'topic', 'practitioner', 'interest', 'gray', 'literature', 'exists', 'time', 'observe', 'lack', 'academic', 'attempt', 'defining', 'building', 'upon', 'concept', 'hence', 'article', 'aim', 'start', 'foundation', 'characterize', 'mesh', 'regarding', 'design', 'principle', 'architectural', 'capability', 'organizational', 'role', 'collected', 'analyzed', 'industrial', 'gray', 'literature', 'article', 'resulting', 'review', 'provides', 'insight', 'practitioner', 'perspective', 'four', 'key', 'principle', 'mesh', 'product', 'domain', 'ownership', 'platform', 'federated', 'computational', 'governance', 'moreover', 'due', 'mesh', 'soa', 'mapped', 'finding', 'gray', 'literature', 'reference', 'soa', 'academic', 'literature', 'create', 'reference', 'describing', 'three', 'key', 'dimension', 'mesh', 'organization', 'capability', 'role', 'development', 'runtime', 'finally', 'discus', 'open', 'research', 'issue', 'mesh', 'partially', 'based', 'finding', 'gray', 'literature']"
"The Tale of Errors in Microservices Microservice architecture is the computing paradigm of choice for large, service-oriented software catering to real-time requests. Individual programs in such a system perform Remote Procedure Calls (RPCs) to other microservices to accomplish sub-tasks. Microservices are designed to be robust; top-level requests can succeed despite errors returned from RPC sub-tasks, referred to as non-fatal errors. Because of this design, the top-level microservices tend to ''live with'' non-fatal errors. Hence, a natural question to ask is ''how prevalent are non-fatal errors and what impact do they have on the exposed latency of top-level requests?''In this paper, we present a large-scale study of errors in microservices. We answer the aforementioned question by analyzing 11 Billion RPCs covering 1,900 user-facing endpoints at the Uber serving requests of hundreds of millions of active users. To assess the latency impact of non-fatal errors, we develop a methodology that projects potential latency savings for a given request as if the time spent on failing APIs were eliminated. This estimator allows ranking and bubbling up those APIs that are worthy of further investigations, where the non-fatal errors likely resulted in operational inefficiencies. Finally, we employ our error detection and impact estimation techniques to pinpoint operational inefficiencies, which a) result in a tail latency reduction of a critical endpoint by 30\% and b) offer insights into common inefficiency-introducing patterns.",The Tale of Errors in Microservices,"Microservice architecture is the computing paradigm of choice for large, service-oriented software catering to real-time requests. Individual programs in such a system perform Remote Procedure Calls (RPCs) to other microservices to accomplish sub-tasks. Microservices are designed to be robust; top-level requests can succeed despite errors returned from RPC sub-tasks, referred to as non-fatal errors. Because of this design, the top-level microservices tend to ''live with'' non-fatal errors. Hence, a natural question to ask is ''how prevalent are non-fatal errors and what impact do they have on the exposed latency of top-level requests?''In this paper, we present a large-scale study of errors in microservices. We answer the aforementioned question by analyzing 11 Billion RPCs covering 1,900 user-facing endpoints at the Uber serving requests of hundreds of millions of active users. To assess the latency impact of non-fatal errors, we develop a methodology that projects potential latency savings for a given request as if the time spent on failing APIs were eliminated. This estimator allows ranking and bubbling up those APIs that are worthy of further investigations, where the non-fatal errors likely resulted in operational inefficiencies. Finally, we employ our error detection and impact estimation techniques to pinpoint operational inefficiencies, which a) result in a tail latency reduction of a critical endpoint by 30\% and b) offer insights into common inefficiency-introducing patterns.",ACM,no,"['error', 'computing', 'paradigm', 'choice', 'large', 'request', 'individual', 'program', 'perform', 'remote', 'procedure', 'call', 'accomplish', 'designed', 'robust', 'request', 'despite', 'error', 'rpc', 'referred', 'error', 'design', 'tend', 'live', 'error', 'hence', 'natural', 'question', 'prevalent', 'error', 'impact', 'exposed', 'latency', 'request', 'paper', 'present', 'study', 'error', 'answer', 'aforementioned', 'question', 'analyzing', 'covering', 'endpoint', 'serving', 'request', 'hundred', 'million', 'active', 'user', 'assess', 'latency', 'impact', 'error', 'develop', 'methodology', 'project', 'potential', 'latency', 'saving', 'given', 'request', 'time', 'apis', 'eliminated', 'allows', 'ranking', 'apis', 'investigation', 'error', 'likely', 'operational', 'finally', 'employ', 'error', 'detection', 'impact', 'estimation', 'technique', 'pinpoint', 'operational', 'result', 'tail', 'latency', 'reduction', 'critical', 'endpoint', 'b', 'offer', 'insight', 'common', 'pattern']"
"Query-driven video event processing for the internet of multimedia things Advances in Deep Neural Network (DNN) techniques have revolutionized video analytics and unlocked the potential for querying and mining video event patterns. This paper details GNOSIS, an event processing platform to perform near-real-time video event detection in a distributed setting. GNOSIS follows a serverless approach where its component acts as independent microservices and can be deployed at multiple nodes. GNOSIS uses a declarative query-driven approach where users can write customize queries for spatiotemporal video event reasoning. The system converts the incoming video streams into a continuous evolving graph stream using machine learning (ML) and DNN models pipeline and applies graph matching for video event pattern detection. GNOSIS can perform both stateful and stateless video event matching. To improve Quality of Service (QoS), recent work in GNOSIS incorporates optimization techniques like adaptive scheduling, energy efficiency, and content-driven windows. This paper demonstrates the Occupational Health and Safety query use cases to show the GNOSIS efficacy.",Query-driven video event processing for the internet of multimedia things,"Advances in Deep Neural Network (DNN) techniques have revolutionized video analytics and unlocked the potential for querying and mining video event patterns. This paper details GNOSIS, an event processing platform to perform near-real-time video event detection in a distributed setting. GNOSIS follows a serverless approach where its component acts as independent microservices and can be deployed at multiple nodes. GNOSIS uses a declarative query-driven approach where users can write customize queries for spatiotemporal video event reasoning. The system converts the incoming video streams into a continuous evolving graph stream using machine learning (ML) and DNN models pipeline and applies graph matching for video event pattern detection. GNOSIS can perform both stateful and stateless video event matching. To improve Quality of Service (QoS), recent work in GNOSIS incorporates optimization techniques like adaptive scheduling, energy efficiency, and content-driven windows. This paper demonstrates the Occupational Health and Safety query use cases to show the GNOSIS efficacy.",ACM,no,"['video', 'event', 'processing', 'internet', 'thing', 'advance', 'deep', 'neural', 'network', 'technique', 'revolutionized', 'video', 'analytics', 'potential', 'mining', 'video', 'event', 'pattern', 'paper', 'detail', 'gnosis', 'event', 'processing', 'platform', 'perform', 'video', 'event', 'detection', 'distributed', 'setting', 'gnosis', 'follows', 'serverless', 'act', 'independent', 'deployed', 'multiple', 'node', 'gnosis', 'us', 'declarative', 'user', 'write', 'customize', 'query', 'video', 'event', 'reasoning', 'convert', 'incoming', 'video', 'stream', 'continuous', 'evolving', 'graph', 'stream', 'using', 'machine', 'learning', 'ml', 'model', 'pipeline', 'applies', 'graph', 'matching', 'video', 'event', 'pattern', 'detection', 'gnosis', 'perform', 'stateful', 'stateless', 'video', 'event', 'matching', 'improve', 'quality', 'qos', 'recent', 'work', 'gnosis', 'optimization', 'technique', 'like', 'adaptive', 'scheduling', 'energy', 'efficiency', 'paper', 'demonstrates', 'health', 'safety', 'query', 'use', 'case', 'show', 'gnosis', 'efficacy']"
"Design and development of an open private educational cloud storage solution for application development CS, IT, and software engineering students need to learn and master web application development and cloud computing skills on an educational full-stack Cloud architecture. In this paper we provide the design of an educational full-stack architecture integrating a private storage cloud. The focus was on how to integrate, configure, secure and deploy web-software applications, microservices and private storage within a full-stack architecture. In this research study we determined the feasibility of designing and developing an open private-cloud storage solution for cloud software. We also share the results of the deployment and testing of phases 0 and 1 of the educational full-stack architecture.",Design and development of an open private educational cloud storage solution for application development,"CS, IT, and software engineering students need to learn and master web application development and cloud computing skills on an educational full-stack Cloud architecture. In this paper we provide the design of an educational full-stack architecture integrating a private storage cloud. The focus was on how to integrate, configure, secure and deploy web-software applications, microservices and private storage within a full-stack architecture. In this research study we determined the feasibility of designing and developing an open private-cloud storage solution for cloud software. We also share the results of the deployment and testing of phases 0 and 1 of the educational full-stack architecture.",ACM,no,"['design', 'development', 'open', 'private', 'educational', 'storage', 'solution', 'development', 'c', 'engineering', 'student', 'need', 'learn', 'master', 'web', 'development', 'computing', 'skill', 'educational', 'paper', 'provide', 'design', 'educational', 'integrating', 'private', 'storage', 'focus', 'integrate', 'configure', 'secure', 'deploy', 'private', 'storage', 'within', 'research', 'study', 'feasibility', 'designing', 'developing', 'open', 'storage', 'solution', 'also', 'share', 'result', 'deployment', 'testing', 'phase', 'educational']"
"The structure and delivery of an advanced systems administration IT course IT program courses should allow students to acquire the needed IT skills to enable them to be job ready by graduation. To prepare the IT graduates to current and future practices of virtualized computing resources, which integrate IT systems and services, DevOps and microservices, systems administration courses need to introduce students to current tools used to administer and manage continuous integration and deployment of infrastructure and services. In this paper, we provide the structure, components, hands-on assignments, and the virtual environment of a senior-level competency-based advanced Unix/Linux systems administration course that is delivered face-to-face and online. The course introduces current organizational practices of continuous integration and delivery of services. Student course evaluation and what helped them learn the most are also presented and discussed.",The structure and delivery of an advanced systems administration IT course,"IT program courses should allow students to acquire the needed IT skills to enable them to be job ready by graduation. To prepare the IT graduates to current and future practices of virtualized computing resources, which integrate IT systems and services, DevOps and microservices, systems administration courses need to introduce students to current tools used to administer and manage continuous integration and deployment of infrastructure and services. In this paper, we provide the structure, components, hands-on assignments, and the virtual environment of a senior-level competency-based advanced Unix/Linux systems administration course that is delivered face-to-face and online. The course introduces current organizational practices of continuous integration and delivery of services. Student course evaluation and what helped them learn the most are also presented and discussed.",ACM,no,"['structure', 'delivery', 'advanced', 'administration', 'course', 'program', 'course', 'allow', 'student', 'needed', 'skill', 'enable', 'job', 'ready', 'current', 'future', 'practice', 'virtualized', 'computing', 'resource', 'integrate', 'devops', 'administration', 'course', 'need', 'introduce', 'student', 'current', 'tool', 'used', 'manage', 'continuous', 'integration', 'deployment', 'infrastructure', 'paper', 'provide', 'structure', 'assignment', 'virtual', 'environment', 'advanced', 'administration', 'course', 'online', 'course', 'introduces', 'current', 'organizational', 'practice', 'continuous', 'integration', 'delivery', 'student', 'course', 'evaluation', 'helped', 'learn', 'also', 'presented', 'discussed']"
"Semi-automated Cross-Component Issue Management and Impact Analysis Despite microservices and other component-based architecture styles being state of the art in research for many years by now, issue management across the boundaries of a single component is still challenging. Components that were developed independently and can be used independently are joined together in the overall architecture, which results in dependencies between those components. Due to these dependencies, bugs can result that propagate along the call chains through the architecture. Other types of issues, such as the violation of non-functional quality properties, can also impact other components. However, traditional issue management systems end at the boundaries of a component, making tracking of issues across different components time-consuming and error-prone. Therefore, a need for automation arises for cross-component issue management, which automatically puts issues of the independent components in the correct mutual context, creating new cross-component issues and syncing cross-component issues between different components. This automation could enable developers to manage issues across components as efficiently as possible and increases the system’s quality. To solve this problem, we propose an initial approach for semi-automated cross-component issue management in conjunction with service-level objectives based on our Gropius system. For example, relationships between issues of the same or different components can be predicted using classification to identify dependencies of issues across component boundaries. In addition, we are developing a system to model, monitor and alert service-level objectives. Based on this, the impact of such quality violations on the overall system and the business process will be analysed and explained through cross-component issues.",Semi-automated Cross-Component Issue Management and Impact Analysis,"Despite microservices and other component-based architecture styles being state of the art in research for many years by now, issue management across the boundaries of a single component is still challenging. Components that were developed independently and can be used independently are joined together in the overall architecture, which results in dependencies between those components. Due to these dependencies, bugs can result that propagate along the call chains through the architecture. Other types of issues, such as the violation of non-functional quality properties, can also impact other components. However, traditional issue management systems end at the boundaries of a component, making tracking of issues across different components time-consuming and error-prone. Therefore, a need for automation arises for cross-component issue management, which automatically puts issues of the independent components in the correct mutual context, creating new cross-component issues and syncing cross-component issues between different components. This automation could enable developers to manage issues across components as efficiently as possible and increases the system’s quality. To solve this problem, we propose an initial approach for semi-automated cross-component issue management in conjunction with service-level objectives based on our Gropius system. For example, relationships between issues of the same or different components can be predicted using classification to identify dependencies of issues across component boundaries. In addition, we are developing a system to model, monitor and alert service-level objectives. Based on this, the impact of such quality violations on the overall system and the business process will be analysed and explained through cross-component issues.",IEEE conference,no,"['issue', 'management', 'impact', 'analysis', 'despite', 'style', 'state', 'art', 'research', 'many', 'year', 'issue', 'management', 'across', 'boundary', 'single', 'still', 'challenging', 'developed', 'independently', 'used', 'independently', 'together', 'overall', 'result', 'dependency', 'due', 'dependency', 'bug', 'result', 'propagate', 'along', 'call', 'chain', 'type', 'issue', 'violation', 'quality', 'property', 'also', 'impact', 'however', 'traditional', 'issue', 'management', 'end', 'boundary', 'making', 'tracking', 'issue', 'across', 'different', 'therefore', 'need', 'automation', 'arises', 'issue', 'management', 'automatically', 'put', 'issue', 'independent', 'correct', 'mutual', 'context', 'creating', 'new', 'issue', 'issue', 'different', 'automation', 'could', 'enable', 'developer', 'manage', 'issue', 'across', 'efficiently', 'possible', 'increase', 'quality', 'solve', 'problem', 'propose', 'initial', 'issue', 'management', 'objective', 'based', 'example', 'relationship', 'issue', 'different', 'predicted', 'using', 'classification', 'identify', 'dependency', 'issue', 'across', 'boundary', 'addition', 'developing', 'model', 'monitor', 'objective', 'based', 'impact', 'quality', 'violation', 'overall', 'business', 'process', 'analysed', 'explained', 'issue']"
"Design and implementation of online judgment system based on microservice architecture and Docker The online judgment system tests whether the source code can pass the problem’s test cases in the programming contests. Users only need to click the submit button on the front-end page, and the system will return the judge results after a certain period. Although there are many online judgment systems for programming contests, there are few online judgment systems for programming teaching and adopting a microservice architecture. This paper aims to design and implement an online judgment system for programming teaching. The system’s front-end adopts Vue and Element-Ui framework, and the back-end adopts microservice architecture for development. On the one hand, using the system can improve students' programming ability and teachers' efficiency and accuracy in marking programming assignments. On the other hand, the system has an online contest function, which can hold contests or be used as an examination platform to assess students' actual levels.",Design and implementation of online judgment system based on microservice architecture and Docker,"The online judgment system tests whether the source code can pass the problem’s test cases in the programming contests. Users only need to click the submit button on the front-end page, and the system will return the judge results after a certain period. Although there are many online judgment systems for programming contests, there are few online judgment systems for programming teaching and adopting a microservice architecture. This paper aims to design and implement an online judgment system for programming teaching. The system’s front-end adopts Vue and Element-Ui framework, and the back-end adopts microservice architecture for development. On the one hand, using the system can improve students' programming ability and teachers' efficiency and accuracy in marking programming assignments. On the other hand, the system has an online contest function, which can hold contests or be used as an examination platform to assess students' actual levels.",IEEE conference,no,"['design', 'implementation', 'online', 'judgment', 'based', 'docker', 'online', 'judgment', 'test', 'whether', 'source', 'code', 'problem', 'test', 'case', 'programming', 'contest', 'user', 'need', 'result', 'certain', 'period', 'although', 'many', 'online', 'judgment', 'programming', 'contest', 'online', 'judgment', 'programming', 'teaching', 'adopting', 'paper', 'aim', 'design', 'implement', 'online', 'judgment', 'programming', 'teaching', 'adopts', 'framework', 'adopts', 'development', 'one', 'hand', 'using', 'improve', 'student', 'programming', 'ability', 'efficiency', 'accuracy', 'programming', 'assignment', 'hand', 'online', 'contest', 'function', 'contest', 'used', 'platform', 'assess', 'student', 'actual', 'level']"
"A BlackBox Approach to Profile Runtime Execution Dependencies in Microservices Loosely-coupled and lightweight microservices running in containers are likely to form complex execution dependencies inside the system. The execution dependency arises when two execution paths partially share component microservices, resulting in potential runtime performance interference. In this paper, we present a blackbox approach that utilizes legitimate HTTP requests to accurately profile the internal pairwise dependencies of all supported execution paths in the target microservices application. Concretely, we profile the pairwise dependency of two execution paths through performance interference analysis by sending bursts of two types of requests simultaneously. By characterizing and grouping all the execution paths based on their pairwise dependencies, the black box approach can derive a clear dependency graph(s) of the entire backend of the microservices application. We validate the effectiveness of the blackbox approach through experiments of open-source microservices benchmark applications running on real clouds (e.g., EC2, Azure).",A BlackBox Approach to Profile Runtime Execution Dependencies in Microservices,"Loosely-coupled and lightweight microservices running in containers are likely to form complex execution dependencies inside the system. The execution dependency arises when two execution paths partially share component microservices, resulting in potential runtime performance interference. In this paper, we present a blackbox approach that utilizes legitimate HTTP requests to accurately profile the internal pairwise dependencies of all supported execution paths in the target microservices application. Concretely, we profile the pairwise dependency of two execution paths through performance interference analysis by sending bursts of two types of requests simultaneously. By characterizing and grouping all the execution paths based on their pairwise dependencies, the black box approach can derive a clear dependency graph(s) of the entire backend of the microservices application. We validate the effectiveness of the blackbox approach through experiments of open-source microservices benchmark applications running on real clouds (e.g., EC2, Azure).",IEEE conference,no,"['blackbox', 'profile', 'runtime', 'execution', 'dependency', 'lightweight', 'running', 'container', 'likely', 'form', 'complex', 'execution', 'dependency', 'inside', 'execution', 'dependency', 'arises', 'two', 'execution', 'path', 'partially', 'share', 'resulting', 'potential', 'runtime', 'performance', 'interference', 'paper', 'present', 'blackbox', 'utilizes', 'http', 'request', 'accurately', 'profile', 'internal', 'pairwise', 'dependency', 'supported', 'execution', 'path', 'target', 'profile', 'pairwise', 'dependency', 'two', 'execution', 'path', 'performance', 'interference', 'analysis', 'two', 'type', 'request', 'simultaneously', 'characterizing', 'grouping', 'execution', 'path', 'based', 'pairwise', 'dependency', 'box', 'derive', 'clear', 'dependency', 'graph', 'entire', 'backend', 'validate', 'effectiveness', 'blackbox', 'experiment', 'benchmark', 'running', 'real', 'azure']"
