text,Document Title,Abstract,source,bool,processed_text
"RESTful API Automated Test Case Generation with EvoMaster RESTful APIs are widespread in industry, especially in enterprise applications developed with a microservice architecture. A RESTful web service will provide data via an API over the network using HTTP, possibly interacting with databases and other web services. Testing a RESTful API poses challenges, because inputs/outputs are sequences of HTTP requests/responses to a remote server. Many approaches in the literature do black-box testing, because often the tested API is a remote service whose code is not available. In this article, we consider testing from the point of view of the developers, who have full access to the code that they are writing. Therefore, we propose a fully automated white-box testing approach, where test cases are automatically generated using an evolutionary algorithm. Tests are rewarded based on code coverage and fault-finding metrics. However, REST is not a protocol but rather a set of guidelines on how to design resources accessed over HTTP endpoints. For example, there are guidelines on how related resources should be structured with hierarchical URIs and how the different HTTP verbs should be used to represent well-defined actions on those resources. Test-case generation for RESTful APIs that only rely on white-box information of the source code might not be able to identify how to create prerequisite resources needed before being able to test some of the REST endpoints. Smart sampling techniques that exploit the knowledge of best practices in RESTful API design are needed to generate tests with predefined structures to speed up the search. We implemented our technique in a tool called EvoMaster, which is open source. Experiments on five open-source, yet non-trivial, RESTful services show that our novel technique automatically found 80 real bugs in those applications. However, obtained code coverage is lower than the one achieved by the manually written test suites already existing in those services. Research directions on how to further improve such an approach are therefore discussed, such as the handling of SQL databases.",RESTful API Automated Test Case Generation with EvoMaster,"RESTful APIs are widespread in industry, especially in enterprise applications developed with a microservice architecture. A RESTful web service will provide data via an API over the network using HTTP, possibly interacting with databases and other web services. Testing a RESTful API poses challenges, because inputs/outputs are sequences of HTTP requests/responses to a remote server. Many approaches in the literature do black-box testing, because often the tested API is a remote service whose code is not available. In this article, we consider testing from the point of view of the developers, who have full access to the code that they are writing. Therefore, we propose a fully automated white-box testing approach, where test cases are automatically generated using an evolutionary algorithm. Tests are rewarded based on code coverage and fault-finding metrics. However, REST is not a protocol but rather a set of guidelines on how to design resources accessed over HTTP endpoints. For example, there are guidelines on how related resources should be structured with hierarchical URIs and how the different HTTP verbs should be used to represent well-defined actions on those resources. Test-case generation for RESTful APIs that only rely on white-box information of the source code might not be able to identify how to create prerequisite resources needed before being able to test some of the REST endpoints. Smart sampling techniques that exploit the knowledge of best practices in RESTful API design are needed to generate tests with predefined structures to speed up the search. We implemented our technique in a tool called EvoMaster, which is open source. Experiments on five open-source, yet non-trivial, RESTful services show that our novel technique automatically found 80 real bugs in those applications. However, obtained code coverage is lower than the one achieved by the manually written test suites already existing in those services. Research directions on how to further improve such an approach are therefore discussed, such as the handling of SQL databases.",ACM,no,"['restful', 'api', 'automated', 'test', 'case', 'generation', 'evomaster', 'restful', 'apis', 'widespread', 'industry', 'especially', 'enterprise', 'developed', 'restful', 'web', 'provide', 'via', 'api', 'network', 'using', 'http', 'possibly', 'interacting', 'database', 'web', 'testing', 'restful', 'api', 'pose', 'challenge', 'sequence', 'http', 'remote', 'server', 'many', 'literature', 'testing', 'often', 'tested', 'api', 'remote', 'whose', 'code', 'available', 'article', 'consider', 'testing', 'point', 'view', 'developer', 'full', 'access', 'code', 'writing', 'therefore', 'propose', 'fully', 'automated', 'testing', 'test', 'case', 'automatically', 'generated', 'using', 'evolutionary', 'algorithm', 'test', 'based', 'code', 'coverage', 'metric', 'however', 'rest', 'protocol', 'rather', 'set', 'guideline', 'design', 'resource', 'accessed', 'http', 'endpoint', 'example', 'guideline', 'related', 'resource', 'structured', 'hierarchical', 'different', 'http', 'used', 'represent', 'action', 'resource', 'generation', 'restful', 'apis', 'rely', 'information', 'source', 'code', 'might', 'able', 'identify', 'create', 'resource', 'needed', 'able', 'test', 'rest', 'endpoint', 'smart', 'sampling', 'technique', 'exploit', 'knowledge', 'best', 'practice', 'restful', 'api', 'design', 'needed', 'generate', 'test', 'predefined', 'structure', 'speed', 'search', 'implemented', 'technique', 'tool', 'called', 'evomaster', 'open', 'source', 'experiment', 'five', 'yet', 'restful', 'show', 'novel', 'technique', 'automatically', 'found', 'real', 'bug', 'however', 'obtained', 'code', 'coverage', 'lower', 'one', 'achieved', 'manually', 'written', 'test', 'suite', 'already', 'existing', 'research', 'direction', 'improve', 'therefore', 'discussed', 'handling', 'database']"
"White-Box Fuzzing RPC-Based APIs with EvoMaster: An Industrial Case Study Remote Procedure Call (RPC) is a communication protocol to support client-server interactions among services over a network. RPC is widely applied in industry for building large-scale distributed systems, such as Microservices. Modern RPC frameworks include, for example, Thrift, gRPC, SOFARPC, and Dubbo. Testing such systems using RPC communications is very challenging, due to the complexity of distributed systems and various RPC frameworks the system could employ. To the best of our knowledge, there does not exist any tool or solution that could enable automated testing of modern RPC-based services. To fill this gap, in this article we propose the first approach in the literature, together with an open source tool, for fuzzing modern RPC-based APIs. The approach is in the context of white-box testing with search-based techniques. To tackle schema extraction of various RPC frameworks, we formulate a RPC schema specification along with a parser that allows the extraction from source code of any JVM RPC-based APIs. Then, with the extracted schema we employ a search to produce tests by maximizing white-box heuristics and newly defined heuristics specific to the RPC domain. We built our approach as an extension to an open source fuzzer (i.e., EvoMaster), and the approach has been integrated into a real industrial pipeline that could be applied to a real industrial development process for fuzzing RPC-based APIs. To assess our novel approach, we conducted an empirical study with two artificial and four industrial web services selected by our industrial partner. In addition, to further demonstrate its effectiveness and application in industrial settings, we report results of employing our tool for fuzzing another 50 industrial APIs autonomously conducted by our industrial partner in their testing processes. Results show that our novel approach is capable of enabling automated test case generation for industrial RPC-based APIs (i.e., 2 artificial and 54 industrial). We also compared with a simple gray-box technique and existing manually written tests. Our white-box solution achieves significant improvements on code coverage. Regarding fault detection, by conducting a careful review with our industrial partner of the tests generated by our novel approach in the selected four industrial APIs, a total of 41 real faults were identified, which have now been fixed. Another 8,377 detected faults are currently under investigation.",White-Box Fuzzing RPC-Based APIs with EvoMaster: An Industrial Case Study,"Remote Procedure Call (RPC) is a communication protocol to support client-server interactions among services over a network. RPC is widely applied in industry for building large-scale distributed systems, such as Microservices. Modern RPC frameworks include, for example, Thrift, gRPC, SOFARPC, and Dubbo. Testing such systems using RPC communications is very challenging, due to the complexity of distributed systems and various RPC frameworks the system could employ. To the best of our knowledge, there does not exist any tool or solution that could enable automated testing of modern RPC-based services. To fill this gap, in this article we propose the first approach in the literature, together with an open source tool, for fuzzing modern RPC-based APIs. The approach is in the context of white-box testing with search-based techniques. To tackle schema extraction of various RPC frameworks, we formulate a RPC schema specification along with a parser that allows the extraction from source code of any JVM RPC-based APIs. Then, with the extracted schema we employ a search to produce tests by maximizing white-box heuristics and newly defined heuristics specific to the RPC domain. We built our approach as an extension to an open source fuzzer (i.e., EvoMaster), and the approach has been integrated into a real industrial pipeline that could be applied to a real industrial development process for fuzzing RPC-based APIs. To assess our novel approach, we conducted an empirical study with two artificial and four industrial web services selected by our industrial partner. In addition, to further demonstrate its effectiveness and application in industrial settings, we report results of employing our tool for fuzzing another 50 industrial APIs autonomously conducted by our industrial partner in their testing processes. Results show that our novel approach is capable of enabling automated test case generation for industrial RPC-based APIs (i.e., 2 artificial and 54 industrial). We also compared with a simple gray-box technique and existing manually written tests. Our white-box solution achieves significant improvements on code coverage. Regarding fault detection, by conducting a careful review with our industrial partner of the tests generated by our novel approach in the selected four industrial APIs, a total of 41 real faults were identified, which have now been fixed. Another 8,377 detected faults are currently under investigation.",ACM,no,"['fuzzing', 'apis', 'evomaster', 'industrial', 'case', 'study', 'remote', 'procedure', 'call', 'rpc', 'communication', 'protocol', 'support', 'interaction', 'among', 'network', 'rpc', 'widely', 'applied', 'industry', 'building', 'distributed', 'modern', 'rpc', 'framework', 'include', 'example', 'grpc', 'dubbo', 'testing', 'using', 'rpc', 'communication', 'challenging', 'due', 'complexity', 'distributed', 'various', 'rpc', 'framework', 'could', 'employ', 'best', 'knowledge', 'exist', 'tool', 'solution', 'could', 'enable', 'automated', 'testing', 'modern', 'fill', 'gap', 'article', 'propose', 'first', 'literature', 'together', 'open', 'source', 'tool', 'fuzzing', 'modern', 'apis', 'context', 'testing', 'technique', 'tackle', 'schema', 'extraction', 'various', 'rpc', 'framework', 'formulate', 'rpc', 'schema', 'specification', 'along', 'allows', 'extraction', 'source', 'code', 'apis', 'extracted', 'schema', 'employ', 'search', 'produce', 'test', 'maximizing', 'heuristic', 'newly', 'defined', 'heuristic', 'specific', 'rpc', 'domain', 'built', 'extension', 'open', 'source', 'evomaster', 'integrated', 'real', 'industrial', 'pipeline', 'could', 'applied', 'real', 'industrial', 'development', 'process', 'fuzzing', 'apis', 'assess', 'novel', 'conducted', 'empirical', 'study', 'two', 'artificial', 'four', 'industrial', 'web', 'selected', 'industrial', 'partner', 'addition', 'demonstrate', 'effectiveness', 'industrial', 'setting', 'report', 'result', 'employing', 'tool', 'fuzzing', 'another', 'industrial', 'apis', 'autonomously', 'conducted', 'industrial', 'partner', 'testing', 'process', 'result', 'show', 'novel', 'capable', 'enabling', 'automated', 'test', 'case', 'generation', 'industrial', 'apis', 'artificial', 'industrial', 'also', 'compared', 'simple', 'technique', 'existing', 'manually', 'written', 'test', 'solution', 'achieves', 'significant', 'improvement', 'code', 'coverage', 'regarding', 'fault', 'detection', 'conducting', 'careful', 'review', 'industrial', 'partner', 'test', 'generated', 'novel', 'selected', 'four', 'industrial', 'apis', 'total', 'real', 'fault', 'identified', 'fixed', 'another', 'detected', 'fault', 'currently', 'investigation']"
"IMAGE: An Open-Source, Extensible Framework for Deploying Accessible Audio and Haptic Renderings of Web Graphics For accessibility practitioners, creating and deploying novel multimedia interactions for people with disabilities is a nontrivial task. As a result, many projects aiming to support such accessibility needs come and go or never make it to a public release. To reduce the overhead involved in deploying and maintaining a system that transforms web content into multimodal renderings, we created an open source, modular microservices architecture as part of the IMAGE project. This project aims to design richer means of interacting with web graphics than is afforded by a screen reader and text descriptions alone. To benefit the community of accessibility software developers, we discuss this architecture and explain how it provides support for several multimodal processing pipelines. Beyond illustrating the initial use case that motivated this effort, we further describe two use cases outside the scope of our project to explain how a team could use the architecture to develop and deploy accessible solutions for their own work. We then discuss our team’s experience working with the IMAGE architecture, informed by discussions with six project members, and provide recommendations to other practitioners considering applying the framework to their own accessibility projects.","IMAGE: An Open-Source, Extensible Framework for Deploying Accessible Audio and Haptic Renderings of Web Graphics","For accessibility practitioners, creating and deploying novel multimedia interactions for people with disabilities is a nontrivial task. As a result, many projects aiming to support such accessibility needs come and go or never make it to a public release. To reduce the overhead involved in deploying and maintaining a system that transforms web content into multimodal renderings, we created an open source, modular microservices architecture as part of the IMAGE project. This project aims to design richer means of interacting with web graphics than is afforded by a screen reader and text descriptions alone. To benefit the community of accessibility software developers, we discuss this architecture and explain how it provides support for several multimodal processing pipelines. Beyond illustrating the initial use case that motivated this effort, we further describe two use cases outside the scope of our project to explain how a team could use the architecture to develop and deploy accessible solutions for their own work. We then discuss our team’s experience working with the IMAGE architecture, informed by discussions with six project members, and provide recommendations to other practitioners considering applying the framework to their own accessibility projects.",ACM,no,"['image', 'extensible', 'framework', 'deploying', 'accessible', 'rendering', 'web', 'graphic', 'accessibility', 'practitioner', 'creating', 'deploying', 'novel', 'interaction', 'people', 'task', 'result', 'many', 'project', 'aiming', 'support', 'accessibility', 'need', 'come', 'go', 'make', 'public', 'release', 'reduce', 'overhead', 'involved', 'deploying', 'maintaining', 'web', 'content', 'multimodal', 'rendering', 'created', 'open', 'source', 'modular', 'part', 'image', 'project', 'project', 'aim', 'design', 'mean', 'interacting', 'web', 'graphic', 'text', 'description', 'benefit', 'community', 'accessibility', 'developer', 'discus', 'explain', 'provides', 'support', 'several', 'multimodal', 'processing', 'pipeline', 'beyond', 'initial', 'use', 'case', 'motivated', 'effort', 'describe', 'two', 'use', 'case', 'outside', 'scope', 'project', 'explain', 'team', 'could', 'use', 'develop', 'deploy', 'accessible', 'solution', 'work', 'discus', 'team', 'experience', 'working', 'image', 'discussion', 'six', 'project', 'provide', 'recommendation', 'practitioner', 'considering', 'applying', 'framework', 'accessibility', 'project']"
"The Tale of Errors in Microservices Microservice architecture is the computing paradigm of choice for large, service-oriented software catering to real-time requests. Individual programs in such a system perform Remote Procedure Calls (RPCs) to other microservices to accomplish sub-tasks. Microservices are designed to be robust; top-level requests can succeed despite errors returned from RPC sub-tasks, referred to as non-fatal errors. Because of this design, the top-level microservices tend to ''live with'' non-fatal errors. Hence, a natural question to ask is ''how prevalent are non-fatal errors and what impact do they have on the exposed latency of top-level requests?''In this paper, we present a large-scale study of errors in microservices. We answer the aforementioned question by analyzing 11 Billion RPCs covering 1,900 user-facing endpoints at the Uber serving requests of hundreds of millions of active users. To assess the latency impact of non-fatal errors, we develop a methodology that projects potential latency savings for a given request as if the time spent on failing APIs were eliminated. This estimator allows ranking and bubbling up those APIs that are worthy of further investigations, where the non-fatal errors likely resulted in operational inefficiencies. Finally, we employ our error detection and impact estimation techniques to pinpoint operational inefficiencies, which a) result in a tail latency reduction of a critical endpoint by 30\% and b) offer insights into common inefficiency-introducing patterns.",The Tale of Errors in Microservices,"Microservice architecture is the computing paradigm of choice for large, service-oriented software catering to real-time requests. Individual programs in such a system perform Remote Procedure Calls (RPCs) to other microservices to accomplish sub-tasks. Microservices are designed to be robust; top-level requests can succeed despite errors returned from RPC sub-tasks, referred to as non-fatal errors. Because of this design, the top-level microservices tend to ''live with'' non-fatal errors. Hence, a natural question to ask is ''how prevalent are non-fatal errors and what impact do they have on the exposed latency of top-level requests?''In this paper, we present a large-scale study of errors in microservices. We answer the aforementioned question by analyzing 11 Billion RPCs covering 1,900 user-facing endpoints at the Uber serving requests of hundreds of millions of active users. To assess the latency impact of non-fatal errors, we develop a methodology that projects potential latency savings for a given request as if the time spent on failing APIs were eliminated. This estimator allows ranking and bubbling up those APIs that are worthy of further investigations, where the non-fatal errors likely resulted in operational inefficiencies. Finally, we employ our error detection and impact estimation techniques to pinpoint operational inefficiencies, which a) result in a tail latency reduction of a critical endpoint by 30\% and b) offer insights into common inefficiency-introducing patterns.",ACM,no,"['error', 'computing', 'paradigm', 'choice', 'large', 'request', 'individual', 'program', 'perform', 'remote', 'procedure', 'call', 'accomplish', 'designed', 'robust', 'request', 'despite', 'error', 'rpc', 'referred', 'error', 'design', 'tend', 'live', 'error', 'hence', 'natural', 'question', 'prevalent', 'error', 'impact', 'exposed', 'latency', 'request', 'paper', 'present', 'study', 'error', 'answer', 'aforementioned', 'question', 'analyzing', 'covering', 'endpoint', 'serving', 'request', 'hundred', 'million', 'active', 'user', 'assess', 'latency', 'impact', 'error', 'develop', 'methodology', 'project', 'potential', 'latency', 'saving', 'given', 'request', 'time', 'apis', 'eliminated', 'allows', 'ranking', 'apis', 'investigation', 'error', 'likely', 'operational', 'finally', 'employ', 'error', 'detection', 'impact', 'estimation', 'technique', 'pinpoint', 'operational', 'result', 'tail', 'latency', 'reduction', 'critical', 'endpoint', 'b', 'offer', 'insight', 'common', 'pattern']"
"Design and development of an open private educational cloud storage solution for application development CS, IT, and software engineering students need to learn and master web application development and cloud computing skills on an educational full-stack Cloud architecture. In this paper we provide the design of an educational full-stack architecture integrating a private storage cloud. The focus was on how to integrate, configure, secure and deploy web-software applications, microservices and private storage within a full-stack architecture. In this research study we determined the feasibility of designing and developing an open private-cloud storage solution for cloud software. We also share the results of the deployment and testing of phases 0 and 1 of the educational full-stack architecture.",Design and development of an open private educational cloud storage solution for application development,"CS, IT, and software engineering students need to learn and master web application development and cloud computing skills on an educational full-stack Cloud architecture. In this paper we provide the design of an educational full-stack architecture integrating a private storage cloud. The focus was on how to integrate, configure, secure and deploy web-software applications, microservices and private storage within a full-stack architecture. In this research study we determined the feasibility of designing and developing an open private-cloud storage solution for cloud software. We also share the results of the deployment and testing of phases 0 and 1 of the educational full-stack architecture.",ACM,no,"['design', 'development', 'open', 'private', 'educational', 'storage', 'solution', 'development', 'c', 'engineering', 'student', 'need', 'learn', 'master', 'web', 'development', 'computing', 'skill', 'educational', 'paper', 'provide', 'design', 'educational', 'integrating', 'private', 'storage', 'focus', 'integrate', 'configure', 'secure', 'deploy', 'private', 'storage', 'within', 'research', 'study', 'feasibility', 'designing', 'developing', 'open', 'storage', 'solution', 'also', 'share', 'result', 'deployment', 'testing', 'phase', 'educational']"
"Semi-automated Cross-Component Issue Management and Impact Analysis Despite microservices and other component-based architecture styles being state of the art in research for many years by now, issue management across the boundaries of a single component is still challenging. Components that were developed independently and can be used independently are joined together in the overall architecture, which results in dependencies between those components. Due to these dependencies, bugs can result that propagate along the call chains through the architecture. Other types of issues, such as the violation of non-functional quality properties, can also impact other components. However, traditional issue management systems end at the boundaries of a component, making tracking of issues across different components time-consuming and error-prone. Therefore, a need for automation arises for cross-component issue management, which automatically puts issues of the independent components in the correct mutual context, creating new cross-component issues and syncing cross-component issues between different components. This automation could enable developers to manage issues across components as efficiently as possible and increases the system’s quality. To solve this problem, we propose an initial approach for semi-automated cross-component issue management in conjunction with service-level objectives based on our Gropius system. For example, relationships between issues of the same or different components can be predicted using classification to identify dependencies of issues across component boundaries. In addition, we are developing a system to model, monitor and alert service-level objectives. Based on this, the impact of such quality violations on the overall system and the business process will be analysed and explained through cross-component issues.",Semi-automated Cross-Component Issue Management and Impact Analysis,"Despite microservices and other component-based architecture styles being state of the art in research for many years by now, issue management across the boundaries of a single component is still challenging. Components that were developed independently and can be used independently are joined together in the overall architecture, which results in dependencies between those components. Due to these dependencies, bugs can result that propagate along the call chains through the architecture. Other types of issues, such as the violation of non-functional quality properties, can also impact other components. However, traditional issue management systems end at the boundaries of a component, making tracking of issues across different components time-consuming and error-prone. Therefore, a need for automation arises for cross-component issue management, which automatically puts issues of the independent components in the correct mutual context, creating new cross-component issues and syncing cross-component issues between different components. This automation could enable developers to manage issues across components as efficiently as possible and increases the system’s quality. To solve this problem, we propose an initial approach for semi-automated cross-component issue management in conjunction with service-level objectives based on our Gropius system. For example, relationships between issues of the same or different components can be predicted using classification to identify dependencies of issues across component boundaries. In addition, we are developing a system to model, monitor and alert service-level objectives. Based on this, the impact of such quality violations on the overall system and the business process will be analysed and explained through cross-component issues.",IEEE conference,no,"['issue', 'management', 'impact', 'analysis', 'despite', 'style', 'state', 'art', 'research', 'many', 'year', 'issue', 'management', 'across', 'boundary', 'single', 'still', 'challenging', 'developed', 'independently', 'used', 'independently', 'together', 'overall', 'result', 'dependency', 'due', 'dependency', 'bug', 'result', 'propagate', 'along', 'call', 'chain', 'type', 'issue', 'violation', 'quality', 'property', 'also', 'impact', 'however', 'traditional', 'issue', 'management', 'end', 'boundary', 'making', 'tracking', 'issue', 'across', 'different', 'therefore', 'need', 'automation', 'arises', 'issue', 'management', 'automatically', 'put', 'issue', 'independent', 'correct', 'mutual', 'context', 'creating', 'new', 'issue', 'issue', 'different', 'automation', 'could', 'enable', 'developer', 'manage', 'issue', 'across', 'efficiently', 'possible', 'increase', 'quality', 'solve', 'problem', 'propose', 'initial', 'issue', 'management', 'objective', 'based', 'example', 'relationship', 'issue', 'different', 'predicted', 'using', 'classification', 'identify', 'dependency', 'issue', 'across', 'boundary', 'addition', 'developing', 'model', 'monitor', 'objective', 'based', 'impact', 'quality', 'violation', 'overall', 'business', 'process', 'analysed', 'explained', 'issue']"
"A Multi-Level Self-Adaptation Approach For Microservice Systems Microservice technology that emphasizes self-management and lightweight of software systems has received great interests in both academic and industry fields of software engineering. The highly self-contained components and the dynamic running instance of microservice architecture require more flexible and diverse self-adaptation at multiple levels, which poses challenges to existing self-adaptation technologies. This paper proposes a multi-level self-adaptation approach to enrich the self-adaptation capabilities of microservice architecture and technologies. In our approach, the self-adaptation of microservice system can occur at both microservice level and instance level to satisfy various self-adaptation requirements. Based on the abstract model of self-adaptive microservice systems, the operation primitives to accomplish self-adaptation at different levels are proposed. We also present a microservice self-adaptation description language MSDL to specify the self-adaptation logics at multiple levels and implement a supporting platform by extending Kubernetes. A case is developed to illustrate our approach and experiments are conducted to show its effectiveness and availability.",A Multi-Level Self-Adaptation Approach For Microservice Systems,"Microservice technology that emphasizes self-management and lightweight of software systems has received great interests in both academic and industry fields of software engineering. The highly self-contained components and the dynamic running instance of microservice architecture require more flexible and diverse self-adaptation at multiple levels, which poses challenges to existing self-adaptation technologies. This paper proposes a multi-level self-adaptation approach to enrich the self-adaptation capabilities of microservice architecture and technologies. In our approach, the self-adaptation of microservice system can occur at both microservice level and instance level to satisfy various self-adaptation requirements. Based on the abstract model of self-adaptive microservice systems, the operation primitives to accomplish self-adaptation at different levels are proposed. We also present a microservice self-adaptation description language MSDL to specify the self-adaptation logics at multiple levels and implement a supporting platform by extending Kubernetes. A case is developed to illustrate our approach and experiments are conducted to show its effectiveness and availability.",IEEE conference,no,"['technology', 'emphasizes', 'lightweight', 'great', 'interest', 'academic', 'industry', 'field', 'engineering', 'highly', 'dynamic', 'running', 'instance', 'require', 'flexible', 'diverse', 'multiple', 'level', 'pose', 'challenge', 'existing', 'technology', 'paper', 'proposes', 'capability', 'technology', 'occur', 'level', 'instance', 'level', 'satisfy', 'various', 'requirement', 'based', 'model', 'operation', 'accomplish', 'different', 'level', 'proposed', 'also', 'present', 'description', 'language', 'specify', 'logic', 'multiple', 'level', 'implement', 'supporting', 'platform', 'extending', 'kubernetes', 'case', 'developed', 'illustrate', 'experiment', 'conducted', 'show', 'effectiveness', 'availability']"
"A BlackBox Approach to Profile Runtime Execution Dependencies in Microservices Loosely-coupled and lightweight microservices running in containers are likely to form complex execution dependencies inside the system. The execution dependency arises when two execution paths partially share component microservices, resulting in potential runtime performance interference. In this paper, we present a blackbox approach that utilizes legitimate HTTP requests to accurately profile the internal pairwise dependencies of all supported execution paths in the target microservices application. Concretely, we profile the pairwise dependency of two execution paths through performance interference analysis by sending bursts of two types of requests simultaneously. By characterizing and grouping all the execution paths based on their pairwise dependencies, the black box approach can derive a clear dependency graph(s) of the entire backend of the microservices application. We validate the effectiveness of the blackbox approach through experiments of open-source microservices benchmark applications running on real clouds (e.g., EC2, Azure).",A BlackBox Approach to Profile Runtime Execution Dependencies in Microservices,"Loosely-coupled and lightweight microservices running in containers are likely to form complex execution dependencies inside the system. The execution dependency arises when two execution paths partially share component microservices, resulting in potential runtime performance interference. In this paper, we present a blackbox approach that utilizes legitimate HTTP requests to accurately profile the internal pairwise dependencies of all supported execution paths in the target microservices application. Concretely, we profile the pairwise dependency of two execution paths through performance interference analysis by sending bursts of two types of requests simultaneously. By characterizing and grouping all the execution paths based on their pairwise dependencies, the black box approach can derive a clear dependency graph(s) of the entire backend of the microservices application. We validate the effectiveness of the blackbox approach through experiments of open-source microservices benchmark applications running on real clouds (e.g., EC2, Azure).",IEEE conference,no,"['blackbox', 'profile', 'runtime', 'execution', 'dependency', 'lightweight', 'running', 'container', 'likely', 'form', 'complex', 'execution', 'dependency', 'inside', 'execution', 'dependency', 'arises', 'two', 'execution', 'path', 'partially', 'share', 'resulting', 'potential', 'runtime', 'performance', 'interference', 'paper', 'present', 'blackbox', 'utilizes', 'http', 'request', 'accurately', 'profile', 'internal', 'pairwise', 'dependency', 'supported', 'execution', 'path', 'target', 'profile', 'pairwise', 'dependency', 'two', 'execution', 'path', 'performance', 'interference', 'analysis', 'two', 'type', 'request', 'simultaneously', 'characterizing', 'grouping', 'execution', 'path', 'based', 'pairwise', 'dependency', 'box', 'derive', 'clear', 'dependency', 'graph', 'entire', 'backend', 'validate', 'effectiveness', 'blackbox', 'experiment', 'benchmark', 'running', 'real', 'azure']"
"Microservices Architecture for Improved Maintainability and Traceability in MVC-Based E-Learning Platforms: RoadMap for Future Developments E-learning platforms often struggle with maintainability and traceability due to the traditionally employed monolithic architecture. Such websites are faced with managing complex codebases and tracking user interactions and system behaviors efficiently. These challenges are met by migrating to microservices architecture which permits modularization as well as autonomy of components by developers. This paper demonstrates how microservices can improve maintainability by allowing independent deployment, scaling up or down, upgrading services, and fostering traceability via distributed monitoring and logging systems. This can be demonstrated by analyzing a case of transitioning an MVC-based e-learning platform to microservices and showing how this could offer practical insights for sustainable development practices that optimize user experiences.",Microservices Architecture for Improved Maintainability and Traceability in MVC-Based E-Learning Platforms: RoadMap for Future Developments,"E-learning platforms often struggle with maintainability and traceability due to the traditionally employed monolithic architecture. Such websites are faced with managing complex codebases and tracking user interactions and system behaviors efficiently. These challenges are met by migrating to microservices architecture which permits modularization as well as autonomy of components by developers. This paper demonstrates how microservices can improve maintainability by allowing independent deployment, scaling up or down, upgrading services, and fostering traceability via distributed monitoring and logging systems. This can be demonstrated by analyzing a case of transitioning an MVC-based e-learning platform to microservices and showing how this could offer practical insights for sustainable development practices that optimize user experiences.",IEEE conference,no,"['improved', 'maintainability', 'traceability', 'platform', 'future', 'development', 'platform', 'often', 'maintainability', 'traceability', 'due', 'traditionally', 'employed', 'monolithic', 'website', 'faced', 'managing', 'complex', 'tracking', 'user', 'interaction', 'behavior', 'efficiently', 'challenge', 'met', 'migrating', 'modularization', 'well', 'autonomy', 'developer', 'paper', 'demonstrates', 'improve', 'maintainability', 'allowing', 'independent', 'deployment', 'scaling', 'upgrading', 'fostering', 'traceability', 'via', 'distributed', 'monitoring', 'logging', 'demonstrated', 'analyzing', 'case', 'platform', 'showing', 'could', 'offer', 'practical', 'insight', 'sustainable', 'development', 'practice', 'optimize', 'user', 'experience']"
"Self-adaptation in Microservice Architectures: A Case Study Most software companies deploy microservices be-hind API Gateways or load balancers to separate their business logic while at the same time serving their customers according to their SLAs. Today, internet companies serve an average of 150–200 million users efficiently in rapidly changing conditions, where autonomic self-adaptation solutions are critical. At such a large scale, self-adaptation has to address challenges related to high availability and reliability, in a variety of scenarios. In this industry experience report, we present the implementation of a self-adaptation approach for microservice architectures that can operate at a large scale and address availability and reliability concerns. Our prototype builds on current industry standards of observability tools used to track the system's internal state. We implement a lightweight MAPE-K loop that reduces the time taken to add self-adaptability and the total cost of ownership. Our case study focuses on dynamic rate limiting, where the implementation of our architecture was able to trigger and execute self-adaptation in under 1 second. We present our architecture, an overview of our prototype implementation and suite of tools used, and discuss our empirical observations.",Self-adaptation in Microservice Architectures: A Case Study,"Most software companies deploy microservices be-hind API Gateways or load balancers to separate their business logic while at the same time serving their customers according to their SLAs. Today, internet companies serve an average of 150–200 million users efficiently in rapidly changing conditions, where autonomic self-adaptation solutions are critical. At such a large scale, self-adaptation has to address challenges related to high availability and reliability, in a variety of scenarios. In this industry experience report, we present the implementation of a self-adaptation approach for microservice architectures that can operate at a large scale and address availability and reliability concerns. Our prototype builds on current industry standards of observability tools used to track the system's internal state. We implement a lightweight MAPE-K loop that reduces the time taken to add self-adaptability and the total cost of ownership. Our case study focuses on dynamic rate limiting, where the implementation of our architecture was able to trigger and execute self-adaptation in under 1 second. We present our architecture, an overview of our prototype implementation and suite of tools used, and discuss our empirical observations.",IEEE conference,no,"['case', 'study', 'company', 'deploy', 'api', 'gateway', 'load', 'balancer', 'separate', 'business', 'logic', 'time', 'serving', 'customer', 'according', 'slas', 'today', 'internet', 'company', 'serve', 'average', 'million', 'user', 'efficiently', 'rapidly', 'changing', 'condition', 'autonomic', 'solution', 'critical', 'large', 'scale', 'address', 'challenge', 'related', 'high', 'availability', 'reliability', 'variety', 'scenario', 'industry', 'experience', 'report', 'present', 'implementation', 'operate', 'large', 'scale', 'address', 'availability', 'reliability', 'concern', 'prototype', 'build', 'current', 'industry', 'standard', 'observability', 'tool', 'used', 'track', 'internal', 'state', 'implement', 'lightweight', 'loop', 'reduces', 'time', 'taken', 'add', 'total', 'cost', 'ownership', 'case', 'study', 'focus', 'dynamic', 'rate', 'limiting', 'implementation', 'able', 'execute', 'second', 'present', 'overview', 'prototype', 'implementation', 'suite', 'tool', 'used', 'discus', 'empirical', 'observation']"
