text,Document Title,Abstract,source,bool,processed_text
"Dynamic Evaluation of Microservice Granularity Adaptation Microservices have gained acceptance in software industries as an emerging architectural style for autonomic, scalable, and more reliable computing. Among the critical microservice architecture design decisions is when to adapt the granularity of a microservice architecture by merging/decomposing microservices. No existing work investigates the following question: How can we reason about the trade-off between predicted benefits and cost of pursuing microservice granularity adaptation under uncertainty? To address this question, we provide a novel formulation of the decision problem to pursue granularity adaptation as a real options problem. We propose a novel evaluation process for dynamically evaluating granularity adaptation design decisions under uncertainty. Our process is based on a novel combination of real options and the concept of Bayesian surprises. We show the benefits of our evaluation process by comparing it to four representative industrial microservice runtime monitoring tools, which can be used for retrospective evaluation for granularity adaptation decisions. Our comparison shows that our process can supersede and/or complement these tools. We implement a microservice application—Filmflix—using Amazon Web Service Lambda and use this implementation as a case study to show the unique benefit of our process compared to traditional application of real options analysis.",Dynamic Evaluation of Microservice Granularity Adaptation,"Microservices have gained acceptance in software industries as an emerging architectural style for autonomic, scalable, and more reliable computing. Among the critical microservice architecture design decisions is when to adapt the granularity of a microservice architecture by merging/decomposing microservices. No existing work investigates the following question: How can we reason about the trade-off between predicted benefits and cost of pursuing microservice granularity adaptation under uncertainty? To address this question, we provide a novel formulation of the decision problem to pursue granularity adaptation as a real options problem. We propose a novel evaluation process for dynamically evaluating granularity adaptation design decisions under uncertainty. Our process is based on a novel combination of real options and the concept of Bayesian surprises. We show the benefits of our evaluation process by comparing it to four representative industrial microservice runtime monitoring tools, which can be used for retrospective evaluation for granularity adaptation decisions. Our comparison shows that our process can supersede and/or complement these tools. We implement a microservice application—Filmflix—using Amazon Web Service Lambda and use this implementation as a case study to show the unique benefit of our process compared to traditional application of real options analysis.",ACM,no,"['dynamic', 'evaluation', 'granularity', 'adaptation', 'gained', 'acceptance', 'industry', 'emerging', 'architectural', 'style', 'autonomic', 'scalable', 'reliable', 'computing', 'among', 'critical', 'design', 'decision', 'adapt', 'granularity', 'existing', 'work', 'investigates', 'following', 'question', 'reason', 'predicted', 'benefit', 'cost', 'granularity', 'adaptation', 'uncertainty', 'address', 'question', 'provide', 'novel', 'formulation', 'decision', 'problem', 'granularity', 'adaptation', 'real', 'option', 'problem', 'propose', 'novel', 'evaluation', 'process', 'dynamically', 'evaluating', 'granularity', 'adaptation', 'design', 'decision', 'uncertainty', 'process', 'based', 'novel', 'combination', 'real', 'option', 'concept', 'show', 'benefit', 'evaluation', 'process', 'comparing', 'four', 'representative', 'industrial', 'runtime', 'monitoring', 'tool', 'used', 'evaluation', 'granularity', 'adaptation', 'decision', 'comparison', 'show', 'process', 'complement', 'tool', 'implement', 'amazon', 'web', 'use', 'implementation', 'case', 'study', 'show', 'unique', 'benefit', 'process', 'compared', 'traditional', 'real', 'option', 'analysis']"
"Actor-Driven Decomposition of Microservices through Multi-level Scalability Assessment The microservices architectural style has gained widespread acceptance. However, designing applications according to this style is still challenging. Common difficulties concern finding clear boundaries that guide decomposition while ensuring performance and scalability. With the aim of providing software architects and engineers with a systematic methodology, we introduce a novel actor-driven decomposition strategy to complement the domain-driven design and overcome some of its limitations by reaching a finer modularization yet enforcing performance and scalability improvements. The methodology uses a multi-level scalability assessment framework that supports decision-making over iterative steps. At each iteration, architecture alternatives are quantitatively evaluated at multiple granularity levels. The assessment helps architects to understand the extent to which architecture alternatives increase or decrease performance and scalability. We applied the methodology to drive further decomposition of the core microservices of a real data-intensive smart mobility application and an existing open-source benchmark in the e-commerce domain. The results of an in-depth evaluation show that the approach can effectively support engineers in (i) decomposing monoliths or coarse-grained microservices into more scalable microservices and (ii) comparing among alternative architectures to guide decision-making for their deployment in modern infrastructures that orchestrate lightweight virtualized execution units.",Actor-Driven Decomposition of Microservices through Multi-level Scalability Assessment,"The microservices architectural style has gained widespread acceptance. However, designing applications according to this style is still challenging. Common difficulties concern finding clear boundaries that guide decomposition while ensuring performance and scalability. With the aim of providing software architects and engineers with a systematic methodology, we introduce a novel actor-driven decomposition strategy to complement the domain-driven design and overcome some of its limitations by reaching a finer modularization yet enforcing performance and scalability improvements. The methodology uses a multi-level scalability assessment framework that supports decision-making over iterative steps. At each iteration, architecture alternatives are quantitatively evaluated at multiple granularity levels. The assessment helps architects to understand the extent to which architecture alternatives increase or decrease performance and scalability. We applied the methodology to drive further decomposition of the core microservices of a real data-intensive smart mobility application and an existing open-source benchmark in the e-commerce domain. The results of an in-depth evaluation show that the approach can effectively support engineers in (i) decomposing monoliths or coarse-grained microservices into more scalable microservices and (ii) comparing among alternative architectures to guide decision-making for their deployment in modern infrastructures that orchestrate lightweight virtualized execution units.",ACM,no,"['decomposition', 'scalability', 'assessment', 'architectural', 'style', 'gained', 'widespread', 'acceptance', 'however', 'designing', 'according', 'style', 'still', 'challenging', 'common', 'difficulty', 'concern', 'finding', 'clear', 'boundary', 'guide', 'decomposition', 'ensuring', 'performance', 'scalability', 'aim', 'providing', 'architect', 'engineer', 'systematic', 'methodology', 'introduce', 'novel', 'decomposition', 'strategy', 'complement', 'design', 'overcome', 'limitation', 'finer', 'modularization', 'yet', 'enforcing', 'performance', 'scalability', 'improvement', 'methodology', 'us', 'scalability', 'assessment', 'framework', 'support', 'iterative', 'step', 'iteration', 'alternative', 'quantitatively', 'evaluated', 'multiple', 'granularity', 'level', 'assessment', 'help', 'architect', 'understand', 'extent', 'alternative', 'increase', 'decrease', 'performance', 'scalability', 'applied', 'methodology', 'drive', 'decomposition', 'core', 'real', 'smart', 'mobility', 'existing', 'benchmark', 'domain', 'result', 'evaluation', 'show', 'effectively', 'support', 'engineer', 'decomposing', 'monolith', 'scalable', 'ii', 'comparing', 'among', 'alternative', 'guide', 'deployment', 'modern', 'infrastructure', 'orchestrate', 'lightweight', 'virtualized', 'execution', 'unit']"
"MicroProf: Code-level Attribution of Unnecessary Data Transfer in Microservice Applications The microservice architecture style has gained popularity due to its ability to fault isolation, ease of scaling applications, and developer’s agility. However, writing applications in the microservice design style has its challenges. Due to the loosely coupled nature, services communicate with others through standard communication APIs. This incurs significant overhead in the application due to communication protocol and data transformation. An inefficient service communication at the microservice application logic can further overwhelm the application. We perform a grey literature review showing that unnecessary data transfer is a real challenge in the industry. To the best of our knowledge, no effective tool is currently available to accurately identify the origins of unnecessary microservice communications that lead to significant performance overhead and provide guidance for optimization.To bridge the knowledge gap, we propose MicroProf, a dynamic program analysis tool to detect unnecessary data transfer in Java-based microservice applications. At the implementation level, MicroProf proposes novel techniques such as remote object sampling and hardware debug registers to monitor remote object usage. MicroProf reports the unnecessary data transfer at the application source code level. Furthermore, MicroProf pinpoints the opportunities for communication API optimization. MicroProf is evaluated on four well-known applications involving two real-world applications and two benchmarks, identifying five inefficient remote invocations. Guided by MicroProf, API optimization achieves an 87.5\% reduction in the number of fields within REST API responses. The empirical evaluation further reveals that the optimized services experience a speedup of up to 4.59\texttimes{}.",MicroProf: Code-level Attribution of Unnecessary Data Transfer in Microservice Applications,"The microservice architecture style has gained popularity due to its ability to fault isolation, ease of scaling applications, and developer’s agility. However, writing applications in the microservice design style has its challenges. Due to the loosely coupled nature, services communicate with others through standard communication APIs. This incurs significant overhead in the application due to communication protocol and data transformation. An inefficient service communication at the microservice application logic can further overwhelm the application. We perform a grey literature review showing that unnecessary data transfer is a real challenge in the industry. To the best of our knowledge, no effective tool is currently available to accurately identify the origins of unnecessary microservice communications that lead to significant performance overhead and provide guidance for optimization.To bridge the knowledge gap, we propose MicroProf, a dynamic program analysis tool to detect unnecessary data transfer in Java-based microservice applications. At the implementation level, MicroProf proposes novel techniques such as remote object sampling and hardware debug registers to monitor remote object usage. MicroProf reports the unnecessary data transfer at the application source code level. Furthermore, MicroProf pinpoints the opportunities for communication API optimization. MicroProf is evaluated on four well-known applications involving two real-world applications and two benchmarks, identifying five inefficient remote invocations. Guided by MicroProf, API optimization achieves an 87.5\% reduction in the number of fields within REST API responses. The empirical evaluation further reveals that the optimized services experience a speedup of up to 4.59\texttimes{}.",ACM,no,"['microprof', 'unnecessary', 'transfer', 'style', 'gained', 'popularity', 'due', 'ability', 'fault', 'isolation', 'ease', 'scaling', 'developer', 'agility', 'however', 'writing', 'design', 'style', 'challenge', 'due', 'loosely', 'coupled', 'nature', 'communicate', 'others', 'standard', 'communication', 'apis', 'significant', 'overhead', 'due', 'communication', 'protocol', 'transformation', 'inefficient', 'communication', 'logic', 'perform', 'literature', 'review', 'showing', 'unnecessary', 'transfer', 'real', 'challenge', 'industry', 'best', 'knowledge', 'effective', 'tool', 'currently', 'available', 'accurately', 'identify', 'unnecessary', 'communication', 'lead', 'significant', 'performance', 'overhead', 'provide', 'guidance', 'bridge', 'knowledge', 'gap', 'propose', 'microprof', 'dynamic', 'program', 'analysis', 'tool', 'detect', 'unnecessary', 'transfer', 'implementation', 'level', 'microprof', 'proposes', 'novel', 'technique', 'remote', 'object', 'sampling', 'hardware', 'debug', 'monitor', 'remote', 'object', 'usage', 'microprof', 'report', 'unnecessary', 'transfer', 'source', 'code', 'level', 'furthermore', 'microprof', 'pinpoint', 'opportunity', 'communication', 'api', 'optimization', 'microprof', 'evaluated', 'four', 'involving', 'two', 'two', 'benchmark', 'identifying', 'five', 'inefficient', 'remote', 'invocation', 'guided', 'microprof', 'api', 'optimization', 'achieves', 'reduction', 'number', 'field', 'within', 'rest', 'api', 'response', 'empirical', 'evaluation', 'reveals', 'optimized', 'experience']"
"Data Mesh: A Systematic Gray Literature Review Data mesh is an emerging domain-driven decentralized data architecture that aims to minimize or avoid operational bottlenecks associated with centralized, monolithic data architectures in enterprises. The topic has piqued the practitioners’ interest, and considerable gray literature exists. At the same time, we observe a lack of academic attempts at defining and building upon the concept. Hence, in this article, we aim to start from the foundations and characterize the data mesh architecture regarding its design principles, architectural components, capabilities, and organizational roles. We systematically collected, analyzed, and synthesized 114 industrial gray literature articles. The resulting review provides insights into practitioners’ perspectives on the four key principles of data mesh: data as a product, domain ownership of data, self-serve data platform, and federated computational governance. Moreover, due to the comparability of data mesh and SOA (service-oriented architecture), we mapped the findings from the gray literature into the reference architectures from the SOA academic literature to create the reference architectures for describing three key dimensions of data mesh: organization of capabilities and roles, development, and runtime. Finally, we discuss open research issues in data mesh, partially based on the findings from the gray literature.",Data Mesh: A Systematic Gray Literature Review,"Data mesh is an emerging domain-driven decentralized data architecture that aims to minimize or avoid operational bottlenecks associated with centralized, monolithic data architectures in enterprises. The topic has piqued the practitioners’ interest, and considerable gray literature exists. At the same time, we observe a lack of academic attempts at defining and building upon the concept. Hence, in this article, we aim to start from the foundations and characterize the data mesh architecture regarding its design principles, architectural components, capabilities, and organizational roles. We systematically collected, analyzed, and synthesized 114 industrial gray literature articles. The resulting review provides insights into practitioners’ perspectives on the four key principles of data mesh: data as a product, domain ownership of data, self-serve data platform, and federated computational governance. Moreover, due to the comparability of data mesh and SOA (service-oriented architecture), we mapped the findings from the gray literature into the reference architectures from the SOA academic literature to create the reference architectures for describing three key dimensions of data mesh: organization of capabilities and roles, development, and runtime. Finally, we discuss open research issues in data mesh, partially based on the findings from the gray literature.",ACM,no,"['mesh', 'systematic', 'gray', 'literature', 'review', 'mesh', 'emerging', 'decentralized', 'aim', 'minimize', 'avoid', 'operational', 'bottleneck', 'associated', 'centralized', 'monolithic', 'enterprise', 'topic', 'practitioner', 'interest', 'gray', 'literature', 'exists', 'time', 'observe', 'lack', 'academic', 'attempt', 'defining', 'building', 'upon', 'concept', 'hence', 'article', 'aim', 'start', 'foundation', 'characterize', 'mesh', 'regarding', 'design', 'principle', 'architectural', 'capability', 'organizational', 'role', 'collected', 'analyzed', 'industrial', 'gray', 'literature', 'article', 'resulting', 'review', 'provides', 'insight', 'practitioner', 'perspective', 'four', 'key', 'principle', 'mesh', 'product', 'domain', 'ownership', 'platform', 'federated', 'computational', 'governance', 'moreover', 'due', 'mesh', 'soa', 'mapped', 'finding', 'gray', 'literature', 'reference', 'soa', 'academic', 'literature', 'create', 'reference', 'describing', 'three', 'key', 'dimension', 'mesh', 'organization', 'capability', 'role', 'development', 'runtime', 'finally', 'discus', 'open', 'research', 'issue', 'mesh', 'partially', 'based', 'finding', 'gray', 'literature']"
"The structure and delivery of an advanced systems administration IT course IT program courses should allow students to acquire the needed IT skills to enable them to be job ready by graduation. To prepare the IT graduates to current and future practices of virtualized computing resources, which integrate IT systems and services, DevOps and microservices, systems administration courses need to introduce students to current tools used to administer and manage continuous integration and deployment of infrastructure and services. In this paper, we provide the structure, components, hands-on assignments, and the virtual environment of a senior-level competency-based advanced Unix/Linux systems administration course that is delivered face-to-face and online. The course introduces current organizational practices of continuous integration and delivery of services. Student course evaluation and what helped them learn the most are also presented and discussed.",The structure and delivery of an advanced systems administration IT course,"IT program courses should allow students to acquire the needed IT skills to enable them to be job ready by graduation. To prepare the IT graduates to current and future practices of virtualized computing resources, which integrate IT systems and services, DevOps and microservices, systems administration courses need to introduce students to current tools used to administer and manage continuous integration and deployment of infrastructure and services. In this paper, we provide the structure, components, hands-on assignments, and the virtual environment of a senior-level competency-based advanced Unix/Linux systems administration course that is delivered face-to-face and online. The course introduces current organizational practices of continuous integration and delivery of services. Student course evaluation and what helped them learn the most are also presented and discussed.",ACM,no,"['structure', 'delivery', 'advanced', 'administration', 'course', 'program', 'course', 'allow', 'student', 'needed', 'skill', 'enable', 'job', 'ready', 'current', 'future', 'practice', 'virtualized', 'computing', 'resource', 'integrate', 'devops', 'administration', 'course', 'need', 'introduce', 'student', 'current', 'tool', 'used', 'manage', 'continuous', 'integration', 'deployment', 'infrastructure', 'paper', 'provide', 'structure', 'assignment', 'virtual', 'environment', 'advanced', 'administration', 'course', 'online', 'course', 'introduces', 'current', 'organizational', 'practice', 'continuous', 'integration', 'delivery', 'student', 'course', 'evaluation', 'helped', 'learn', 'also', 'presented', 'discussed']"
"RapidMS: A Tool for Supporting Rapid Microservices Generation and Refinement from Requirements Model Microservices is a crucial architecture design pat-tern for developing cloud-native applications, which focuses on decomposing a large and complex software system into autonomous components that can be independently developed and deployed. However, microservices design is not a trivial task, which highly depends on the profound knowledge and experience of system design and target domain. This is a challenge for novice software architects. In this paper, we propose a microservices design tool named RapidMS, which only requires architects to specify potential context boundaries on the requirements model. The microservices architecture design model with component structure and interaction views can be automatically generated without extra human effort. Moreover, the proposed tool can automatically calculate the characteristic metrics of the microservices, which indicate the quality of the different aspects of models to support rapid architecture refinements. We demonstrate the tool's effectiveness through five case studies. The experimental result shows that architects can get better decomposition of requirement model within four iterations and over 90% of microservice architecture diagrams can be correctly generated within 10 seconds. RapidMS can be further extended and applied in the software industry to reduce the cost and difficulty of microservices decomposition and design. The tool can be downloaded at https://rm2pt.com/advs/ rapidms, and a demo video casting its features is at https://youtu.be/AoIM41FTnFO",RapidMS: A Tool for Supporting Rapid Microservices Generation and Refinement from Requirements Model,"Microservices is a crucial architecture design pat-tern for developing cloud-native applications, which focuses on decomposing a large and complex software system into autonomous components that can be independently developed and deployed. However, microservices design is not a trivial task, which highly depends on the profound knowledge and experience of system design and target domain. This is a challenge for novice software architects. In this paper, we propose a microservices design tool named RapidMS, which only requires architects to specify potential context boundaries on the requirements model. The microservices architecture design model with component structure and interaction views can be automatically generated without extra human effort. Moreover, the proposed tool can automatically calculate the characteristic metrics of the microservices, which indicate the quality of the different aspects of models to support rapid architecture refinements. We demonstrate the tool's effectiveness through five case studies. The experimental result shows that architects can get better decomposition of requirement model within four iterations and over 90% of microservice architecture diagrams can be correctly generated within 10 seconds. RapidMS can be further extended and applied in the software industry to reduce the cost and difficulty of microservices decomposition and design. The tool can be downloaded at https://rm2pt.com/advs/ rapidms, and a demo video casting its features is at https://youtu.be/AoIM41FTnFO",IEEE conference,no,"['rapidms', 'tool', 'supporting', 'rapid', 'generation', 'refinement', 'requirement', 'model', 'crucial', 'design', 'developing', 'focus', 'decomposing', 'large', 'complex', 'autonomous', 'independently', 'developed', 'deployed', 'however', 'design', 'task', 'highly', 'depends', 'knowledge', 'experience', 'design', 'target', 'domain', 'challenge', 'architect', 'paper', 'propose', 'design', 'tool', 'named', 'rapidms', 'requires', 'architect', 'specify', 'potential', 'context', 'boundary', 'requirement', 'model', 'design', 'model', 'structure', 'interaction', 'view', 'automatically', 'generated', 'without', 'extra', 'human', 'effort', 'moreover', 'proposed', 'tool', 'automatically', 'calculate', 'characteristic', 'metric', 'indicate', 'quality', 'different', 'aspect', 'model', 'support', 'rapid', 'refinement', 'demonstrate', 'tool', 'effectiveness', 'five', 'case', 'study', 'experimental', 'result', 'show', 'architect', 'get', 'better', 'decomposition', 'requirement', 'model', 'within', 'four', 'iteration', 'diagram', 'correctly', 'generated', 'within', 'second', 'rapidms', 'extended', 'applied', 'industry', 'reduce', 'cost', 'difficulty', 'decomposition', 'design', 'tool', 'rapidms', 'demo', 'video', 'feature']"
"Performance Evaluation of Monolithic and Microservice Architecture for an E-commerce Startup Today's businesses must be flexible enough to develop scalable applications that can influence emerging models of production and management. The prevailing imperative for organizations to adopt new technologies and business strategies stems from the need to enhance the efficiency and optimization of both human and technology resources. The concept of ""software architecture"" has been employed to define the overall blueprint of a software system. Software architecture has been proposed as a strategy to decrease complexity and enhance reusability by facilitating system decomposition into its high-level components and their interrelationships. Within the technology sector, the phrase ""e-commerce"" is frequently employed to denote the activities encompassing acquiring, vending, and promoting goods and services. The necessity for an e-commerce enterprise lies in reusable code that pays minimal costs and possesses a streamlined infrastructure. Implementing a suitable architectural framework to meet the existing demands of e-commerce is the most optimal strategy presently. This study undertakes a comparative analysis of monolithic and microservice architectures in the context of an e-commerce startup. Two separate software applications are developed, each following one of the mentioned architectures while utilizing the same technology platform. The findings of the tests suggest that monolithic architectures have the potential to decrease infrastructure expenses and enhance performance when compared to traditional microservice architectures. In conclusion, we clarify the challenges encountered during the deployment and implementation phases of microservices and monolithic web applications.",Performance Evaluation of Monolithic and Microservice Architecture for an E-commerce Startup,"Today's businesses must be flexible enough to develop scalable applications that can influence emerging models of production and management. The prevailing imperative for organizations to adopt new technologies and business strategies stems from the need to enhance the efficiency and optimization of both human and technology resources. The concept of ""software architecture"" has been employed to define the overall blueprint of a software system. Software architecture has been proposed as a strategy to decrease complexity and enhance reusability by facilitating system decomposition into its high-level components and their interrelationships. Within the technology sector, the phrase ""e-commerce"" is frequently employed to denote the activities encompassing acquiring, vending, and promoting goods and services. The necessity for an e-commerce enterprise lies in reusable code that pays minimal costs and possesses a streamlined infrastructure. Implementing a suitable architectural framework to meet the existing demands of e-commerce is the most optimal strategy presently. This study undertakes a comparative analysis of monolithic and microservice architectures in the context of an e-commerce startup. Two separate software applications are developed, each following one of the mentioned architectures while utilizing the same technology platform. The findings of the tests suggest that monolithic architectures have the potential to decrease infrastructure expenses and enhance performance when compared to traditional microservice architectures. In conclusion, we clarify the challenges encountered during the deployment and implementation phases of microservices and monolithic web applications.",IEEE conference,no,"['performance', 'evaluation', 'monolithic', 'startup', 'today', 'business', 'must', 'flexible', 'enough', 'develop', 'scalable', 'influence', 'emerging', 'model', 'production', 'management', 'prevailing', 'imperative', 'organization', 'adopt', 'new', 'technology', 'business', 'strategy', 'need', 'enhance', 'efficiency', 'optimization', 'human', 'technology', 'resource', 'concept', 'employed', 'define', 'overall', 'blueprint', 'proposed', 'strategy', 'decrease', 'complexity', 'enhance', 'reusability', 'facilitating', 'decomposition', 'within', 'technology', 'sector', 'employed', 'activity', 'encompassing', 'promoting', 'good', 'necessity', 'enterprise', 'lie', 'reusable', 'code', 'minimal', 'cost', 'streamlined', 'infrastructure', 'implementing', 'suitable', 'architectural', 'framework', 'meet', 'existing', 'demand', 'optimal', 'strategy', 'study', 'comparative', 'analysis', 'monolithic', 'context', 'startup', 'two', 'separate', 'developed', 'following', 'one', 'utilizing', 'technology', 'platform', 'finding', 'test', 'suggest', 'monolithic', 'potential', 'decrease', 'infrastructure', 'enhance', 'performance', 'compared', 'traditional', 'conclusion', 'challenge', 'deployment', 'implementation', 'phase', 'monolithic', 'web']"
"A Component-Based Evolution Model for Service-Based Software Architectures Microservices architecture has emerged as an architectural style which focuses on the design and development of software systems as a set of small independent services. Although MSA is inspired by the Service-Oriented Architecture style (both are service-based architectures), it presents important differences. Likewise, software architecture must evolve as new architectural styles and software frameworks arise, and the evolution of the software architecture is considered as a central feature of any software system. In this way, this paper proposes an approach to evolve SOA to MSA architectures through the use of Sarch language. To accomplish this, the language was extended to allow the modeling of the two architectural styles from the component-and-connector view, the inclusion of a decomposition view for functional properties, and the use of a model-to-model transformation algorithm.",A Component-Based Evolution Model for Service-Based Software Architectures,"Microservices architecture has emerged as an architectural style which focuses on the design and development of software systems as a set of small independent services. Although MSA is inspired by the Service-Oriented Architecture style (both are service-based architectures), it presents important differences. Likewise, software architecture must evolve as new architectural styles and software frameworks arise, and the evolution of the software architecture is considered as a central feature of any software system. In this way, this paper proposes an approach to evolve SOA to MSA architectures through the use of Sarch language. To accomplish this, the language was extended to allow the modeling of the two architectural styles from the component-and-connector view, the inclusion of a decomposition view for functional properties, and the use of a model-to-model transformation algorithm.",IEEE conference,no,"['evolution', 'model', 'emerged', 'architectural', 'style', 'focus', 'design', 'development', 'set', 'small', 'independent', 'although', 'msa', 'inspired', 'style', 'present', 'important', 'difference', 'must', 'evolve', 'new', 'architectural', 'style', 'framework', 'arise', 'evolution', 'considered', 'central', 'feature', 'way', 'paper', 'proposes', 'evolve', 'soa', 'msa', 'use', 'language', 'accomplish', 'language', 'extended', 'allow', 'modeling', 'two', 'architectural', 'style', 'view', 'inclusion', 'decomposition', 'view', 'functional', 'property', 'use', 'transformation', 'algorithm']"
"Evaluating the Inter-Service Communication on Microservice Architecture Distributed computing concepts have proliferated with cloud computing concepts in the past decade. With the evolution in cloud computing, Microservice architecture has significantly become popular as a new architectural pattern and a software development architecture. Most enterprise software development has moved their monolithic software architecture to microservice-based architecture, as it can divide large applications into light-weighted, distributed components. However, this approach may be subject to certain downsides as well. With the modern convention, engineers have succeeded in achieving scalability and maintainability quality attributes and lack the performance attribute in terms of response time. This is because the microservice architecture has introduced inter-service communication over the network. The key challenge when developing a microservice-based application is choosing the correct inter-service communication mechanism to reduce the time taken when calling each service. This research has taken an experimental methodology to compare and contrast the most trending inter-service communication mechanisms. Industry-standard benchmark load test is run to collect quantitative data to evaluate the overall system performance in terms of response time. The testing observed that gRPC protocol performs well in terms of response time and throughput compared to the HTTP and Web Socket protocols.",Evaluating the Inter-Service Communication on Microservice Architecture,"Distributed computing concepts have proliferated with cloud computing concepts in the past decade. With the evolution in cloud computing, Microservice architecture has significantly become popular as a new architectural pattern and a software development architecture. Most enterprise software development has moved their monolithic software architecture to microservice-based architecture, as it can divide large applications into light-weighted, distributed components. However, this approach may be subject to certain downsides as well. With the modern convention, engineers have succeeded in achieving scalability and maintainability quality attributes and lack the performance attribute in terms of response time. This is because the microservice architecture has introduced inter-service communication over the network. The key challenge when developing a microservice-based application is choosing the correct inter-service communication mechanism to reduce the time taken when calling each service. This research has taken an experimental methodology to compare and contrast the most trending inter-service communication mechanisms. Industry-standard benchmark load test is run to collect quantitative data to evaluate the overall system performance in terms of response time. The testing observed that gRPC protocol performs well in terms of response time and throughput compared to the HTTP and Web Socket protocols.",IEEE conference,no,"['evaluating', 'communication', 'distributed', 'computing', 'concept', 'computing', 'concept', 'past', 'decade', 'evolution', 'computing', 'significantly', 'become', 'popular', 'new', 'architectural', 'pattern', 'development', 'enterprise', 'development', 'moved', 'monolithic', 'divide', 'large', 'distributed', 'however', 'may', 'subject', 'certain', 'well', 'modern', 'engineer', 'achieving', 'scalability', 'maintainability', 'quality', 'attribute', 'lack', 'performance', 'attribute', 'term', 'response', 'time', 'introduced', 'communication', 'network', 'key', 'challenge', 'developing', 'choosing', 'correct', 'communication', 'mechanism', 'reduce', 'time', 'taken', 'calling', 'research', 'taken', 'experimental', 'methodology', 'compare', 'contrast', 'communication', 'mechanism', 'benchmark', 'load', 'test', 'run', 'collect', 'quantitative', 'evaluate', 'overall', 'performance', 'term', 'response', 'time', 'testing', 'observed', 'grpc', 'protocol', 'performs', 'well', 'term', 'response', 'time', 'throughput', 'compared', 'http', 'web', 'protocol']"
"Comparative Analysis of Monolith, Microservice API Gateway and Microservice Federated Gateway on Web-based application using GraphQL API The purpose of this research is to provide a detailed explanation regarding the characteristics as well as the pros and cons offered by various software development architecture, such as monolithic and Microservice architecture implemented with graph-based API called GraphQL. Monolithic architecture offers a centralized software development pattern with relatively simpler integration and development process. Conversely, Microservices architecture such as Gateway Aggregation and Federated Gateway will divide independent components of the application into smaller modules. Gateway Aggregation utilizes a single Gateway which acts as the main entry point for data exchange between the client and the application. In this research aims an application is developed using the three different architectures to measure the quality, both qualitative and quantitative performances of each architecture. There are several different parameters that are going to be used to measure the architecture’s performance such as response time and data throughput which become an essential criterion in conducting load and stress testing. The result is that the Monolithic architecture offers some advantages in its quantitative performance measurement due to better efficiency in collecting and processing requested data in a single application which utilizes fewer resources and shorter time. In contrast, the Gateway Aggregation architecture and Federated Gateway architecture also have some significant performance differences because it costs resources to combine several subgraphs together into a valid graph.","Comparative Analysis of Monolith, Microservice API Gateway and Microservice Federated Gateway on Web-based application using GraphQL API","The purpose of this research is to provide a detailed explanation regarding the characteristics as well as the pros and cons offered by various software development architecture, such as monolithic and Microservice architecture implemented with graph-based API called GraphQL. Monolithic architecture offers a centralized software development pattern with relatively simpler integration and development process. Conversely, Microservices architecture such as Gateway Aggregation and Federated Gateway will divide independent components of the application into smaller modules. Gateway Aggregation utilizes a single Gateway which acts as the main entry point for data exchange between the client and the application. In this research aims an application is developed using the three different architectures to measure the quality, both qualitative and quantitative performances of each architecture. There are several different parameters that are going to be used to measure the architecture’s performance such as response time and data throughput which become an essential criterion in conducting load and stress testing. The result is that the Monolithic architecture offers some advantages in its quantitative performance measurement due to better efficiency in collecting and processing requested data in a single application which utilizes fewer resources and shorter time. In contrast, the Gateway Aggregation architecture and Federated Gateway architecture also have some significant performance differences because it costs resources to combine several subgraphs together into a valid graph.",IEEE conference,no,"['comparative', 'analysis', 'monolith', 'api', 'gateway', 'federated', 'gateway', 'using', 'graphql', 'api', 'purpose', 'research', 'provide', 'detailed', 'regarding', 'characteristic', 'well', 'pro', 'con', 'offered', 'various', 'development', 'monolithic', 'implemented', 'api', 'called', 'graphql', 'monolithic', 'offer', 'centralized', 'development', 'pattern', 'relatively', 'simpler', 'integration', 'development', 'process', 'gateway', 'aggregation', 'federated', 'gateway', 'divide', 'independent', 'smaller', 'module', 'gateway', 'aggregation', 'utilizes', 'single', 'gateway', 'act', 'main', 'entry', 'point', 'exchange', 'client', 'research', 'aim', 'developed', 'using', 'three', 'different', 'measure', 'quality', 'qualitative', 'quantitative', 'performance', 'several', 'different', 'parameter', 'going', 'used', 'measure', 'performance', 'response', 'time', 'throughput', 'become', 'essential', 'criterion', 'conducting', 'load', 'testing', 'result', 'monolithic', 'offer', 'advantage', 'quantitative', 'performance', 'measurement', 'due', 'better', 'efficiency', 'collecting', 'processing', 'requested', 'single', 'utilizes', 'fewer', 'resource', 'time', 'contrast', 'gateway', 'aggregation', 'federated', 'gateway', 'also', 'significant', 'performance', 'difference', 'cost', 'resource', 'combine', 'several', 'together', 'graph']"
