text,Document Title,Abstract,source,bool,processed_text
"Autonomic Security Management for IoT Smart Spaces Embedded sensors and smart devices have turned the environments around us into smart spaces that could automatically evolve, depending on the needs of users, and adapt to the new conditions. While smart spaces are beneficial and desired in many aspects, they could be compromised and expose privacy, security, or render the whole environment a hostile space in which regular tasks cannot be accomplished anymore. In fact, ensuring the security of smart spaces is a very challenging task due to the heterogeneity of devices, vast attack surface, and device resource limitations. The key objective of this study is to minimize the manual work in enforcing the security of smart spaces by leveraging the autonomic computing paradigm in the management of IoT environments. More specifically, we strive to build an autonomic manager that can monitor the smart space continuously, analyze the context, plan and execute countermeasures to maintain the desired level of security, and reduce liability and risks of security breaches. We follow the microservice architecture pattern and propose a generic ontology named Secure Smart Space Ontology (SSSO) for describing dynamic contextual information in security-enhanced smart spaces. Based on SSSO, we build an autonomic security manager with four layers that continuously monitors the managed spaces, analyzes contextual information and events, and automatically plans and implements adaptive security policies.As the evaluation, focusing on a current BlackBerry customer problem, we deployed the proposed autonomic security manager to maintain the security of a smart conference room with 32 devices and 66 services. The high performance of the proposed solution was also evaluated on a large-scale deployment with over 1.8 million triples.",Autonomic Security Management for IoT Smart Spaces,"Embedded sensors and smart devices have turned the environments around us into smart spaces that could automatically evolve, depending on the needs of users, and adapt to the new conditions. While smart spaces are beneficial and desired in many aspects, they could be compromised and expose privacy, security, or render the whole environment a hostile space in which regular tasks cannot be accomplished anymore. In fact, ensuring the security of smart spaces is a very challenging task due to the heterogeneity of devices, vast attack surface, and device resource limitations. The key objective of this study is to minimize the manual work in enforcing the security of smart spaces by leveraging the autonomic computing paradigm in the management of IoT environments. More specifically, we strive to build an autonomic manager that can monitor the smart space continuously, analyze the context, plan and execute countermeasures to maintain the desired level of security, and reduce liability and risks of security breaches. We follow the microservice architecture pattern and propose a generic ontology named Secure Smart Space Ontology (SSSO) for describing dynamic contextual information in security-enhanced smart spaces. Based on SSSO, we build an autonomic security manager with four layers that continuously monitors the managed spaces, analyzes contextual information and events, and automatically plans and implements adaptive security policies.As the evaluation, focusing on a current BlackBerry customer problem, we deployed the proposed autonomic security manager to maintain the security of a smart conference room with 32 devices and 66 services. The high performance of the proposed solution was also evaluated on a large-scale deployment with over 1.8 million triples.",ACM,no,"['autonomic', 'security', 'management', 'iot', 'smart', 'space', 'embedded', 'sensor', 'smart', 'device', 'environment', 'around', 'u', 'smart', 'space', 'could', 'automatically', 'evolve', 'depending', 'need', 'user', 'adapt', 'new', 'condition', 'smart', 'space', 'beneficial', 'desired', 'many', 'aspect', 'could', 'expose', 'privacy', 'security', 'render', 'whole', 'environment', 'space', 'regular', 'task', 'fact', 'ensuring', 'security', 'smart', 'space', 'challenging', 'task', 'due', 'heterogeneity', 'device', 'vast', 'attack', 'surface', 'device', 'resource', 'limitation', 'key', 'objective', 'study', 'minimize', 'manual', 'work', 'enforcing', 'security', 'smart', 'space', 'leveraging', 'autonomic', 'computing', 'paradigm', 'management', 'iot', 'environment', 'specifically', 'build', 'autonomic', 'manager', 'monitor', 'smart', 'space', 'continuously', 'analyze', 'context', 'plan', 'execute', 'maintain', 'desired', 'level', 'security', 'reduce', 'risk', 'security', 'breach', 'follow', 'pattern', 'propose', 'generic', 'ontology', 'named', 'secure', 'smart', 'space', 'ontology', 'describing', 'dynamic', 'contextual', 'information', 'smart', 'space', 'based', 'build', 'autonomic', 'security', 'manager', 'four', 'layer', 'continuously', 'monitor', 'managed', 'space', 'analyzes', 'contextual', 'information', 'event', 'automatically', 'plan', 'implement', 'adaptive', 'security', 'evaluation', 'focusing', 'current', 'customer', 'problem', 'deployed', 'proposed', 'autonomic', 'security', 'manager', 'maintain', 'security', 'smart', 'room', 'device', 'high', 'performance', 'proposed', 'solution', 'also', 'evaluated', 'deployment', 'million']"
"Microservice Security Metrics for Secure Communication, Identity Management, and Observability Microservice architectures are increasingly being used to develop application systems. Despite many guidelines and best practices being published, architecting microservice systems for security is challenging. Reasons are the size and complexity of microservice systems, their polyglot nature, and the demand for the continuous evolution of these systems. In this context, to manually validate that security architecture tactics are employed as intended throughout the system is a time-consuming and error-prone task. In this article, we present an approach to avoid such manual validation before each continuous evolution step in a microservice system, which we demonstrate using three widely used categories of security tactics: secure communication, identity management, and observability. Our approach is based on a review of existing security guidelines, the gray literature, and the scientific literature, from which we derived Architectural Design Decisions (ADDs) with the found security tactics as decision options. In our approach, we propose novel detectors to detect these decision options automatically and formally defined metrics to measure the conformance of a system to the different options of the ADDs. We apply the approach to a case study data set of 10 open source microservice systems, plus another 20 variants of these systems, for which we manually inspected the source code for security tactics. We demonstrate and assess the validity and appropriateness of our metrics by performing an assessment of their conformance to the ADDs in our systems’ dataset through statistical methods.","Microservice Security Metrics for Secure Communication, Identity Management, and Observability","Microservice architectures are increasingly being used to develop application systems. Despite many guidelines and best practices being published, architecting microservice systems for security is challenging. Reasons are the size and complexity of microservice systems, their polyglot nature, and the demand for the continuous evolution of these systems. In this context, to manually validate that security architecture tactics are employed as intended throughout the system is a time-consuming and error-prone task. In this article, we present an approach to avoid such manual validation before each continuous evolution step in a microservice system, which we demonstrate using three widely used categories of security tactics: secure communication, identity management, and observability. Our approach is based on a review of existing security guidelines, the gray literature, and the scientific literature, from which we derived Architectural Design Decisions (ADDs) with the found security tactics as decision options. In our approach, we propose novel detectors to detect these decision options automatically and formally defined metrics to measure the conformance of a system to the different options of the ADDs. We apply the approach to a case study data set of 10 open source microservice systems, plus another 20 variants of these systems, for which we manually inspected the source code for security tactics. We demonstrate and assess the validity and appropriateness of our metrics by performing an assessment of their conformance to the ADDs in our systems’ dataset through statistical methods.",ACM,no,"['security', 'metric', 'secure', 'communication', 'identity', 'management', 'observability', 'increasingly', 'used', 'develop', 'despite', 'many', 'guideline', 'best', 'practice', 'published', 'architecting', 'security', 'challenging', 'reason', 'size', 'complexity', 'nature', 'demand', 'continuous', 'evolution', 'context', 'manually', 'validate', 'security', 'tactic', 'employed', 'intended', 'throughout', 'task', 'article', 'present', 'avoid', 'manual', 'validation', 'continuous', 'evolution', 'step', 'demonstrate', 'using', 'three', 'widely', 'used', 'category', 'security', 'tactic', 'secure', 'communication', 'identity', 'management', 'observability', 'based', 'review', 'existing', 'security', 'guideline', 'gray', 'literature', 'scientific', 'literature', 'derived', 'architectural', 'design', 'decision', 'add', 'found', 'security', 'tactic', 'decision', 'option', 'propose', 'novel', 'detect', 'decision', 'option', 'automatically', 'defined', 'metric', 'measure', 'conformance', 'different', 'option', 'add', 'apply', 'case', 'study', 'set', 'open', 'source', 'another', 'manually', 'source', 'code', 'security', 'tactic', 'demonstrate', 'assess', 'validity', 'metric', 'performing', 'assessment', 'conformance', 'add', 'dataset', 'statistical', 'method']"
"On the Understandability of Design-Level Security Practices in Infrastructure-as-Code Scripts and Deployment Architectures Infrastructure as Code (IaC) automates IT infrastructure deployment, which is particularly beneficial for continuous releases, for instance, in the context of microservices and cloud systems. Despite its flexibility in application architecture, neglecting security can lead to vulnerabilities. The lack of comprehensive architectural security guidelines for IaC poses challenges in adhering to best practices. We studied how developers interpret IaC scripts (source code) in two IaC technologies, Ansible and Terraform, compared to semi-formal IaC deployment architecture models and metrics regarding design-level security understanding. In a controlled experiment involving ninety-four participants, we assessed the understandability of IaC-based deployment architectures through source code inspection compared to semi-formal representations in models and metrics.We hypothesized that providing semi-formal IaC deployment architecture models and metrics as supplementary material would significantly improve the comprehension of IaC security-related practices, as measured by task correctness. Our findings suggest that semi-formal IaC deployment architecture models and metrics as supplementary material enhance the understandability of IaC security-related practices without significantly increasing duration. We also observed a significant correlation between task correctness and duration when models and metrics were provided.",On the Understandability of Design-Level Security Practices in Infrastructure-as-Code Scripts and Deployment Architectures,"Infrastructure as Code (IaC) automates IT infrastructure deployment, which is particularly beneficial for continuous releases, for instance, in the context of microservices and cloud systems. Despite its flexibility in application architecture, neglecting security can lead to vulnerabilities. The lack of comprehensive architectural security guidelines for IaC poses challenges in adhering to best practices. We studied how developers interpret IaC scripts (source code) in two IaC technologies, Ansible and Terraform, compared to semi-formal IaC deployment architecture models and metrics regarding design-level security understanding. In a controlled experiment involving ninety-four participants, we assessed the understandability of IaC-based deployment architectures through source code inspection compared to semi-formal representations in models and metrics.We hypothesized that providing semi-formal IaC deployment architecture models and metrics as supplementary material would significantly improve the comprehension of IaC security-related practices, as measured by task correctness. Our findings suggest that semi-formal IaC deployment architecture models and metrics as supplementary material enhance the understandability of IaC security-related practices without significantly increasing duration. We also observed a significant correlation between task correctness and duration when models and metrics were provided.",ACM,no,"['understandability', 'security', 'practice', 'script', 'deployment', 'infrastructure', 'code', 'iac', 'automates', 'infrastructure', 'deployment', 'particularly', 'beneficial', 'continuous', 'release', 'instance', 'context', 'despite', 'flexibility', 'neglecting', 'security', 'lead', 'vulnerability', 'lack', 'comprehensive', 'architectural', 'security', 'guideline', 'iac', 'pose', 'challenge', 'best', 'practice', 'studied', 'developer', 'iac', 'script', 'source', 'code', 'two', 'iac', 'technology', 'terraform', 'compared', 'iac', 'deployment', 'model', 'metric', 'regarding', 'security', 'understanding', 'controlled', 'experiment', 'involving', 'participant', 'assessed', 'understandability', 'deployment', 'source', 'code', 'inspection', 'compared', 'representation', 'model', 'providing', 'iac', 'deployment', 'model', 'metric', 'supplementary', 'material', 'would', 'significantly', 'improve', 'comprehension', 'iac', 'practice', 'measured', 'task', 'correctness', 'finding', 'suggest', 'iac', 'deployment', 'model', 'metric', 'supplementary', 'material', 'enhance', 'understandability', 'iac', 'practice', 'without', 'significantly', 'increasing', 'duration', 'also', 'observed', 'significant', 'correlation', 'task', 'correctness', 'duration', 'model', 'metric', 'provided']"
"Fortifying Information Security: Security Implications of Microservice and Monolithic Architectures Monolithic architecture is a traditional and primary method for creating software programs. On the other hand, monolithic architecture's shortcomings were addressed by developing the unique evolutionary technique known as microservice architecture, which led to businesses' widespread acceptance of this design. However, the microservice design raises several security concerns, particularly web application security, a significant business problem. The purpose of this study is to analyse and contrast the security and safety features of monolithic and microservice architectures, emphasizing the security issues that each presents and the solutions that have been proposed to address them. Examining both architectures security risks and investigating viable mitigation strategies are covered in the paper. Microservices improve security and flexibility but also need a more complex and dynamic security strategy.",Fortifying Information Security: Security Implications of Microservice and Monolithic Architectures,"Monolithic architecture is a traditional and primary method for creating software programs. On the other hand, monolithic architecture's shortcomings were addressed by developing the unique evolutionary technique known as microservice architecture, which led to businesses' widespread acceptance of this design. However, the microservice design raises several security concerns, particularly web application security, a significant business problem. The purpose of this study is to analyse and contrast the security and safety features of monolithic and microservice architectures, emphasizing the security issues that each presents and the solutions that have been proposed to address them. Examining both architectures security risks and investigating viable mitigation strategies are covered in the paper. Microservices improve security and flexibility but also need a more complex and dynamic security strategy.",IEEE conference,no,"['information', 'security', 'security', 'implication', 'monolithic', 'monolithic', 'traditional', 'primary', 'method', 'creating', 'program', 'hand', 'monolithic', 'shortcoming', 'addressed', 'developing', 'unique', 'evolutionary', 'technique', 'known', 'led', 'business', 'widespread', 'acceptance', 'design', 'however', 'design', 'raise', 'several', 'security', 'concern', 'particularly', 'web', 'security', 'significant', 'business', 'problem', 'purpose', 'study', 'analyse', 'contrast', 'security', 'safety', 'feature', 'monolithic', 'emphasizing', 'security', 'issue', 'present', 'solution', 'proposed', 'address', 'examining', 'security', 'risk', 'investigating', 'viable', 'mitigation', 'strategy', 'covered', 'paper', 'improve', 'security', 'flexibility', 'also', 'need', 'complex', 'dynamic', 'security', 'strategy']"
"Building Secure Environments for Microservices Microservice-based architectures are widely used in modern software and the number of cyber attacks on software is increasing. It is essential to make microservices more reliable and resilient against cyber attacks. In this paper, we propose a methodology to detect configurations of computing systems that host microservices and containers, evaluate cyber risks of their essential components in an automatic continuous mode, and reconfigure environments aiming to make them less vulnerable against cyber attacks. Our solution supports multiple operating systems and hardware configurations. For cyber risk evaluation, our approach relies on a public database of Common Vulnerabilities and Exposures for software and hardware, as well as penetration testing and static analysis. Furthermore, the cyber risk evaluation model considers the attributes of microservices, such as their privilege level. We will show least and most vulnerable configurations for computing systems that use popular operating systems and applications.",Building Secure Environments for Microservices,"Microservice-based architectures are widely used in modern software and the number of cyber attacks on software is increasing. It is essential to make microservices more reliable and resilient against cyber attacks. In this paper, we propose a methodology to detect configurations of computing systems that host microservices and containers, evaluate cyber risks of their essential components in an automatic continuous mode, and reconfigure environments aiming to make them less vulnerable against cyber attacks. Our solution supports multiple operating systems and hardware configurations. For cyber risk evaluation, our approach relies on a public database of Common Vulnerabilities and Exposures for software and hardware, as well as penetration testing and static analysis. Furthermore, the cyber risk evaluation model considers the attributes of microservices, such as their privilege level. We will show least and most vulnerable configurations for computing systems that use popular operating systems and applications.",IEEE conference,no,"['building', 'secure', 'environment', 'widely', 'used', 'modern', 'number', 'cyber', 'attack', 'increasing', 'essential', 'make', 'reliable', 'resilient', 'cyber', 'attack', 'paper', 'propose', 'methodology', 'detect', 'configuration', 'computing', 'host', 'container', 'evaluate', 'cyber', 'risk', 'essential', 'automatic', 'continuous', 'mode', 'environment', 'aiming', 'make', 'less', 'vulnerable', 'cyber', 'attack', 'solution', 'support', 'multiple', 'operating', 'hardware', 'configuration', 'cyber', 'risk', 'evaluation', 'relies', 'public', 'database', 'common', 'vulnerability', 'exposure', 'hardware', 'well', 'testing', 'static', 'analysis', 'furthermore', 'cyber', 'risk', 'evaluation', 'model', 'considers', 'attribute', 'level', 'show', 'least', 'vulnerable', 'configuration', 'computing', 'use', 'popular', 'operating']"
"Research on Unified Authentication and Authorization in Microservice Architecture Microservice architecture reduces the coupling between application modules, which is conducive to the development, deployment and operation and maintenance of complex application systems. However, compared with the monolithic architecture, the access control of its resources becomes more complex. Based on the application scenario of enterprise system micro service architecture, aiming at the high security requirements of business system, through the analysis and research of micro service architecture, this paper designs a set of access control solution, which can meet the requirements of unified authentication, improving the efficiency of authority verification and accelerating the system development speed under the microservice architecture, which has reference for enterprise application system design significance.",Research on Unified Authentication and Authorization in Microservice Architecture,"Microservice architecture reduces the coupling between application modules, which is conducive to the development, deployment and operation and maintenance of complex application systems. However, compared with the monolithic architecture, the access control of its resources becomes more complex. Based on the application scenario of enterprise system micro service architecture, aiming at the high security requirements of business system, through the analysis and research of micro service architecture, this paper designs a set of access control solution, which can meet the requirements of unified authentication, improving the efficiency of authority verification and accelerating the system development speed under the microservice architecture, which has reference for enterprise application system design significance.",IEEE conference,no,"['research', 'unified', 'authentication', 'authorization', 'reduces', 'coupling', 'module', 'development', 'deployment', 'operation', 'maintenance', 'complex', 'however', 'compared', 'monolithic', 'access', 'control', 'resource', 'becomes', 'complex', 'based', 'scenario', 'enterprise', 'micro', 'aiming', 'high', 'security', 'requirement', 'business', 'analysis', 'research', 'micro', 'paper', 'design', 'set', 'access', 'control', 'solution', 'meet', 'requirement', 'unified', 'authentication', 'improving', 'efficiency', 'verification', 'development', 'speed', 'reference', 'enterprise', 'design']"
"An Overview Analysis of Authentication Mechanism in Microservices-Based Software Architecture: A Discussion Paper Microservices-based software architecture promotes scalability and flexibility by breaking down a software application into smaller modules and making it more independent and loosely coupled services compared to monolith systems. However, securing microservices in a distributed nature has become one of the challenges. Authentication is one of the most critical components that should be focused in the microservices security measures. It helps to identify that only authenticated personnel and services can access sensitive information and secure the trust between microservices. This discussion paper aims to provide an overview analysis and extensive understanding on the authentication mechanism in microservices-based software architecture. In this study, we explore different authentication mechanisms including Mutual Transport Layer Security (mTLS), Token based authentication and API Gateway authentication. This study examines the strengths and limitations of different authentication mechanisms in microservices-based software architecture. It also emphasizes the importance of authentication and the need for having a well-designed authentication mechanism to ensure the integrity and security of microservices-based software architecture is crucial.",An Overview Analysis of Authentication Mechanism in Microservices-Based Software Architecture: A Discussion Paper,"Microservices-based software architecture promotes scalability and flexibility by breaking down a software application into smaller modules and making it more independent and loosely coupled services compared to monolith systems. However, securing microservices in a distributed nature has become one of the challenges. Authentication is one of the most critical components that should be focused in the microservices security measures. It helps to identify that only authenticated personnel and services can access sensitive information and secure the trust between microservices. This discussion paper aims to provide an overview analysis and extensive understanding on the authentication mechanism in microservices-based software architecture. In this study, we explore different authentication mechanisms including Mutual Transport Layer Security (mTLS), Token based authentication and API Gateway authentication. This study examines the strengths and limitations of different authentication mechanisms in microservices-based software architecture. It also emphasizes the importance of authentication and the need for having a well-designed authentication mechanism to ensure the integrity and security of microservices-based software architecture is crucial.",IEEE conference,no,"['overview', 'analysis', 'authentication', 'mechanism', 'discussion', 'paper', 'promotes', 'scalability', 'flexibility', 'breaking', 'smaller', 'module', 'making', 'independent', 'loosely', 'coupled', 'compared', 'monolith', 'however', 'securing', 'distributed', 'nature', 'become', 'one', 'challenge', 'authentication', 'one', 'critical', 'focused', 'security', 'measure', 'help', 'identify', 'authenticated', 'personnel', 'access', 'sensitive', 'information', 'secure', 'trust', 'discussion', 'paper', 'aim', 'provide', 'overview', 'analysis', 'extensive', 'understanding', 'authentication', 'mechanism', 'study', 'explore', 'different', 'authentication', 'mechanism', 'including', 'mutual', 'transport', 'layer', 'security', 'based', 'authentication', 'api', 'gateway', 'authentication', 'study', 'examines', 'strength', 'limitation', 'different', 'authentication', 'mechanism', 'also', 'emphasizes', 'importance', 'authentication', 'need', 'authentication', 'mechanism', 'ensure', 'integrity', 'security', 'crucial']"
"A New Framework for Microservices with Single Sign-On, Security Assertion Markup Language and OpenID Connect Integrated global Single Sign-On (SSO) module is a security module for microservices which can be used to perform the basic authentication and authorization process in terms of user level and resources level. In general, micro services are the individual components which are executed separately for different purposes. In general, each individual service can communicate with external authentication mechanism to get validated in terms of identity and access check. But it is a complicated process for the services which are deployed individually because each service has to communicate with the authentication mechanism to get verified. In existing security models, the microservices are controlled through Auth 2.0 entity, Client Application and Authorization server individually. Therefore, this research study proposing an integrated framework called “BridG” identifies and connect all type of microservices with local and global network systems. The BridG framework has SSO module, Security Assertion Markup Language (SAML) and OpenID Connect (OlD C) to get authenticated and authorized for the individual microservices.","A New Framework for Microservices with Single Sign-On, Security Assertion Markup Language and OpenID Connect","Integrated global Single Sign-On (SSO) module is a security module for microservices which can be used to perform the basic authentication and authorization process in terms of user level and resources level. In general, micro services are the individual components which are executed separately for different purposes. In general, each individual service can communicate with external authentication mechanism to get validated in terms of identity and access check. But it is a complicated process for the services which are deployed individually because each service has to communicate with the authentication mechanism to get verified. In existing security models, the microservices are controlled through Auth 2.0 entity, Client Application and Authorization server individually. Therefore, this research study proposing an integrated framework called “BridG” identifies and connect all type of microservices with local and global network systems. The BridG framework has SSO module, Security Assertion Markup Language (SAML) and OpenID Connect (OlD C) to get authenticated and authorized for the individual microservices.",IEEE conference,no,"['new', 'framework', 'single', 'security', 'assertion', 'language', 'connect', 'integrated', 'global', 'single', 'sso', 'module', 'security', 'module', 'used', 'perform', 'basic', 'authentication', 'authorization', 'process', 'term', 'user', 'level', 'resource', 'level', 'general', 'micro', 'individual', 'executed', 'separately', 'different', 'purpose', 'general', 'individual', 'communicate', 'external', 'authentication', 'mechanism', 'get', 'validated', 'term', 'identity', 'access', 'check', 'complicated', 'process', 'deployed', 'individually', 'communicate', 'authentication', 'mechanism', 'get', 'verified', 'existing', 'security', 'model', 'controlled', 'entity', 'client', 'authorization', 'server', 'individually', 'therefore', 'research', 'study', 'proposing', 'integrated', 'framework', 'called', 'identifies', 'connect', 'type', 'local', 'global', 'network', 'framework', 'sso', 'module', 'security', 'assertion', 'language', 'connect', 'c', 'get', 'authenticated', 'authorized', 'individual']"
"11 things about Securing Microservice Microservices are a modern-era software development approach to creating REST APIs as a small independent process that is loosely coupled, performs business specific operation or capabilities, and is owned by a small team. Microservices are light weight components that are easy to develop, deploy and scale based on business requirements. Some of our customers use microservice with container-based deployment, some implement regular legacy process build and deploy on the webserver and some serverless in private, public, or hybrid cloud. Microservices are evolving and distributing the business requirement logic to multiple services which increases application complexity, maintainability and security while interacting with other services. Each organization follows multiple ways to secure their Microservices. Here, we will go through some of the security implementations and finally will review securing Microservices in zero trust.",11 things about Securing Microservice,"Microservices are a modern-era software development approach to creating REST APIs as a small independent process that is loosely coupled, performs business specific operation or capabilities, and is owned by a small team. Microservices are light weight components that are easy to develop, deploy and scale based on business requirements. Some of our customers use microservice with container-based deployment, some implement regular legacy process build and deploy on the webserver and some serverless in private, public, or hybrid cloud. Microservices are evolving and distributing the business requirement logic to multiple services which increases application complexity, maintainability and security while interacting with other services. Each organization follows multiple ways to secure their Microservices. Here, we will go through some of the security implementations and finally will review securing Microservices in zero trust.",IEEE conference,no,"['thing', 'securing', 'development', 'creating', 'rest', 'apis', 'small', 'independent', 'process', 'loosely', 'coupled', 'performs', 'business', 'specific', 'operation', 'capability', 'small', 'team', 'light', 'weight', 'easy', 'develop', 'deploy', 'scale', 'based', 'business', 'requirement', 'customer', 'use', 'deployment', 'implement', 'regular', 'legacy', 'process', 'build', 'deploy', 'serverless', 'private', 'public', 'hybrid', 'evolving', 'distributing', 'business', 'requirement', 'logic', 'multiple', 'increase', 'complexity', 'maintainability', 'security', 'interacting', 'organization', 'follows', 'multiple', 'way', 'secure', 'go', 'security', 'implementation', 'finally', 'review', 'securing', 'zero', 'trust']"
"Toward Enabling Self-Protection in the Service Mesh of the Microservice Architecture The service mesh is a dedicated infrastructure layer in a microservice architecture. It manages service-to-service communication within an application between decoupled or loosely coupled microservices (called services) without modifying their implementations. The service mesh includes APIs for security, traffic and policy management, and observability features. These features are enabled using a pre-defined configuration, which can be changed at runtime with human intervention. However, it has no autonomy to self-manage changes to the microservice application’s operational environment. A better configuration is one that can be customized according to environmental conditions during execution to protect the application from potential threats. This customization requires enabling self-protection mechanisms within the service mesh that evaluate the risk of environmental condition changes and enable appropriate configurations to defend the application from impending threats. In this paper, we design an assessment component into a service mesh that includes a security assurance case to define the threat model and dynamically assess the application given environment changes. We experiment with a demo application, Bookinfo, using an open-source service mesh platform, Istio, to enable self-protection. We consider certain parameters extracted from the service request as environmental conditions. We evaluate those parameters against the threat model and determine the risk of violating a security requirement for controlled and authorized information flow.",Toward Enabling Self-Protection in the Service Mesh of the Microservice Architecture,"The service mesh is a dedicated infrastructure layer in a microservice architecture. It manages service-to-service communication within an application between decoupled or loosely coupled microservices (called services) without modifying their implementations. The service mesh includes APIs for security, traffic and policy management, and observability features. These features are enabled using a pre-defined configuration, which can be changed at runtime with human intervention. However, it has no autonomy to self-manage changes to the microservice application’s operational environment. A better configuration is one that can be customized according to environmental conditions during execution to protect the application from potential threats. This customization requires enabling self-protection mechanisms within the service mesh that evaluate the risk of environmental condition changes and enable appropriate configurations to defend the application from impending threats. In this paper, we design an assessment component into a service mesh that includes a security assurance case to define the threat model and dynamically assess the application given environment changes. We experiment with a demo application, Bookinfo, using an open-source service mesh platform, Istio, to enable self-protection. We consider certain parameters extracted from the service request as environmental conditions. We evaluate those parameters against the threat model and determine the risk of violating a security requirement for controlled and authorized information flow.",IEEE conference,no,"['toward', 'enabling', 'mesh', 'mesh', 'dedicated', 'infrastructure', 'layer', 'manages', 'communication', 'within', 'decoupled', 'loosely', 'coupled', 'called', 'without', 'modifying', 'implementation', 'mesh', 'includes', 'apis', 'security', 'traffic', 'policy', 'management', 'observability', 'feature', 'feature', 'enabled', 'using', 'configuration', 'changed', 'runtime', 'human', 'however', 'autonomy', 'change', 'operational', 'environment', 'better', 'configuration', 'one', 'customized', 'according', 'environmental', 'condition', 'execution', 'protect', 'potential', 'threat', 'customization', 'requires', 'enabling', 'mechanism', 'within', 'mesh', 'evaluate', 'risk', 'environmental', 'condition', 'change', 'enable', 'appropriate', 'configuration', 'threat', 'paper', 'design', 'assessment', 'mesh', 'includes', 'security', 'assurance', 'case', 'define', 'threat', 'model', 'dynamically', 'assess', 'given', 'environment', 'change', 'experiment', 'demo', 'using', 'mesh', 'platform', 'istio', 'enable', 'consider', 'certain', 'parameter', 'extracted', 'request', 'environmental', 'condition', 'evaluate', 'parameter', 'threat', 'model', 'determine', 'risk', 'security', 'requirement', 'controlled', 'authorized', 'information', 'flow']"
